#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
FH164.fasta	contig00001	574	1281	+	ISSba14:NC_009052	8-717/3815	===...../......	1/2	18.56	76.48	ISfinder_Feb_2020		ISSba14:NC_009052	
FH164.fasta	contig00044	1	79	+	IS621:NC_009800	1251-1329/1425	.............=.	0/0	5.54	100.00	ISfinder_Feb_2020		IS621:NC_009800	
FH164.fasta	contig00044	15352	15490	-	ISEc1:L02370	1151-1289/1291	.............==	0/0	10.77	96.40	ISfinder_Feb_2020		ISEc1:L02370	
FH164.fasta	contig00045	7418	7528	-	IS911:X17613	1139-1250/1250	......../....==	2/3	8.80	83.19	ISfinder_Feb_2020		IS911:X17613	
FH164.fasta	contig00045	7533	7875	+	IS682:NC_002695	1-342/2533	==....../......	1/1	13.50	88.92	ISfinder_Feb_2020		IS682:NC_002695	
FH164.fasta	contig00045	7892	8010	+	ISSfl3:AL391753	2611-2729/2729	..............=	0/0	4.36	87.39	ISfinder_Feb_2020		ISSfl3:AL391753	
FH164.fasta	contig00045	11564	12121	+	ISEc21:[]	677-1228/1374	......==/=====.	1/6	40.17	87.10	ISfinder_Feb_2020		ISEc21:[]	
FH164.fasta	contig00045	12124	12611	-	ISEc33:JF785549	664-1153/1153	......../======	2/2	42.32	82.65	ISfinder_Feb_2020		ISEc33:JF785549	
FH164.fasta	contig00046	1	141	-	ISEc8:NC_004431	1-141/2442	=..............	0/0	5.77	97.87	ISfinder_Feb_2020		ISEc8:NC_004431	
FH164.fasta	contig00046	215	464	-	ISSfl3:AL391753	1-249/2729	==....../......	2/5	9.05	76.19	ISfinder_Feb_2020		ISSfl3:AL391753	
FH164.fasta	contig00046	3577	4243	-	ISEc48:ADUS01000070	629-1298/1336	......==/======	3/5	49.85	91.95	ISfinder_Feb_2020		ISEc48:ADUS01000070	
FH164.fasta	contig00046	4229	4703	-	ISEc48:ADUS01000070	8-484/1336	======../......	2/2	35.55	85.74	ISfinder_Feb_2020		ISEc48:ADUS01000070	
FH164.fasta	contig00046	7822	8459	+	ISEc76:NZ_CP019028	721-1362/1368	.......=/======	4/4	46.64	91.28	ISfinder_Feb_2020		ISEc76:NZ_CP019028	
FH164.fasta	contig00047	1	79	+	IS621:NC_009800	1251-1329/1425	.............=.	0/0	5.54	100.00	ISfinder_Feb_2020		IS621:NC_009800	
FH164.fasta	contig00047	10977	11122	-	IS621:NC_009800	1251-1396/1425	......../....==	2/2	10.18	85.71	ISfinder_Feb_2020		IS621:NC_009800	
FH164.fasta	contig00048	1	59	+	IS30:X00792	1163-1221/1221	..............=	0/0	4.83	100.00	ISfinder_Feb_2020		IS30:X00792	
FH164.fasta	contig00048	60	971	+	IS911:X17613	334-1246/1250	...=====/======	1/1	72.96	97.04	ISfinder_Feb_2020		IS911:X17613	
FH164.fasta	contig00048	9647	9852	+	IS1F:X52538	1-206/768	=====..........	0/0	26.82	97.57	ISfinder_Feb_2020		IS1F:X52538	
FH164.fasta	contig00050	1	77	+	IS1S:M37615	692-768/768	.............==	0/0	10.03	100.00	ISfinder_Feb_2020		IS1S:M37615	
FH164.fasta	contig00050	3968	4416	-	IS91:X17114	1390-1829/1829	......../..====	4/13	23.95	80.93	ISfinder_Feb_2020		IS91:X17114	
FH164.fasta	contig00050	4442	5708	-	ISEch14:CP002038	368-1634/1666	...=====/======	2/2	75.99	79.73	ISfinder_Feb_2020		ISEch14:CP002038	
FH164.fasta	contig00050	5709	8219	+	ISEc23:[]	1-2532/2532	========/======	2/21	99.17	97.55	ISfinder_Feb_2020		ISEc23:[]	
FH164.fasta	contig00050	8220	8298	-	ISEc8:NC_004431	804-882/2442	....==.........	0/0	3.24	100.00	ISfinder_Feb_2020		ISEc8:NC_004431	
FH164.fasta	contig00051	1	1638	+	ISEc8:NC_004431	804-2442/2442	....====/======	1/1	67.08	99.45	ISfinder_Feb_2020		ISEc8:NC_004431	
FH164.fasta	contig00051	1639	1953	-	TnEc1:[]	1-315/3854	==.............	0/0	8.17	80.95	ISfinder_Feb_2020		TnEc1:[]	
FH164.fasta	contig00051	6654	6760	+	ISSfl9:NC_004337	4-110/1304	==....../......	2/2	8.13	84.26	ISfinder_Feb_2020		ISSfl9:NC_004337	
FH164.fasta	contig00051	6759	6923	-	ISSbo1:CP001062	187-351/1709	.===...........	0/0	9.65	92.73	ISfinder_Feb_2020		ISSbo1:CP001062	
FH164.fasta	contig00051	7157	7491	+	IS911:X17613	1-335/1250	=====..........	0/0	26.80	99.10	ISfinder_Feb_2020		IS911:X17613	
FH164.fasta	contig00051	7492	7570	+	IS30:X00792	1-79/1221	=..............	0/0	6.47	100.00	ISfinder_Feb_2020		IS30:X00792	
FH164.fasta	contig00052	1	150	+	IS621:NC_009800	1251-1399/1425	......../....==	1/1	10.46	92.00	ISfinder_Feb_2020		IS621:NC_009800	
FH164.fasta	contig00054	4903	5164	+	ISEc1:L02370	1-262/1291	====...........	0/0	20.29	94.66	ISfinder_Feb_2020		ISEc1:L02370	
FH164.fasta	contig00056	1	103	-	IS3:X02311	1-103/1258	==.............	0/0	8.19	99.03	ISfinder_Feb_2020		IS3:X02311	
FH164.fasta	contig00056	1339	3062	-	ISEc38:AJ303141	1-1722/1722	========/======	1/2	100.00	94.95	ISfinder_Feb_2020		ISEc38:AJ303141	
FH164.fasta	contig00059	2119	2208	+	IS3H:CP000035	1173-1261/1261	......../.....=	1/1	7.06	88.89	ISfinder_Feb_2020		IS3H:CP000035	
FH164.fasta	contig00062	1	372	-	ISEc1:L02370	1-373/1291	=====.../......	1/1	28.81	91.42	ISfinder_Feb_2020		ISEc1:L02370	
FH164.fasta	contig00066	1	1293	-	IS621:NC_009800	36-1328/1425	==============.	0/0	90.74	99.92	ISfinder_Feb_2020		IS621:NC_009800	
FH164.fasta	contig00067	1	1221	+	IS30:X00792	1-1221/1221	===============	0/0	100.00	99.75	ISfinder_Feb_2020		IS30:X00792	
FH164.fasta	contig00073	1	1000	-	IS609:BA000007	34-1033/1748	=========......	0/0	57.21	97.80	ISfinder_Feb_2020		IS609:BA000007	
FH164.fasta	contig00074	1	986	-	IS3:X02311	25-1010/1258	=============..	0/0	78.38	99.90	ISfinder_Feb_2020		IS3:X02311	
FH164.fasta	contig00078	1	820	-	ISEc8:NC_004431	63-882/2442	======.........	0/0	33.58	99.02	ISfinder_Feb_2020		ISEc8:NC_004431	
FH164.fasta	contig00084	1	685	-	IS2:M18426	425-1109/1331	....=========..	0/0	51.47	98.69	ISfinder_Feb_2020		IS2:M18426	
FH164.fasta	contig00086	1	641	+	IS1A:X52534	128-768/768	..=============	0/0	83.46	99.53	ISfinder_Feb_2020		IS1A:X52534	
FH164.fasta	contig00100	1	374	+	IS609:BA000007	955-1328/1748	........====...	0/0	21.40	97.33	ISfinder_Feb_2020		IS609:BA000007	
FH164.fasta	contig00101	1	338	+	ISEc1:L02370	102-440/1291	.====.../......	1/1	26.18	93.81	ISfinder_Feb_2020		ISEc1:L02370	
FH164.fasta	contig00105	1	270	-	ISEc5:L02372	833-1102/1291	.........====..	0/0	20.91	97.78	ISfinder_Feb_2020		ISEc5:L02372	
FH164.fasta	contig00106	1	252	-	ISEc5:L02372	833-1084/1291	.........====..	0/0	19.52	98.02	ISfinder_Feb_2020		ISEc5:L02372	
FH164.fasta	contig00107	1	79	+	ISEc1:L02370	303-381/1291	...==..........	0/0	6.12	100.00	ISfinder_Feb_2020		ISEc1:L02370	
FH164.fasta	contig00107	80	239	+	ISEc5:L02372	1-161/1291	==....../......	1/1	12.39	90.06	ISfinder_Feb_2020		ISEc5:L02372	
FH164.fasta	contig00108	1	78	+	IS1S:M37615	691-768/768	.............==	0/0	10.16	100.00	ISfinder_Feb_2020		IS1S:M37615	
FH164.fasta	contig00108	145	223	+	IS1X2:Z11605	1-79/768	==.............	0/0	10.29	100.00	ISfinder_Feb_2020		IS1X2:Z11605	
FH164.fasta	contig00110	1	128	+	IS2:M18426	1031-1158/1331	...........===.	0/0	9.62	100.00	ISfinder_Feb_2020		IS2:M18426	
FH164.fasta	contig00110	127	204	-	IS3:X02311	1181-1258/1258	..............=	0/0	6.20	100.00	ISfinder_Feb_2020		IS3:X02311	
