Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Comment	Simple Disease	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	O Antigen(Serotype Prediction)	H Antigen(Serotype Prediction)	ST(Achtman 7 Gene MLST)	ST Complex(Achtman 7 Gene MLST)	Lineage(Achtman 7 Gene MLST)	Subspecies(Achtman 7 Gene MLST)	Status(Assembly stats)	Coverage(Assembly stats)	N50(Assembly stats)	Length(Assembly stats)	Species(Assembly stats)	Contig Number(>=200 bp)(Assembly stats)	Low Quality Bases(Assembly stats)	Version(Assembly stats)	Assembly barcode(Assembly stats)	ST(wgMLST)	ST(cgMLST V1 + HierCC V1)	HC0 (indistinguishable)(cgMLST V1 + HierCC V1)	HC2(cgMLST V1 + HierCC V1)	HC5(cgMLST V1 + HierCC V1)	HC10(cgMLST V1 + HierCC V1)	HC20(cgMLST V1 + HierCC V1)	HC50(cgMLST V1 + HierCC V1)	HC100(cgMLST V1 + HierCC V1)	HC200(cgMLST V1 + HierCC V1)	HC400(cgMLST V1 + HierCC V1)	HC1100 (cgST Cplx)(cgMLST V1 + HierCC V1)	HC1500(cgMLST V1 + HierCC V1)	HC2000(cgMLST V1 + HierCC V1)	HC2350 (subsp.)(cgMLST V1 + HierCC V1)	Clermont Type (ClermonTyping)(Phylotypes)	Clermont Type (EzClermont)(Phylotypes)	fimH (fimTyper)(Phylotypes)	Pathovar(Phylotypes)	Stx1(Phylotypes)	Stx2(Phylotypes)	ipaH(Phylotypes)	pInv(Phylotypes)	ST(Phylotypes)	LT(Phylotypes)	eae(Phylotypes)	rST(rMLST)	Species (rMLST)(rMLST)
ESC_JA5745AA	AVC161	SRR7469895;ILLUMINA;Paired;;SRX4339615	Poultry	Poultry	missing	2010	8			Oceania	Australia							University of Technology, Sydney	Escherichia coli		Ont:H21			APEC			PRJNA479542	SRP151965		SAMN09580007	SRS3500514	2018-07-04	2018-07-04	ESC_JA5745AA	-	H21	1673	ND	ND	ND	Assembled	62	148906	5309007	Escherichia coli / Shigella;94.17%	125	39162	4	ESC_SA8246AA_AS	75610	69233	69233	69233	68960	68960	68960	68960	9269	9269	9269	9269	5	2	1	B1	B1	fimH35	-	-	-	-	-	-	-	-	85279	Escherichia/Shigella sp.
ESC_JA5746AA	AVC162	SRR7469896;ILLUMINA;Paired;;SRX4339614	Poultry	Poultry	missing	2010	8			Oceania	Australia							University of Technology, Sydney	Escherichia coli		Ont:H21			APEC			PRJNA479542	SRP151965		SAMN09580008	SRS3500513	2018-07-04	2018-07-04	ESC_JA5746AA	-	H21	1673	ND	ND	ND	Assembled	62	149074	5319756	Escherichia coli / Shigella;95.93%	156	27507	4	ESC_SA8245AA_AS	75611	68960	68960	68960	68960	68960	68960	68960	9269	9269	9269	9269	5	2	1	B1	B1	fimH35	-	-	-	-	-	-	-	-	85279	Escherichia/Shigella sp.
ESC_JA5747AA	AVC167	SRR7469897;ILLUMINA;Paired;;SRX4339613	Poultry	Poultry	Gallus gallus domesticus	2010	9			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O45:H19			APEC			PRJNA479542	SRP151965		SAMN09580009	SRS3500512	2018-07-04	2018-07-04	ESC_JA5747AA	O45	H19	350	ST350 Cplx	ND	ND	Assembled	50	126628	5346765	Escherichia coli / Shigella;96.64%	142	22874	4	ESC_SA8244AA_AS	75612	68961	68961	68961	68961	68961	68961	68961	68961	68961	30323	175	175	2	1	E	E	fimH142	-	-	-	-	-	-	-	-	85280	Escherichia/Shigella sp.
ESC_JA5748AA	AVC171	SRR7469898;ILLUMINA;Paired;;SRX4339612	Poultry	Poultry	Gallus gallus domesticus	2010	9			Oceania	Australia							University of Technology, Sydney	Escherichia coli		Ont:H7			APEC			PRJNA479542	SRP151965		SAMN09580010	SRS3500510	2018-07-04	2018-07-04	ESC_JA5748AA	O153	H7	95	ST95 Cplx	B2	ND	Assembled	42	191864	5383354	Escherichia coli / Shigella;97.41%	145	85362	4	ESC_SA8243AA_AS	75613	69236	69236	69236	69236	69236	69236	1106	1104	1104	44	44	44	1	1	B2	B2	fimH27	-	-	-	-	-	-	-	-	30657	Escherichia/Shigella sp.
ESC_JA5741AA	AVC173	SRR7469891;ILLUMINA;Paired;;SRX4339619	Poultry	Poultry	missing	2010	10			Oceania	Australia							University of Technology, Sydney	Escherichia coli		Ont:H7			APEC			PRJNA479542	SRP151965		SAMN09580011	SRS3500518	2018-07-04	2018-07-04	ESC_JA5741AA	O153	H7	95	ST95 Cplx	B2	ND	Assembled	61	191692	5312787	Escherichia coli / Shigella;95.86%	134	58206	4	ESC_SA8250AA_AS	76646	70288	70288	70288	70288	70288	70288	1106	1104	1104	44	44	44	1	1	B2	B2	fimH27	-	-	-	-	-	-	-	-	30657	Escherichia/Shigella sp.
ESC_JA5742AA	AVC176	SRR7469892;ILLUMINA;Paired;;SRX4339618	Poultry	Poultry	Gallus gallus domesticus	2010	11			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O17/O44/O77:H18			APEC			PRJNA479542	SRP151965		SAMN09580012	SRS3500517	2018-07-04	2018-07-04	ESC_JA5742AA	O17 or O77	H18	69	ST69 Cplx	D	ND	Assembled	53	138659	5646788	Escherichia coli / Shigella;95.96%	178	79083	4	ESC_SA8249AA_AS	75641	69261	69261	69261	69261	69261	69261	3795	46	32	32	32	32	2	1	D	D	fimH27	-	-	-	-	-	-	-	-	2135	Escherichia coli
ESC_JA5743AA	AVC177	SRR7469893;ILLUMINA;Paired;;SRX4339617	Poultry	Poultry	Gallus gallus domesticus	2010	11			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O1:H6			APEC			PRJNA479542	SRP151965		SAMN09580013	SRS3500516	2018-07-04	2018-07-04	ESC_JA5743AA	O1	H6	68	ND	D	ND	Assembled	65	154282	5446686	Escherichia coli / Shigella;98.54%	177	49020	4	ESC_SA8248AA_AS	75608	69234	69234	69234	69234	69234	69234	69234	69234	6557	6557	6557	6557	2	1	D	D	fimH49	-	-	-	-	-	-	-	-	85278	Escherichia/Shigella sp.
ESC_JA5744AA	AVC179	SRR7469894;ILLUMINA;Paired;;SRX4339616	Poultry	Poultry	missing	2010	12			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O15:H1			APEC			PRJNA479542	SRP151965		SAMN09580014	SRS3500515	2018-07-04	2018-07-04	ESC_JA5744AA	O15	H1	362	ND	D	ND	Assembled	48	166487	5416014	Escherichia coli / Shigella;97.48%	142	51017	4	ESC_SA8247AA_AS	75609	69235	69235	69235	69235	69235	69235	29997	14298	2200	2200	2200	2200	2	1	D	D	fimH96	-	-	-	-	-	-	-	-	1632	Escherichia coli
ESC_JA5749AA	AVC183	SRR7469899;ILLUMINA;Paired;;SRX4339611	Poultry	Poultry	Gallus gallus domesticuss 	2010	12			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O25:H4			APEC			PRJNA479542	SRP151965		SAMN09580015	SRS3500511	2018-07-04	2018-07-04	ESC_JA5749AA	O25	H4	131	ST131 Cplx	B2	ND	Assembled	72	272814	5119139	Escherichia coli / Shigella;100.0%	89	69205	4	ESC_SA8242AA_AS	75614	69237	69237	69237	69237	69237	69237	3825	1709	7	7	7	7	7	1	B2	B2	fimH22	-	-	-	-	-	-	-	-	1503	Escherichia coli
ESC_JA5750AA	AVC184	SRR7469900;ILLUMINA;Paired;;SRX4339610	Poultry	Poultry	Gallus gallus domesticus	2011	1			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O111:H4			APEC			PRJNA479542	SRP151965		SAMN09580016	SRS3500509	2018-07-04	2018-07-04	ESC_JA5750AA	O111	H4	117	ND	ABD	ND	Assembled	66	141282	5249076	Escherichia coli / Shigella;96.92%	215	65268	4	ESC_SA8241AA_AS	75615	69238	69238	69238	29949	29949	29949	29949	29949	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	1658	Escherichia coli
ESC_JA5752AA	AVC186	SRR7469902;ILLUMINA;Paired;;SRX4339608	Poultry	Poultry	missing	2011	1			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O45:H19			APEC			PRJNA479542	SRP151965		SAMN09580017	SRS3500507	2018-07-04	2018-07-04	ESC_JA5752AA	O45	H19	350	ST350 Cplx	ND	ND	Assembled	89	117535	5479722	Escherichia coli / Shigella;96.45%	186	28251	4	ESC_SA8239AA_AS	75617	69240	69240	69240	69240	69240	68964	68961	68961	68961	30323	175	175	2	1	E	E	fimH142	-	-	-	-	-	-	-	-	85280	Escherichia/Shigella sp.
ESC_JA5734AA	AVC19	SRR7469884;ILLUMINA;Paired;;SRX4339626	Poultry	Poultry	Meleagris gallopavo	2008	2			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O2:H1			APEC			PRJNA479542	SRP151965		SAMN09579964	SRS3500526	2018-07-04	2018-07-04	ESC_JA5734AA	O2	H1	429	ND	B2	ND	Assembled	48	377750	5162977	Escherichia coli / Shigella;91.38%	69	20883	4	ESC_SA8257AA_AS	76651	70292	70292	70282	70262	69260	69260	4221	4221	4221	4221	2745	2745	7	1	B2	B2	fimH20	-	-	-	-	-	-	-	-	1645	Escherichia coli
ESC_JA5751AA	AVC191	SRR7469901;ILLUMINA;Paired;;SRX4339609	Poultry	Poultry	missing	2011	3			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O111:H4			APEC			PRJNA479542	SRP151965		SAMN09580018	SRS3500508	2018-07-04	2018-07-04	ESC_JA5751AA	O111	H4	117	ND	ABD	ND	Assembled	65	158757	5265916	Escherichia coli / Shigella;98.35%	148	49748	4	ESC_SA8240AA_AS	75616	69239	69239	69238	29949	29949	29949	29949	29949	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	1658	Escherichia coli
ESC_JA5754AA	AVC195	SRR7469904;ILLUMINA;Paired;;SRX4339606	Poultry	Poultry	Gallus gallus domesticuss 	2011	6			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O24:H26			APEC			PRJNA479542	SRP151965		SAMN09580019	SRS3500505	2018-07-04	2018-07-04	ESC_JA5754AA	O24	H26	57	ST350 Cplx	AxB1	ND	Assembled	73	166007	5310263	Escherichia coli / Shigella;100.0%	126	20607	4	ESC_SA8237AA_AS	75619	69242	69242	69242	69242	69242	69242	69242	69242	4209	3590	175	175	2	1	E	E	fimH158	-	-	-	-	-	-	-	-	1664	Escherichia coli
ESC_JA5753AA	AVC196	SRR7469903;ILLUMINA;Paired;;SRX4339607	Poultry	Poultry	missing	2011	6			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O11:H15			APEC			PRJNA479542	SRP151965		SAMN09580020	SRS3500506	2018-07-04	2018-07-04	ESC_JA5753AA	O11 or OX19	H15	973	ND	ND	ND	Assembled	51	158920	5265472	Escherichia coli / Shigella;100.0%	112	37797	4	ESC_SA8238AA_AS	75618	69241	69241	69241	69241	69241	69241	69241	69241	1419	1419	1419	1419	642	1	D	D	fimH26	-	-	-	-	-	-	-	-	15031	Escherichia coli
ESC_JA5756AA	AVC197	SRR7469906;ILLUMINA;Paired;;SRX4339604	Poultry	Poultry	missing	2011	6			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O45:H19			APEC			PRJNA479542	SRP151965		SAMN09580021	SRS3500501	2018-07-04	2018-07-04	ESC_JA5756AA	O45	H19	350	ST350 Cplx	ND	ND	Assembled	46	126561	5459290	Escherichia coli / Shigella;98.38%	152	25207	4	ESC_SA8235AA_AS	75621	69243	69243	69243	69243	69243	68964	68961	68961	68961	30323	175	175	2	1	E	E	fimH142	-	-	-	-	-	-	-	-	85280	Escherichia/Shigella sp.
ESC_JA5755AA	AVC198	SRR7469905;ILLUMINA;Paired;;SRX4339605	Poultry	Poultry	missing	2011	6			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O45:H19			APEC			PRJNA479542	SRP151965		SAMN09580022	SRS3500504	2018-07-04	2018-07-04	ESC_JA5755AA	O45	H19	350	ST350 Cplx	ND	ND	Assembled	76	152513	5467259	Escherichia coli / Shigella;97.14%	192	22262	4	ESC_SA8236AA_AS	75620	68964	68964	68964	68964	68964	68964	68961	68961	68961	30323	175	175	2	1	E	E	fimH142	-	-	-	-	-	-	-	-	85281	Escherichia/Shigella sp.
ESC_JA5739AA	AVC20	SRR7469889;ILLUMINA;Paired;;SRX4339621	Poultry	Poultry	Meleagris gallopavo	2008	2			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O2:H1			APEC			PRJNA479542	SRP151965		SAMN09579965	SRS3500520	2018-07-04	2018-07-04	ESC_JA5739AA	O2	H1	429	ND	B2	ND	Assembled	51	297695	5295616	Escherichia coli / Shigella;90.48%	115	19461	4	ESC_SA8252AA_AS	76643	70282	70282	70282	70262	69260	69260	4221	4221	4221	4221	2745	2745	7	1	B2	B2	fimH20	-	-	-	-	-	-	-	-	1645	Escherichia coli
ESC_JA5758AA	AVC200	SRR7469908;ILLUMINA;Paired;;SRX4339602	Poultry	Poultry	missing	2011	6			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O45:H19			APEC			PRJNA479542	SRP151965		SAMN09580023	SRS3500502	2018-07-04	2018-07-04	ESC_JA5758AA	O45	H19	350	ST350 Cplx	ND	ND	Assembled	71	93828	5473595	Escherichia coli / Shigella;97.09%	234	35907	4	ESC_SA8233AA_AS	75622	69245	69245	68964	68964	68964	68964	68961	68961	68961	30323	175	175	2	1	E	E	fimH142	-	-	-	-	-	-	-	-	85281	Escherichia/Shigella sp.
