#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
46127	1916000	2876000	2396147	31
46206	2258000	3608000	2932765	7
46224	2394000	4960000	3676944	39
46228	2256000	3385000	2820332	7
46256	1454000	2183000	1818703	7
46257	4765000	7160000	5962738	13
46503	3720000	5766000	4742890	62
46506	3268000	4903000	4085261	54
46541	1512000	2269000	1890427	7
46578	555423000	833136000	694279901	4
46634	13044000	39133000	26088352	7
46677	4394000	6592000	5493167	5
46678	5014000	7523000	6268579	5
46679	4667000	7002000	5834313	4
46680	4885000	8517000	6700970	12
46867	2306000	3461000	2883701	5
47312	3788000	5683000	4735197	5
47466	670000	2013000	1341425	22
47500	5017000	7527000	6272075	7
47678	4181000	6559000	5369600	60
47715	2360000	3542000	2950875	199
47716	6664000	9997000	8330356	4
47735	1922000	2884000	2402510	7
47763	6519000	10850000	8684422	8
47770	1412000	2858000	2134855	147
47845	3252000	4879000	4065582	8
47850	5890000	8836000	7362844	7
47877	4908000	7364000	6136056	85
47878	5363000	8046000	6704783	10
47879	4902000	7354000	6128127	13
47880	4173000	6268000	5220485	70
47883	5414000	8123000	6768492	17
47884	3943000	5915000	4929046	4
47885	4043000	6065000	5053864	16
47886	3592000	7300000	5446167	6
47917	4450000	7029000	5739774	47
47951	3983000	5975000	4978836	83
48003	762000	1144000	953288	15
48296	3194000	4792000	3992784	473
48490	35031000	52548000	43789321	8
48664	2940000	5365000	4152511	64
49283	5229000	7845000	6537383	7
49338	4257000	6387000	5322023	8
50338	5941000	8913000	7426749	4
50340	5253000	7880000	6566664	6
50719	4088000	6134000	5111114	22
50960	1950000	2927000	2438662	5
51101	4304000	6457000	5380652	6
51173	2036000	3969000	3002246	4
51203	1524000	2288000	1906118	4
51288	2685000	8057000	5371308	11
51338	1636722000	3642157000	2639439459	4
51453	27457000	41187000	34322196	11
51541	3824000	11473000	7648185	12
51589	3117000	4677000	3896891	5
51655	170085000	510257000	340170855	6
51663	1605000	2795000	2199921	12
51665	1601000	2403000	2001835	8
51669	1941000	2913000	2426739	28
52133	2779000	4170000	3474786	11
52242	1264000	2776000	2020091	9
52442	2621000	3933000	3277442	4
52584	2096000	3146000	2620958	20
52586	33406000	66592000	49999099	6
52689	3392000	5089000	4240365	4
52767	2284000	3427000	2855055	4
52904	433221000	649833000	541526669	5
53260	2196	3295	2746	12
53344	2061000	3092000	2576275	24
53345	2422000	3635000	3028540	122
53346	2590000	4086000	3337871	48
53374	1985000	2979000	2482491	4
53407	5584000	9763000	7673866	6
53408	5729000	8594000	7161621	9
53409	4538000	6809000	5673690	77
53413	3846000	6160000	5002925	19
53437	4681000	7022000	5851383	4
53442	3489000	5234000	4361267	6
53444	1139000	1709000	1423897	11
53446	3668000	11006000	7336801	4
53485	28308000	67654000	47981116	17
53985	57434000	100135000	78784409	13
54005	1098000	2645000	1871565	9
54121	2264000	3397000	2830667	15
54289	2946	4419	3683	5
54291	4605000	6938000	5771222	119
54571	6506000	9760000	8132726	12
54736	3696000	5545000	4620176	93
54913	4970000	7456000	6212749	5
54915	5564000	8347000	6955452	4
55169	34747000	56036000	45391694	6
55194	6917000	20753000	13835083	9
55197	2860000	4291000	3575459	5
55208	4021000	6033000	5026926	4
55211	4056000	6085000	5070450	9
55212	4230000	6346000	5287590	7
55218	2435000	6773000	4603984	9
55363	311924000	935773000	623848598	4
55601	2096000	6289000	4192596	130
56192	3510000	5266000	4387987	7
56448	3957000	5936000	4946272	143
56454	4200000	6302000	5250904	33
56458	3918000	5879000	4898376	7
56459	3927000	5892000	4909597	104
56460	4242000	6365000	5303523	16
56689	3089000	9270000	6179934	9
56812	3856000	5786000	4820943	4
56877	1408000	2114000	1761233	10
56878	1287000	1932000	1609852	6
57037	2472000	3710000	3090860	7
57043	2545000	3934000	3239725	9
57482	9572	15000	11966	9
57676	5784000	8678000	7230965	4
57704	3913000	5871000	4891805	8
57705	2659000	3990000	3324508	4
57706	3538000	6685000	5111390	106
57732	2048000	3073000	2560363	7
57975	5344000	8017000	6680427	56
58117	4372000	13117000	8744385	6
58169	4066000	6284000	5175299	4
58291	13545000	40636000	27090292	14
58343	5068000	15000000	10136581	4
59310	1650000	2621000	2135578	8
59479	1649555000	2474333000	2061944046	4
59509	120000	181000	150496	30
59586	34126000	51190000	42657670	43
59729	845920000	1295762000	1070841195	8
59737	2704000	4058000	3381056	6
59799	11013000	33042000	22027726	4
59813	4538000	6809000	5673594	4
59814	3802000	5901000	4851469	23
59816	4568	6853	5711	1
59817	6363	9544	7954	4
59843	4772000	8296000	6533851	6
59893	4874000	7312000	6093195	9
60137	2841000	4262000	3551353	5
60169	25997000	38997000	32496773	4
60520	1651000	4955000	3302862	12
60549	7023000	10535000	8779102	8
60550	6387000	9581000	7983923	14
60552	5193000	8566000	6879800	108
60847	2106000	5783000	3944467	5
60890	3632000	5450000	4541013	10
61015	2209000	3315000	2761755	22
61235	32206000	48310000	40257718	4
61284	34191000	51288000	42739862	4
61435	1116000	1675000	1395502	33
61476	453938000	1361816000	907876966	4
61645	3772000	5929000	4850541	169
61646	3658000	5488000	4572787	13
61647	4410000	6616000	5512591	22
61648	4053000	7889000	5971367	22
61651	4185000	6278000	5231307	4
61652	3990000	5987000	4988571	12
62079	2770	8311	5541	4
62088	829000	1777000	1302700	16
62322	4200000	6301000	5250121	14
63436	344326000	625063000	484694486	5
63577	29005000	43509000	36257228	4
64104	4530000	6797000	5663678	112
64320	8645	13000	10807	5
64363	15142000	45428000	30284678	19
64495	21582000	64747000	43164390	47
64518	29752000	44629000	37190716	8
65058	2007000	3012000	2509724	40
65357	25030000	41145000	33087500	8
65489	195331000	389790000	292560727	4
65612	841000	2524000	1682508	23
65958	1866000	5601000	3733420	6
65959	2435000	3653000	3044158	8
66219	3769000	5654000	4711589	4
66269	3828000	5743000	4785464	30
66370	4832000	14497000	9664207	4
66428	6435000	9654000	8044912	4
66851	1682000	2525000	2103692	4
66948	8423000	12635000	10529110	6
67258	6100000	9151000	7625195	5
67260	4966000	9981000	7473163	5
67294	5898000	9802000	7849962	4
67304	7688000	11534000	9611064	6
67351	6433000	9651000	8042460	12
67581	6526000	9791000	8158415	4
67780	2965000	4449000	3707445	11
67824	3986000	6632000	5308998	23
67825	4196000	6296000	5246057	8
67826	3838000	5758000	4797751	9
67827	3929000	6234000	5081435	30
67855	2021000	3033000	2526693	4
68170	8359000	12540000	10449723	4
68186	5921000	8883000	7401911	4
68202	6466000	9701000	8083644	4
68239	8087000	14482000	11284788	5
68270	8140000	12314000	10226866	4
68570	6415000	12330000	9372401	7
68886	4629000	13890000	9259684	4
68892	1379000	2336000	1857230	11
68895	6737000	10106000	8421483	5
69181	123423000	370270000	246846317	4
69218	3905000	5859000	4882032	16
69220	3804000	5707000	4755591	4
69293	345558000	518546000	432052078	6
69373	2483000	5256000	3869504	5
69395	2716000	8151000	5433566	5
69781	24490000	36736000	30613124	7
69824	2360000	3541000	2950774	4
69966	1756000	2635000	2195272	47
70255	2148000	3223000	2685087	10
70346	2098000	4726000	3411875	6
70448	7379000	22138000	14758467	7
70611	2441000	3663000	3052492	16
70775	4544000	7069000	5806309	19
70799	4281000	6422000	5351435	4
71237	2068000	3104000	2585958	18
71451	3667000	5502000	4584308	6
71452	3369000	5055000	4211901	6
71657	3078000	4618000	3848106	6
71999	2275000	3413000	2843823	13
72000	2085000	3315000	2699706	22
72026	1418000	2129000	1773544	4
72036	439040000	891219000	665129626	5
72149	6519	9951	8235	8
72228	51529000	154588000	103058277	4
72360	3171000	4758000	3964405	6
72361	3155000	4733000	3944079	6
72520	20155000	37306000	28730507	4
72556	5057000	7587000	6322189	7
72557	5165000	7749000	6456955	15
74316	2630000	3947000	3288596	5
74329	1698000	5095000	3396177	4
74426	1708000	2790000	2248940	69
74706	1234000	3703000	2468622	35
74722	29196000	43795000	36495090	4
74790	21456000	32185000	26820018	8
74829	3489000	5234000	4361407	11
75105	7230000	10846000	9037972	8
75588	4990000	7487000	6238666	4
75612	5478000	8218000	6848178	11
75658	1275000	1913000	1593985	31
75736	7611000	11418000	9514252	4
75985	2089000	3135000	2611675	191
76594	3583000	5538000	4560540	7
76758	4774000	7162000	5967568	10
76759	3736000	7929000	5832492	34
76760	4787000	7181000	5983759	13
76761	5488000	8671000	7079983	23
76773	7150000	10727000	8938614	5
76775	3629000	10889000	7259217	5
76777	6183000	9275000	7729037	9
76832	3232000	4850000	4041097	11
76860	1530000	2296000	1913062	21
77022	2715000	4908000	3811904	26
77095	2709000	4065000	3387470	6
77298	5250000	7876000	6562829	6
77635	2222000	3334000	2777677	4
77856	1596	2394	1995	419
78258	1512000	2270000	1891185	4
78327	4554000	6970000	5762332	14
78331	3515000	5274000	4394918	15
78342	1603000	2406000	2004594	4
78343	1733000	2600000	2166267	4
78345	1628000	2925000	2276555	4
78346	1792000	2689000	2240068	4
78398	4049000	6074000	5061349	17
78448	1682000	2560000	2120601	14
78544	5268000	7903000	6585096	8
78633	207809000	431356000	319582365	4
78898	32262000	48394000	40327758	4
79327	346497000	1039494000	692995953	4
79329	3366000	10099000	6732602	6
79588	17208000	44450000	30829093	4
79880	3437000	5157000	4297130	30
79883	3402000	5104000	4252532	4
80600	28031000	42048000	35039901	7
80842	4583000	6876000	5729478	8
80854	4102000	6154000	5127966	12
80866	5347000	8022000	6684930	16
80867	2108000	6326000	4216890	17
80869	4165000	6259000	5211900	10
81408	3050000	4576000	3812649	4
81569	2540000	6261000	4400531	18
81858	4244000	6367000	5305458	6
81947	1601000	2403000	2001870	6
81970	83595000	250787000	167191032	5
82135	1159000	1740000	1449419	6
82367	2920000	5899000	4409379	9
82380	3115000	4674000	3894869	9
82541	4462000	6695000	5578743	9
82633	5069000	8584000	6826799	5
82676	6292	9439	7866	4
82977	3733000	5873000	4802538	4
82981	3382000	5074000	4227602	4
82983	4009000	6015000	5011796	5
82985	3230000	4847000	4038704	5
82995	4078000	6118000	5097972	4
82996	4354000	6532000	5442880	27
83186	46183000	77832000	62007477	4
83219	3227000	4842000	4034552	87
83262	4546000	6820000	5682787	17
83263	4378000	8320000	6348880	4
83462	8402000	12604000	10502867	13
83526	2193000	3291000	2741839	8
83552	2403000	3605000	3004123	4
83554	941000	1413000	1177015	60
83555	578000	1737000	1157797	49
83558	982000	1475000	1228576	13
83559	873000	1311000	1092256	34
83560	858000	1288000	1072952	29
83655	3887000	6003000	4944997	31
83656	6410000	9616000	8012773	6
83683	1280000	1922000	1601193	7
83771	1791000	4020000	2905841	6
84023	3481000	5223000	4352205	5
84024	2874000	4313000	3593577	4
84025	1676000	3397000	2536632	4
84030	1847000	5544000	3695361	6
84032	3672000	5509000	4590738	4
84096	4038000	6058000	5048240	4
84112	2772000	4159000	3465489	56
84135	1436000	2156000	1795903	6
84531	4475000	6817000	5646243	4
84595	4944000	7417000	6180512	7
85336	2146000	3221000	2683508	4
85402	1856000	2786000	2321045	6
85404	1763000	2646000	2204450	7
85692	8476970000	12715457000	10596213391	4
85693	4801000	7203000	6001708	5
85698	5163000	7876000	6519271	89
85701	1309000	3115000	2212063	7
85708	1413	2120	1767	2423
85831	2949000	7327000	5137552	12
85982	30371000	47015000	38693135	5
85991	884000	1327000	1105384	12
86102	2147000	3222000	2684812	5
86185	3772000	6204000	4987543	40
86265	5270000	7906000	6587919	6
86664	3159000	4740000	3949664	13
86840	4831000	7248000	6039390	10
87541	1319000	1980000	1649651	4
87883	3218000	9655000	6436222	261
88431	1583000	4752000	3167565	50
88456	35397000	53097000	44247389	37
89014	3111000	4668000	3889959	6
89053	3960000	5942000	4951163	4
89059	1786000	2842000	2313671	4
89061	1577000	2367000	1971958	4
89153	3041000	4563000	3802096	5
89462	2141742000	3212614000	2677178324	5
89488	20912000	31370000	26141108	4
90239	1653000	2480000	2066626	4
90244	2268000	3403000	2835675	4
90245	1958000	3042000	2499738	11
91492	25810000	38717000	32263507	6
91844	238000	477000	357461	11
91915	2645000	3969000	3306935	5
91928	26128000	39193000	32660053	10
91943	24359000	73080000	48719850	15
92644	8595000	12894000	10744231	5
92647	6895000	10343000	8618907	12
92942	7210000	10816000	9012724	16
92945	2621000	3932000	3276390	5
93064	3864000	5797000	4830159	76
93218	4487000	6732000	5609637	21
93220	4311000	6468000	5389547	10
93222	4765000	7148000	5956418	5
93378	3051000	4578000	3814381	4
94138	2135000	3204000	2669708	4
94610	22985000	64196000	43590407	35
94624	2606000	7481000	5043350	5
94625	3775000	5701000	4737793	22
94626	3479000	6572000	5025724	5
94869	3305000	4959000	4132257	5
95342	5956	8934	7445	10
95485	6281000	10730000	8505441	9
95486	3954000	11865000	7909437	398
96241	3236000	4855000	4045538	11
96344	4129000	9866000	6997422	6
96345	2191000	3288000	2739339	152
97478	1355000	2864000	2109524	14
98668	5496000	8245000	6870320	4
99653	6301000	14117000	10208989	4
100053	3249000	4875000	4061826	6
100217	100000	152000	125883	19
100755	2263	3394	2829	15
100816	28137000	42207000	35171820	4
100884	2771000	4788000	3779290	8
100886	1848000	3014000	2431065	4
100951	12677000	28534000	20605809	5
101028	29556000	44335000	36945160	4
101201	29967000	44951000	37459153	6
101480	17615000	26424000	22019940	5
101571	6022000	9035000	7528485	309
101932	4157000	12472000	8314386	23
102148	1409000	2588000	1998704	4
102684	1479000	2220000	1849522	11
102862	3059000	4590000	3824497	6
103232	8542000	12814000	10677810	4
103621	2091000	3137000	2614023	5
103816	4003000	7178000	5590512	11
103855	3919000	5879000	4898844	26
104087	4794000	8255000	6524485	15
104099	2408000	3613000	3010195	4
104101	2688000	4034000	3361018	4
104102	2997000	4497000	3746694	11
104268	2686000	4031000	3358580	5
104336	2874000	4313000	3593462	4
104628	1310000	1966000	1638326	34
104782	102699000	308098000	205398173	4
105219	3880000	5821000	4850535	10
105612	1338000	2009000	1673442	4
105841	2837000	4256000	3546507	6
106370	4210000	6316000	5262682	4
106588	1536000	4611000	3073978	4
106590	4190000	10642000	7415967	15
106592	4897000	9582000	7239451	17
106648	3772000	5659000	4715080	50
106649	3874000	5812000	4842783	9
106654	3154000	4732000	3943296	157
106966	5912	8869	7391	11
107401	2676000	4015000	3345031	25
108015	6446000	9670000	8058006	8
108098	28000	43000	35232	405
108980	2751000	4240000	3495513	49
108981	2610000	3917000	3263378	12
109328	2284000	3427000	2855727	4
109790	1244000	2052000	1648234	43
109975	4793000	11265000	8028605	6
110321	5364000	8047000	6705565	48
110505	3928000	5894000	4911148	4
111105	1884000	2828000	2356049	12
111504	1440000	2161000	1800483	5
112090	26732000	80197000	53464605	13
112904	2444000	3667000	3055159	5
113107	1591000	2387000	1988892	12
113366	153000	231000	191718	5
113540	589570000	884356000	736963138	5
114155	30761000	46143000	38452111	4
114186	135000	204000	169982	10
114524	4037000	12114000	8075925	18
114742	21561000	64684000	43122136	12
114977	4177000	6266000	5221451	4
115357	225148000	675447000	450297937	6
116085	2794000	4192000	3492749	6
117187	33775000	50664000	42219296	5
117680	3492000	10479000	6985870	8
117681	5972000	8960000	7466226	30
118140	5611	8416	7014	14
118562	4303000	7457000	5879642	8
119206	1680000	2522000	2101065	11
119219	5530000	8297000	6913352	13
119858	3760000	5641000	4700172	10
119927	27466000	41201000	34333581	8
119981	2405000	3608000	3006414	4
120017	14670000	36431000	25550293	4
120168	2192	3289	2741	6
120213	2941000	4756000	3848592	7
120576	2661000	3993000	3327232	6
120577	2625000	3939000	3282220	9
120957	5264000	10643000	7953523	5
120959	4666000	7000000	5832568	7
121719	4143000	6918000	5530656	7
121759	23451000	35177000	29314059	4
121791	14000	22000	18246	14
122355	4233000	6350000	5291596	8
123822	1850000	2776000	2313223	4
123841	1298000	1948000	1622996	5
123899	3528000	5294000	4410991	14
125945	88480000	265441000	176960164	4
126385	3238000	4858000	4047541	29
128780	3143000	4715000	3929091	6
128785	3162000	4745000	3953654	4
129338	2807000	4376000	3591490	6
129355	28320000	69689000	49004543	5
129364	62209000	93315000	77761924	5
129817	4792000	7189000	5990368	6
129875	27000	41000	33776	9
129921	7392000	11089000	9240616	4
129950	27000	42000	34446	4
129951	28000	44000	35923	128
130049	5144000	7717000	6430315	8
130081	10796000	17285000	14040544	10
130308	28000	44000	35962	79
130309	27000	41000	34138	39
130310	28000	43000	35100	218
130328	26000	40000	33213	9
130369	27000	41000	34094	5
130453	712061000	1339519000	1025789630	4
131109	2518000	3778000	3147500	4
131111	1583000	2375000	1979164	4
132144	837000	2512000	1674039	4
132476	5160000	7741000	6450472	8
133448	3902000	6045000	4973947	16
133704	1407	2110	1759	64
133926	1583000	2941000	2261900	8
134533	1713000	4043000	2878042	5
134534	3445000	5169000	4307248	6
134536	5874000	8813000	7343472	6
134537	7123000	10686000	8904778	10
134601	5755000	8634000	7194239	7
134821	552000	919000	735313	14
135487	5108000	7663000	6385560	35
135577	2271000	3408000	2839759	5
135735	4255000	6383000	5318960	9
136468	4534000	6802000	5668164	88
137545	3927000	6659000	5292949	5
137591	1966000	2950000	2457678	47
137779	4347000	6521000	5434029	4
137838	3560000	5757000	4658596	9
138072	1061000	3184000	2122302	17
138074	1284000	3855000	2569435	11
138336	3411000	5645000	4528307	4
138563	1447000	2171000	1809021	5
138948	5923	8884	7404	22
138949	5936	8904	7420	60
138950	5951	8926	7439	46
139208	1683000	4956000	3319644	4
140626	2085000	3129000	2607232	5
141904	3772	12000	7545	6
145458	1856000	2785000	2320633	40
145522	22111000	33168000	27639860	7
146017	5252000	7879000	6565366	4
146032	1456	2185	1821	69
146474	2327000	3492000	2909527	6
146476	2368000	3553000	2960230	5
146819	7343000	13657000	10499951	5
146919	3052000	4579000	3815602	127
146922	6862000	10294000	8577566	5
147207	941000	2826000	1883713	9
147645	3735000	5603000	4668852	7
147711	5707	8560	7134	78
147712	5771	8656	7214	30
147802	1039000	1582000	1310250	31
148305	32141000	54835000	43487971	8
148604	1647000	2472000	2059178	4
148814	1241000	1863000	1552275	26
150055	1482000	2225000	1853606	45
150056	2014000	3022000	2517816	10
150123	3412000	5120000	4265930	4
151081	3279000	4920000	4099316	14
152268	4214000	6605000	5409577	4
152331	2091000	3138000	2614836	28
152332	2015000	3024000	2519554	4
152480	5982000	8974000	7478023	82
152500	5119000	7679000	6399081	12
152682	3238000	4858000	4047966	9
153151	2658000	3988000	3323060	5
153496	2615000	3923000	3269041	4
154046	3484000	10455000	6969461	23
154288	2426000	3641000	3033551	243
155077	3661000	5492000	4576568	4
155194	1307000	1962000	1634591	4
155322	4743000	7115000	5928802	238
155866	1327000	1991000	1658775	5
155892	2520000	5727000	4123726	9
156630	27032000	40549000	33790530	6
156980	2929000	4395000	3662335	5
156981	2070000	6213000	4141348	8
157268	1317000	1976000	1646584	8
157687	1888000	2834000	2361227	7
157782	3858000	5789000	4823531	9
158080	2928000	4393000	3660741	5
158484	3891000	5838000	4864675	4
158627	4676000	7015000	5845484	5
158787	2515000	3773000	3143954	5
158822	3851000	6080000	4965436	5
158836	3973000	5961000	4966856	2093
158847	1602000	2876000	2239012	6
158849	2659000	3990000	3324506	4
158850	3116000	4676000	3896203	9
158877	3905000	5859000	4882482	10
159743	3041000	9126000	6083395	5
160386	2461000	3693000	3077012	4
160404	1301000	3905000	2602751	7
160453	3306000	4960000	4133234	4
160699	4097000	6147000	5122453	4
160791	3964000	7580000	5772066	4
160808	1632000	4897000	3264018	8
161398	3778000	5669000	4723489	8
161879	2010000	3016000	2513126	8
161934	245580000	736742000	491161276	11
162145	10000	17000	13335	5
162425	24387000	36581000	30483837	4
162426	2407000	4572000	3489290	8
163011	5212000	7819000	6515738	6
163665	3161000	4742000	3951265	5
164328	20478000	61436000	40957193	24
164514	490000	736000	612964	11
164546	5381000	8072000	6726359	42
165096	1102000	1921000	1511713	5
165179	2668000	4661000	3664190	111
165848	94516000	283550000	189032709	59
166486	3448000	5173000	4310506	16
168469	5338000	8009000	6673402	4
168471	2609000	3915000	3262298	5
168695	4191000	6287000	5239114	11
168697	4580000	6871000	5725305	48
168935	3718000	5579000	4648643	4
169292	2184000	3278000	2731071	32
169430	8948000	13423000	11185673	10
169435	2438000	4704000	3570759	16
169669	5076000	7616000	6345885	4
169679	4005000	6008000	5006580	64
170573	1977000	2967000	2472221	20
170623	3949000	5924000	4936268	5
170651	4219000	6330000	5274178	6
170673	3770000	5656000	4712607	15
170679	4309000	6465000	5386864	6
171383	3790000	5686000	4737840	4
171693	2940000	4411000	3675175	4
172042	2095000	3143000	2618761	6
172045	3430000	5146000	4287791	22
172278	2210	3315	2763	5
173365	3509000	5821000	4665210	5
174685	1839000	2760000	2299658	4
175628	3482000	5224000	4352963	12
176102	3610000	5417000	4513688	4
176275	28017000	42026000	35021612	15
176292	1656000	2486000	2071032	4
178001	1656000	2485000	2070488	4
178214	1521000	2283000	1901777	4
178606	1924000	2888000	2405882	7
178901	2321000	4706000	3513430	7
179636	3842000	5764000	4802873	6
179879	5241000	9990000	7615746	30
180088	31680000	47521000	39600252	4
180164	1835000	5506000	3670360	8
180170	89000	135000	112047	20
180282	5036000	8242000	6639232	7
180332	5761000	8643000	7202111	4
180498	212217000	319232000	265724573	4
180588	2515000	3774000	3144841	4
180957	3867000	5802000	4834460	88
181343	28901000	43352000	36126572	7
181667	6586	9879	8233	5
181675	1363000	2045000	1703925	4
182337	4195000	6293000	5244020	5
182845	55839000	83759000	69798940	8
183417	3100000	4652000	3875927	5
183795	5037000	7556000	6296596	8
184870	1614000	2516000	2064920	4
185007	2380000	4255000	3317326	4
185008	2711000	4067000	3388930	4
185793	2189	3284	2737	7
186540	15000	22000	18875	1
186541	15000	22000	18935	1
186805	120000	181000	150270	12
187304	5091000	7782000	6436579	7
187327	1808000	2714000	2261244	4
187452	1571000	2358000	1964414	4
188144	4388000	6583000	5485692	17
188932	4964000	7447000	6205710	7
189381	3482000	5224000	4353034	10
189382	3510000	5561000	4535833	8
189426	5567000	8351000	6958935	33
189691	6233000	9351000	7791721	6
190061	35000	53000	43804	10
190062	36000	55000	45771	4
190063	34000	53000	43723	51
190064	34000	53000	43719	27
190065	35000	53000	43827	26
190721	4897000	7347000	6121755	11
190893	4483000	6726000	5604828	30
190895	4290000	6437000	5363468	14
191292	5147000	7721000	6433862	7
191390	5008000	7513000	6260378	6
191391	5452000	8180000	6815921	4
191770	1922000	3043000	2482538	5
192421	2612000	3920000	3266182	4
192812	2243000	3660000	2951563	5
193462	6564000	9847000	8205019	4
194440	7226	11000	9033	4
194441	7165	11000	8957	9
194963	5362000	8044000	6702527	6
195088	3261000	4893000	4076870	4
195105	3300000	4951000	4125358	4
196024	2393000	7180000	4786349	47
196064	23913000	71742000	47827394	9
196093	2192	3288	2740	4
196367	4520000	13561000	9040390	8
197575	1540000	2311000	1925603	5
197614	1727000	2592000	2159802	11
198068	25000	77000	50841	4
198252	547000	1644000	1095568	24
198618	5356000	8035000	6695739	8
198620	4880000	7321000	6100607	23
199306	19479000	31862000	25670559	10
199591	2388000	3583000	2985081	5
199592	2778000	4168000	3473155	6
200450	4313000	6956000	5634567	5
200451	4438000	7554000	5996364	11
200452	4558000	6839000	5698429	11
202611	2912000	6114000	4512819	4
202950	2877000	4317000	3596934	12
202951	2558000	4212000	3384519	6
202954	2721000	4865000	3793054	6
202956	2249000	3488000	2868134	13
204038	3860000	5791000	4825596	13
204039	3875000	5814000	4844463	50
204042	3726000	5590000	4657784	14
204516	3296000	5201000	4248541	14
204799	3613000	5420000	4516452	5
205686	33923000	50886000	42404630	8
206506	3171000	4757000	3964094	4
207340	3941000	5913000	4927322	4
208223	3423000	6191000	4807035	7
208224	2942000	6982000	4961697	127
208348	51021000	139218000	95119761	17
208479	5170000	7756000	6463044	22
208602	6141000	9213000	7677286	5
208962	3875000	5814000	4844297	284
211146	3909000	5864000	4886648	4
212035	882000	1481000	1181549	7
212663	4407000	6611000	5509043	23
213419	2842000	4264000	3553219	5
214473	2311000	3468000	2889681	18
214853	1669000	2900000	2284603	5
214856	2801000	4203000	3502373	7
215221	2954000	4432000	3693173	5
215358	518298000	889271000	703784309	6
215580	3077000	4617000	3846812	4
216778	2134000	6403000	4268161	15
216816	1923000	2885000	2403832	842
217203	5140000	7711000	6425783	7
217204	5177000	7767000	6472476	15
218284	3678000	5518000	4597807	7
219572	5098000	7648000	6372888	4
219574	5080000	7621000	6350040	11
220608	2207	3310	2759	5
220697	3804000	5707000	4755343	9
220812	1097	1646	1372	6
220932	2212	3319	2766	5
221126	3764000	5647000	4705407	4
221167	37416000	81168000	59292093	9
221822	3397000	5163000	4280038	24
222456	2195	3292	2744	5
222459	2211	3316	2764	9
223252	2191	3286	2739	6
223919	4686000	7030000	5857971	4
223967	3612000	8086000	5848997	5
225991	3075000	4614000	3844207	4
225992	2634000	4387000	3510398	7
226665	1023000	1536000	1279369	5
227866	3163000	4746000	3954476	4
227945	1734000	2602000	2168059	4
228229	1364000	2048000	1706154	4
229007	1917000	5754000	3835693	4
229634	2193	3290	2742	5
229636	2188	3282	2735	4
230603	5877000	17633000	11754872	24
231049	2054000	3603000	2828708	10
231455	3641000	5959000	4800211	4
231936	86591000	129887000	108238750	4
232082	40121000	60183000	50152336	5
233316	3763000	5645000	4704030	4
237258	2198000	3298000	2747749	4
237609	4642000	6965000	5803521	4
237610	4244000	6367000	5305139	24
237895	7243000	10866000	9054257	14
238834	3361000	6571000	4965693	7
239935	2148000	3449000	2798160	215
240427	2808000	4213000	3510481	5
240865	2210	3315	2763	15
242606	3715000	5574000	4644245	4
244366	3003000	8322000	5662290	469
244518	343875000	1031628000	687751628	5
244566	4863000	7296000	6079373	16
245174	7636000	11455000	9545103	22
246167	4183000	6654000	5418467	168
246432	2235000	3354000	2794799	48
246787	5586000	8380000	6982703	32
249248	93371000	249585000	171477875	4
251699	4837000	7257000	6046972	7
251701	5007000	7512000	6259449	75
251747	3819000	5730000	4774174	7
252970	5984000	8977000	7480749	4
253239	2407000	3612000	3009512	5
254758	3153000	4731000	3942442	13
254785	1599000	2399000	1998772	20
255045	6623000	9936000	8279565	17
255507	1787000	2681000	2233768	6
255519	3833000	5751000	4792472	4
256466	3362000	8740000	6050766	4
256701	3071000	4608000	3839577	4
257438	2753000	4131000	3441823	8
257708	2894000	6882000	4887855	4
257758	1743000	2616000	2179576	111
258505	4175000	8806000	6490241	4
260554	3311000	4968000	4139921	29
260714	1172000	1759000	1465144	4
261299	2383000	3576000	2979207	5
262209	2784000	4178000	3481073	15
263511	3243000	8528000	5885431	6
263819	3499000	5250000	4374668	10
264251	2259000	6778000	4518266	4
264483	15280000	22921000	19100394	4
264691	5396000	8622000	7009083	13
264951	24293000	36440000	30366579	5
265294	85000	128000	106380	21
265606	5719000	8580000	7149689	5
265726	3657000	5487000	4572146	5
265959	2998000	4498000	3748084	4
266809	2820000	4231000	3525449	4
267128	2284000	6459000	4371458	4
267135	2895000	4778000	3836141	9
267212	1933000	2901000	2417078	4
267363	2175000	3263000	2718994	4
267818	1804000	2707000	2255614	8
269673	2614000	3922000	3268069	6
270146	2224	3336	2780	4
270256	3812	5718	4765	4
270918	3022000	4534000	3777928	4
271420	2692000	6573000	4632647	8
271881	2516000	3776000	3145953	9
273350	9896	15000	12370	4
273371	9866000	16134000	13000155	4
273384	3302000	4954000	4127921	29
273677	2380000	3571000	2975004	8
273678	2919000	4380000	3649755	5
279058	3417000	6684000	5050208	4
279813	3240000	4862000	4050909	5
279826	4658000	6988000	5823324	4
280145	3144000	4799000	3971446	11
280147	3125000	4689000	3907483	4
280332	6958000	10438000	8697822	4
281068	29368000	44054000	36711005	5
282267	29165000	43749000	36457434	4
282268	29740000	44612000	37176029	5
282269	29338000	44008000	36672670	4
282272	29411000	44118000	36764507	4
283686	4478000	6719000	5598593	13
283734	2109000	3164000	2636405	1862
285458	5621000	12416000	9018469	5
285562	6516000	9776000	8146156	5
285676	5649000	8475000	7061980	6
