snp-dists 0.6.3,FH181,FH106,FH186,FH162,FH199,FH25,FH116,FH20,FH171,FH174,FH154,FH183,FH184,FH151,FH178,FH159,FH195,FH204,FH185,FH191,FH163,FH68,FH24,FH115,FH5,FH179,FH158,FH23,FH114,FH152,FH157,FH172,FH54,FH205,FH155,FH4,FH196,FH72,FH27,FH8,FH160,FH53,FH182,FH87,FH203,FH189,FH198,FH26,FH180,FH70,FH55,FH7,FH190,FH117,FH19,FH161,FH192,FH197,FH56,FH71,FH156,FH69
FH163,4387,4339,4254,186,4564,5254,3801,5156,175,185,48,4244,4399,90,3386,3393,4566,4566,4387,3534,0,5276,5253,3804,4955,4246,3392,5253,3664,185,3539,20,4254,4567,205,4824,4564,5270,4862,4810,3535,4253,4386,2096,4425,3393,4859,5112,4244,5260,4263,4955,3537,3660,5112,428,3527,4565,4636,4986,335,5293
FH68,2952,5444,3060,5147,1960,3340,3658,3483,5154,5146,5250,3050,2942,5294,3346,3335,2051,1960,2952,3235,5276,0,3339,3614,6730,3054,3352,3339,3762,5146,3240,5272,4085,2052,5119,6869,1958,53,2453,6873,3189,4084,2951,4747,2060,3335,2344,3439,3050,61,4094,6730,3191,3758,3439,5330,3199,2050,4467,313,5296,29
FH24,2597,6314,2748,5079,2507,1,3673,195,5086,5078,5225,2738,2609,5269,4042,4031,2638,2507,2597,3888,5253,3339,0,3719,7062,2742,4048,0,3820,5078,3893,5249,4129,2641,5143,7218,2505,3290,2177,7160,3932,4130,2596,4852,2650,4031,2931,143,2738,3298,4140,7062,3934,3816,143,5351,3942,2637,4511,3593,5228,3356
FH115,2753,5113,2859,3671,2828,3718,46,3861,3678,3670,3776,2851,2765,3819,4231,4218,2919,2828,2753,4120,3804,3614,3719,0,5409,2855,4237,3719,150,3672,4125,3800,1758,2924,3645,5565,2828,3653,3029,5554,4074,1759,2752,3607,2928,4218,3212,3817,2851,3663,1769,5409,4074,144,3819,3856,4084,2920,2138,3915,3822,3631
FH5,6223,6655,6331,4822,6096,7061,5453,7204,4829,4819,4927,6321,6235,4971,5473,5460,6187,6094,6223,5362,4955,6730,7062,5409,0,6325,5479,7062,5559,4823,5367,4951,5013,6190,4796,156,6094,6769,6528,145,5318,5014,6222,4362,6196,5460,6478,7160,6321,6777,5024,0,5316,5553,7162,5007,5326,6186,5393,7019,4973,6747
FH179,149,5409,16,4356,2334,2741,2852,2639,4363,4353,4220,6,161,4262,3422,3409,2334,2332,149,3552,4246,3054,2742,2855,6325,0,3428,2742,2715,4357,3557,4242,2942,2333,4377,6481,2332,3046,2269,6182,3553,2943,148,4207,2191,3409,2625,2599,4,3056,2947,6325,3553,2711,2599,4586,3563,2333,3322,3067,4507,3071
FH158,3567,4634,3434,3522,2894,4049,4234,3951,3511,3521,3384,3424,3579,3428,12,19,2894,2894,3567,160,3392,3352,4048,4237,5479,3428,0,4048,4097,3521,165,3406,4452,2895,3541,5633,2892,3346,3353,5334,163,4451,3566,3034,2753,19,3187,3907,3424,3336,4461,5479,163,4093,3907,3752,153,2893,4834,3347,3671,3369
FH23,2597,6314,2748,5079,2507,1,3673,195,5086,5078,5225,2738,2609,5269,4042,4031,2638,2507,2597,3888,5253,3339,0,3719,7062,2742,4048,0,3820,5078,3893,5249,4129,2641,5143,7218,2505,3290,2177,7160,3932,4130,2596,4852,2650,4031,2931,143,2738,3298,4140,7062,3934,3816,143,5351,3942,2637,4511,3593,5228,3356
FH114,2856,4973,2721,3774,2929,3821,149,3723,3781,3773,3636,2713,2868,3679,4091,4080,2929,2931,2856,4221,3664,3762,3820,150,5559,2715,4097,3820,0,3773,4226,3660,1618,2934,3795,5715,2929,3756,3130,5416,4222,1619,2855,3708,2786,4080,3224,3679,2713,3764,1627,5559,4224,6,3677,4004,4232,2930,2000,3775,3923,3779
FH152,4212,4473,4363,11,4391,5079,3626,5265,16,8,157,4353,4224,197,3515,3504,4522,4391,4212,3361,185,5146,5078,3672,4823,4357,3521,5078,3773,0,3366,181,4363,4525,75,4694,4389,5097,4687,4921,3405,4364,4211,1921,4534,3504,4815,5221,4353,5105,4374,4823,3407,3769,5221,296,3415,4521,4745,5115,158,5163
FH157,3412,4763,3563,3367,2739,3894,4079,4080,3374,3366,3513,3553,3424,3557,159,148,2870,2739,3412,5,3539,3240,3893,4125,5367,3557,165,3893,4226,3366,0,3535,4581,2871,3429,5521,2737,3191,3198,5463,51,4580,3411,2879,2882,148,3163,4036,3553,3199,4590,5367,51,4222,4036,3640,59,2869,4963,3494,3516,3257
FH172,4383,4335,4250,182,4562,5250,3797,5152,189,181,44,4240,4395,86,3400,3389,4562,4562,4383,3530,20,5272,5249,3800,4951,4242,3406,5249,3660,181,3535,0,4250,4563,201,4820,4560,5266,4858,4806,3531,4249,4382,2092,4421,3389,4855,5108,4240,5274,4259,4951,3533,3656,5108,424,3541,4561,4632,5000,331,5289
FH54,3081,5437,2948,4364,3321,4130,1755,4032,4371,4361,4226,2938,3093,4269,4446,4435,3321,3321,3081,4576,4254,4085,4129,1758,5013,2942,4452,4129,1618,4363,4581,4250,0,3324,4385,5169,3319,4079,3470,4870,4577,1,3080,3993,3180,4435,3614,3988,2938,4087,11,5013,4579,1614,3988,4594,4587,3320,382,4098,4513,4102
FH205,2323,5405,2343,4526,138,2642,2918,2693,4533,4525,4541,2333,2335,4585,2889,2878,5,136,2323,2866,4567,2052,2641,2924,6190,2333,2895,2641,2934,4525,2871,4563,3324,0,4548,6344,136,2043,1722,6195,2870,3323,2322,4164,150,2878,298,2653,2333,2051,3329,6190,2872,2930,2653,4755,2880,4,3706,2215,4675,2069
FH155,4275,4491,4383,64,4456,5142,3689,5285,81,73,169,4373,4287,223,3535,3522,4547,4454,4275,3424,205,5119,5143,3645,4796,4377,3541,5143,3795,75,3429,201,4385,4548,0,4665,4454,5158,4752,4939,3378,4384,4274,1986,4556,3522,4838,5241,4373,5168,4394,4796,3378,3789,5243,261,3388,4546,4765,5135,225,5136
FH4,6379,6509,6487,4693,6252,7217,5609,7360,4700,4690,4798,6477,6391,4842,5627,5614,6343,6250,6379,5516,4824,6869,7218,5565,156,6481,5633,7218,5715,4694,5521,4820,5169,6344,4665,0,6250,6908,6684,299,5472,5168,6378,4518,6352,5614,6634,7316,6477,6916,5178,156,5470,5709,7318,4878,5480,6342,5549,6872,4844,6886
FH196,2187,5402,2338,4390,2,2506,2782,2692,4397,4389,4536,2328,2199,4580,2886,2875,133,2,2187,2732,4564,1958,2505,2828,6094,2332,2892,2505,2929,4389,2737,4560,3319,136,4454,6250,0,1909,1586,6192,2776,3320,2186,4028,145,2875,426,2648,2328,1917,3330,6094,2778,2925,2648,4663,2786,132,3701,2212,4539,1975
FH72,2901,5436,3052,5096,1911,3289,3607,3475,5103,5095,5244,3042,2891,5288,3340,3327,2042,1909,2901,3186,5270,53,3290,3653,6769,3046,3346,3290,3756,5097,3191,5266,4079,2043,5158,6908,1909,0,2404,6865,3230,4078,2900,4696,2054,3327,2333,3431,3042,12,4088,6769,3230,3750,3433,5371,3240,2041,4459,307,5247,70
FH27,2124,5630,2275,4688,1588,2178,2983,2366,4695,4687,4834,2265,2136,4878,3347,3336,1719,1588,2124,3193,4862,2453,2177,3029,6528,2269,3353,2177,3130,4687,3198,4858,3470,1722,4752,6684,1586,2404,0,6626,3237,3471,2123,4251,1731,3336,2012,2320,2265,2412,3481,6528,3239,3126,2320,4960,3247,1718,3852,2707,4837,2470
FH8,6321,6510,6188,4920,6194,7159,5551,7061,4927,4917,4784,6178,6333,4828,5328,5315,6194,6192,6321,5458,4810,6873,7160,5554,145,6182,5334,7160,5416,4921,5463,4806,4870,6195,4939,299,6192,6865,6626,0,5461,4869,6320,4460,6053,5315,6485,7017,6178,6873,4879,145,5459,5410,7019,5152,5469,6193,5250,6874,5071,6890
FH160,3451,4759,3559,3406,2778,3933,4118,4076,3413,3405,3509,3549,3463,3553,157,146,2869,2778,3451,46,3535,3189,3932,4074,5318,3553,163,3932,4222,3405,51,3531,4577,2870,3378,5472,2776,3230,3237,5461,0,4576,3450,2920,2878,146,3162,4032,3549,3238,4586,5318,2,4218,4032,3589,10,2868,4959,3490,3555,3206
FH53,3082,5436,2949,4365,3322,4131,1756,4033,4372,4362,4227,2939,3094,4270,4445,4434,3322,3322,3082,4575,4253,4084,4130,1759,5014,2943,4451,4130,1619,4364,4580,4249,1,3323,4384,5168,3320,4078,3471,4869,4576,0,3081,3994,3181,4434,3615,3989,2939,4086,10,5014,4578,1615,3989,4595,4586,3321,383,4097,4514,4101
FH182,1,5549,152,4210,2188,2595,2706,2781,4217,4207,4358,142,13,4402,3560,3547,2319,2186,1,3406,4386,2951,2596,2752,6222,148,3566,2596,2855,4211,3411,4382,3080,2322,4274,6378,2186,2900,2123,6320,3450,3081,0,4061,2331,3547,2610,2737,144,2910,3091,6222,3450,2849,2739,4487,3460,2318,3460,3205,4361,2968
FH87,4062,4477,4213,1922,4030,4853,3561,5039,1929,1919,2068,4203,4074,2112,3028,3017,4161,4030,4062,2874,2096,4747,4852,3607,4362,4207,3034,4852,3708,1921,2879,2092,3993,4164,1986,4518,4028,4696,4251,4460,2920,3994,4061,0,4173,3017,4454,4995,4203,4706,4004,4362,2920,3704,4995,2195,2928,4160,4375,5001,2071,4764
FH203,2332,5261,2197,4535,145,2651,2927,2553,4542,4534,4397,2189,2344,4441,2747,2736,145,147,2332,2877,4425,2060,2650,2928,6196,2191,2753,2650,2786,4534,2882,4421,3180,150,4556,6352,145,2054,1731,6053,2878,3181,2331,4173,0,2736,440,2509,2189,2062,3189,6196,2880,2784,2507,4765,2888,146,3562,2073,4684,2077
FH189,3548,4615,3415,3503,2877,4030,4215,3932,3510,3502,3367,3405,3560,3411,13,0,2877,2875,3548,143,3393,3335,4031,4218,5460,3409,19,4031,4080,3504,148,3389,4435,2878,3522,5614,2875,3327,3336,5315,146,4434,3547,3017,2736,0,3168,3888,3405,3337,4444,5460,144,4074,3890,3735,154,2876,4815,3348,3654,3352
FH198,2611,5695,2631,4814,428,2930,3206,2985,4821,4813,4831,2621,2623,4875,3181,3168,295,426,2611,3158,4859,2344,2931,3212,6478,2625,3187,2931,3224,4815,3163,4855,3614,298,4838,6634,426,2333,2012,6485,3162,3615,2610,4454,440,3168,0,2941,2621,2343,3625,6478,3162,3218,2943,5049,3172,294,3994,2507,4965,2361
FH26,2738,6171,2605,5220,2650,142,3814,52,5227,5219,5084,2595,2750,5128,3901,3888,2650,2648,2738,4031,5112,3439,143,3817,7160,2599,3907,143,3679,5221,4036,5108,3988,2653,5241,7316,2648,3431,2320,7017,4032,3989,2737,4995,2509,3888,2941,0,2595,3441,3999,7160,4032,3673,2,5451,4042,2649,4368,3452,5371,3456
FH180,145,5407,12,4352,2330,2737,2848,2639,4359,4349,4216,2,157,4260,3418,3405,2330,2328,145,3548,4244,3050,2738,2851,6321,4,3424,2738,2713,4353,3553,4240,2938,2333,4373,6477,2328,3042,2265,6178,3549,2939,144,4203,2189,3405,2621,2595,0,3052,2949,6321,3549,2707,2597,4586,3559,2329,3318,3063,4503,3067
FH70,2911,5444,3062,5106,1919,3299,3617,3485,5095,5105,5252,3052,2901,5296,3330,3337,2050,1919,2911,3194,5260,61,3298,3663,6777,3056,3336,3298,3764,5105,3199,5274,4087,2051,5168,6916,1917,12,2412,6873,3238,4086,2910,4706,2062,3337,2343,3441,3052,0,4096,6777,3240,3760,3441,5379,3230,2049,4469,295,5255,78
FH55,3092,5436,2959,4375,3332,4141,1766,4029,4382,4372,4237,2949,3104,4280,4455,4444,3332,3332,3092,4585,4263,4094,4140,1769,5024,2947,4461,4140,1627,4374,4590,4259,11,3329,4394,5178,3330,4088,3481,4879,4586,10,3091,4004,3189,4444,3625,3999,2949,4096,0,5024,4588,1625,3997,4601,4596,3331,393,4107,4524,4111
FH7,6223,6655,6331,4822,6096,7061,5453,7204,4829,4819,4927,6321,6235,4971,5473,5460,6187,6094,6223,5362,4955,6730,7062,5409,0,6325,5479,7062,5559,4823,5367,4951,5013,6190,4796,156,6094,6769,6528,145,5318,5014,6222,4362,6196,5460,6478,7160,6321,6777,5024,0,5316,5553,7162,5007,5326,6186,5393,7019,4973,6747
FH190,3451,4759,3559,3406,2780,3933,4118,4076,3413,3405,3511,3549,3463,3555,157,144,2871,2778,3451,46,3537,3191,3934,4074,5316,3553,163,3934,4224,3407,51,3533,4579,2872,3378,5470,2778,3230,3239,5459,2,4578,3450,2920,2880,144,3162,4032,3549,3240,4588,5316,0,4218,4034,3591,10,2870,4959,3492,3557,3208
FH117,2850,4969,2715,3768,2925,3815,143,3717,3775,3767,3632,2707,2862,3675,4087,4074,2925,2925,2850,4217,3660,3758,3816,144,5553,2711,4093,3816,6,3769,4222,3656,1614,2930,3789,5709,2925,3750,3126,5410,4218,1615,2849,3704,2784,4074,3218,3673,2707,3760,1625,5553,4218,0,3675,4000,4228,2926,1994,3771,3919,3775
FH19,2740,6171,2607,5222,2650,144,3816,54,5229,5221,5084,2597,2752,5128,3901,3890,2650,2650,2740,4031,5112,3439,143,3819,7162,2599,3907,143,3677,5221,4036,5108,3988,2653,5243,7318,2648,3433,2320,7019,4032,3989,2739,4995,2507,3890,2943,2,2597,3441,3997,7162,4034,3675,0,5451,4042,2649,4370,3452,5371,3456
FH161,4488,4706,4596,287,4665,5352,3900,5491,304,296,390,4586,4500,444,3746,3735,4756,4665,4488,3635,428,5330,5351,3856,5007,4586,3752,5351,4004,296,3640,424,4594,4755,261,4878,4663,5371,4960,5152,3589,4595,4487,2195,4765,3735,5049,5451,4586,5379,4601,5007,3591,4000,5451,0,3599,4755,4976,5346,446,5347
FH192,3461,4769,3569,3416,2788,3943,4128,4086,3405,3415,3519,3559,3473,3563,147,154,2879,2788,3461,54,3527,3199,3942,4084,5326,3563,153,3942,4232,3415,59,3541,4587,2880,3388,5480,2786,3240,3247,5469,10,4586,3460,2928,2888,154,3172,4042,3559,3230,4596,5326,10,4228,4042,3599,0,2878,4969,3482,3565,3216
FH197,2319,5403,2339,4522,134,2638,2914,2693,4529,4521,4537,2329,2331,4581,2887,2876,1,134,2319,2864,4565,2050,2637,2920,6186,2333,2893,2637,2930,4521,2869,4561,3320,4,4546,6342,132,2041,1718,6193,2868,3321,2318,4160,146,2876,294,2649,2329,2049,3331,6186,2870,2926,2649,4755,2878,0,3702,2213,4671,2067
FH56,3461,5817,3328,4744,3703,4510,2135,4412,4751,4741,4608,3318,3473,4651,4828,4815,3703,3701,3461,4958,4636,4467,4511,2138,5393,3322,4834,4511,2000,4745,4963,4632,382,3706,4765,5549,3701,4459,3852,5250,4959,383,3460,4375,3562,4815,3994,4368,3318,4469,393,5393,4959,1994,4370,4976,4969,3702,0,4480,4895,4484
FH71,3206,5160,3073,5116,2214,3594,3912,3496,5105,5115,4978,3063,3196,5022,3341,3348,2214,2214,3206,3489,4986,313,3593,3915,7019,3067,3347,3593,3775,5115,3494,5000,4098,2215,5135,6872,2212,307,2707,6874,3490,4097,3205,5001,2073,3348,2507,3452,3063,295,4107,7019,3492,3771,3452,5346,3482,2213,4480,0,5265,330
FH156,4362,4623,4513,161,4541,5229,3776,5415,164,156,307,4503,4374,349,3665,3654,4672,4541,4362,3511,335,5296,5228,3822,4973,4507,3671,5228,3923,158,3516,331,4513,4675,225,4844,4539,5247,4837,5071,3555,4514,4361,2071,4684,3654,4965,5371,4503,5255,4524,4973,3557,3919,5371,446,3565,4671,4895,5265,0,5313
FH69,2969,5461,3077,5164,1977,3357,3675,3500,5171,5163,5267,3067,2959,5311,3363,3352,2068,1977,2969,3252,5293,29,3356,3631,6747,3071,3369,3356,3779,5163,3257,5289,4102,2069,5136,6886,1975,70,2470,6890,3206,4101,2968,4764,2077,3352,2361,3456,3067,78,4111,6747,3208,3775,3456,5347,3216,2067,4484,330,5313,0
