snp-dists 0.6.3,FH38,FH109,FH194,FH88,FH94,FH128,FH91,FH82,FH98,FH127,FH105,FH107,FH90,FH96,FH80,FH104,FH89,FH99,FH132,FH97,FH193,FH37,FH78,FH102,FH39,FH95,FH126,FH92,FH100,FH103,FH138,FH81,FH101,FH137,FH93,FH108,FH136,FH79
FH90,29,211,5936,156,216,7697,156,7683,174,19,220,57,0,211,7683,66,156,174,7542,189,5925,183,196,211,203,231,7695,165,174,211,189,7682,183,189,211,220,173,7696
FH96,202,0,5805,55,5,7566,55,7552,49,202,9,154,211,0,7552,163,55,49,7719,64,5794,48,65,0,68,20,7564,64,49,0,64,7551,58,64,0,9,48,7565
FH80,7678,7552,2947,7527,7557,66,7527,2,7521,7674,7561,7706,7683,7552,0,7715,7527,7521,213,7536,2930,7524,7537,7552,7544,7572,58,7536,7521,7552,7536,1,7530,7536,7552,7561,7520,15
FH104,57,163,5968,218,168,7729,218,7715,212,57,154,9,66,163,7715,0,218,212,7574,209,5957,211,210,163,213,165,7727,209,212,163,209,7714,203,209,163,154,211,7728
FH89,181,55,5780,0,60,7541,0,7527,18,171,64,209,156,55,7527,218,0,18,7694,33,5769,27,40,55,47,75,7539,9,18,55,33,7526,27,33,55,64,17,7540
FH99,175,49,5774,18,54,7535,18,7521,0,165,58,203,174,49,7521,212,18,0,7688,15,5763,21,34,49,41,69,7533,27,0,49,27,7520,9,27,49,58,11,7534
FH132,7537,7719,3114,7694,7724,163,7694,211,7688,7533,7728,7565,7542,7719,213,7574,7694,7688,0,7703,3097,7691,7704,7719,7711,7739,155,7703,7688,7719,7703,212,7697,7703,7719,7728,7687,226
FH97,190,64,5789,33,69,7550,33,7536,15,180,55,218,189,64,7536,209,33,15,7703,0,5778,36,31,64,32,62,7548,24,15,64,24,7535,6,24,64,55,26,7549
FH193,5920,5794,29,5769,5799,2950,5769,2930,5763,5916,5803,5948,5925,5794,2930,5957,5769,5763,3097,5778,0,5766,5779,5794,5786,5814,2942,5778,5763,5794,5778,2929,5772,5778,5794,5803,5762,2943
FH37,154,48,5777,27,53,7538,27,7524,21,174,57,202,183,48,7524,211,27,21,7691,36,5766,0,37,48,20,68,7536,36,21,48,36,7523,30,36,48,57,20,7537
FH78,191,65,5790,40,70,7551,40,7537,34,187,56,219,196,65,7537,210,40,34,7704,31,5779,37,0,65,39,67,7549,31,34,65,31,7536,25,31,65,56,33,7550
FH102,202,0,5805,55,5,7566,55,7552,49,202,9,154,211,0,7552,163,55,49,7719,64,5794,48,65,0,68,20,7564,64,49,0,64,7551,58,64,0,9,48,7565
FH39,174,68,5797,47,73,7558,47,7544,41,194,59,222,203,68,7544,213,47,41,7711,32,5786,20,39,68,0,52,7556,38,41,68,38,7543,32,38,68,59,40,7557
FH95,222,20,5825,75,25,7586,75,7572,69,222,11,174,231,20,7572,165,75,69,7739,62,5814,68,67,20,52,0,7584,66,69,20,66,7571,60,66,20,11,68,7585
FH126,7690,7564,2959,7539,7569,8,7539,58,7533,7686,7573,7718,7695,7564,58,7727,7539,7533,155,7548,2942,7536,7549,7564,7556,7584,0,7548,7533,7564,7548,57,7542,7548,7564,7573,7532,71
FH92,190,64,5789,9,69,7550,9,7536,27,180,55,218,165,64,7536,209,9,27,7703,24,5778,36,31,64,38,66,7548,0,27,64,24,7535,18,24,64,55,26,7549
FH100,175,49,5774,18,54,7535,18,7521,0,165,58,203,174,49,7521,212,18,0,7688,15,5763,21,34,49,41,69,7533,27,0,49,27,7520,9,27,49,58,11,7534
FH103,202,0,5805,55,5,7566,55,7552,49,202,9,154,211,0,7552,163,55,49,7719,64,5794,48,65,0,68,20,7564,64,49,0,64,7551,58,64,0,9,48,7565
FH138,190,64,5789,33,69,7550,33,7536,27,170,55,218,189,64,7536,209,33,27,7703,24,5778,36,31,64,38,66,7548,24,27,64,0,7535,18,0,64,55,16,7549
FH81,7677,7551,2946,7526,7556,65,7526,1,7520,7673,7560,7705,7682,7551,1,7714,7526,7520,212,7535,2929,7523,7536,7551,7543,7571,57,7535,7520,7551,7535,0,7529,7535,7551,7560,7519,14
FH101,184,58,5783,27,63,7544,27,7530,9,174,49,212,183,58,7530,203,27,9,7697,6,5772,30,25,58,32,60,7542,18,9,58,18,7529,0,18,58,49,20,7543
FH137,190,64,5789,33,69,7550,33,7536,27,170,55,218,189,64,7536,209,33,27,7703,24,5778,36,31,64,38,66,7548,24,27,64,0,7535,18,0,64,55,16,7549
FH93,202,0,5805,55,5,7566,55,7552,49,202,9,154,211,0,7552,163,55,49,7719,64,5794,48,65,0,68,20,7564,64,49,0,64,7551,58,64,0,9,48,7565
FH108,211,9,5814,64,14,7575,64,7561,58,211,0,163,220,9,7561,154,64,58,7728,55,5803,57,56,9,59,11,7573,55,58,9,55,7560,49,55,9,0,57,7574
FH136,174,48,5773,17,53,7534,17,7520,11,154,57,202,173,48,7520,211,17,11,7687,26,5762,20,33,48,40,68,7532,26,11,48,16,7519,20,16,48,57,0,7533
FH79,7691,7565,2960,7540,7570,79,7540,15,7534,7687,7574,7719,7696,7565,15,7728,7540,7534,226,7549,2943,7537,7550,7565,7557,7585,71,7549,7534,7565,7549,14,7543,7549,7565,7574,7533,0
