name	scheme	ST	allele1	allele2	allele3	allele4	allele5	allele6	allele7
FH192	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH156	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH15	ecoli	1818	adk(6)	fumC(282)	gyrB(230)	icd(1)	mdh(8)	purA(8)	recA(173)
FH213	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
FH27	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH91	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
AVC113	ecoli	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
FH214	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC224	ecoli	350	adk(6)	fumC(31)	gyrB(83)	icd(28)	mdh(1)	purA(1)	recA(2)
FH1	ecoli	1818	adk(6)	fumC(282)	gyrB(230)	icd(1)	mdh(8)	purA(8)	recA(173)
AVC156	ecoli	362	adk(62)	fumC(100)	gyrB(17)	icd(31)	mdh(5)	purA(5)	recA(4)
FH182	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH162	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC91	ecoli	973	adk(154)	fumC(187)	gyrB(22)	icd(52)	mdh(130)	purA(129)	recA(4)
AVC195	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC252	ecoli	88	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(12)	recA(7)
AVC176	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH14	ecoli	1286	adk(10)	fumC(174)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
FH163	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC154	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH44	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC251	ecoli	141	adk(13)	fumC(52)	gyrB(10)	icd(14)	mdh(17)	purA(25)	recA(17)
FH80	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH181	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH18	ecoli	167	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
FH47	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC12	ecoli	350	adk(6)	fumC(31)	gyrB(83)	icd(28)	mdh(1)	purA(1)	recA(2)
FH35	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC186	ecoli	350	adk(6)	fumC(31)	gyrB(83)	icd(28)	mdh(1)	purA(1)	recA(2)
FH10	ecoli	-	adk(10)	fumC(1117)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AVC30	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC19	ecoli	429	adk(97)	fumC(40)	gyrB(93)	icd(13)	mdh(23)	purA(28)	recA(66)
FH211	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
FH114	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC209	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
FH124	ecoli	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
AVC233	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC171	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH141	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH178	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC246	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC161	ecoli	1673	adk(6)	fumC(23)	gyrB(4)	icd(1)	mdh(7)	purA(8)	recA(14)
FH48	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AVC25	ecoli	429	adk(97)	fumC(40)	gyrB(93)	icd(13)	mdh(23)	purA(28)	recA(66)
FH126	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
AVC26	ecoli	429	adk(97)	fumC(40)	gyrB(93)	icd(13)	mdh(23)	purA(28)	recA(66)
FH39	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH159	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC207	ecoli	3589	adk(6)	fumC(462)	gyrB(348)	icd(9)	mdh(9)	purA(292)	recA(7)
AVC79	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH201	ecoli	1722	adk(101)	fumC(4)	gyrB(97)	icd(29)	mdh(70)	purA(158)	recA(2)
FH175	ecoli	48	adk(6)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
FH193	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH5	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH187	ecoli	135	adk(13)	fumC(39)	gyrB(50)	icd(13)	mdh(16)	purA(37)	recA(25)
AVC249	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH134	ecoli	355	adk(36)	fumC(24)	gyrB(10)	icd(13)	mdh(17)	purA(10)	recA(25)
AVC183	ecoli	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
FH50	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC153	ecoli	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
FH196	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH63	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH157	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH190	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH137	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
AVC213	ecoli	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
FH167	ecoli	13152	adk(20)	fumC(~45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH75	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH56	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH155	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH64	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH23	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH45	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
FH93	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH84	ecoli	752	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(49)
AVC160	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC10	ecoli	429	adk(97)	fumC(40)	gyrB(93)	icd(13)	mdh(23)	purA(28)	recA(66)
FH154	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC221	ecoli	973	adk(154)	fumC(187)	gyrB(22)	icd(52)	mdh(130)	purA(129)	recA(4)
AVC184	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH200	ecoli	88	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(12)	recA(7)
FH96	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH185	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH71	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH121	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH68	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH77	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH195	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH168	ecoli	1640	adk(6)	fumC(31)	gyrB(4)	icd(28)	mdh(1)	purA(1)	recA(2)
FH8	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC159	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH16	ecoli	1818	adk(6)	fumC(282)	gyrB(230)	icd(1)	mdh(8)	purA(8)	recA(173)
AVC80	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH78	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH60	ecoli	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
FH34	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC177	ecoli	68	adk(33)	fumC(26)	gyrB(2)	icd(31)	mdh(5)	purA(16)	recA(19)
FH55	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH12	ecoli	212	adk(6)	fumC(29)	gyrB(4)	icd(18)	mdh(11)	purA(8)	recA(6)
FH173	ecoli	13151	adk(20)	fumC(45)	gyrB(41)	icd(~43)	mdh(5)	purA(32)	recA(2)
FH186	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH51	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC196	ecoli	973	adk(154)	fumC(187)	gyrB(22)	icd(52)	mdh(130)	purA(129)	recA(4)
AVC4	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH53	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH119	ecoli	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
FH128	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH130	ecoli	803	adk(13)	fumC(24)	gyrB(19)	icd(22)	mdh(17)	purA(10)	recA(2)
AVC211	ecoli	665	adk(122)	fumC(11)	gyrB(125)	icd(12)	mdh(96)	purA(8)	recA(2)
FH135	ecoli	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
FH99	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH89	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH120	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH87	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC111	ecoli	354	adk(85)	fumC(88)	gyrB(78)	icd(29)	mdh(59)	purA(58)	recA(62)
AVC210	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
FH94	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH20	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH82	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH151	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC34	ecoli	2473	adk(6)	fumC(19)	gyrB(3)	icd(18)	mdh(9)	purA(13)	recA(6)
AVC59	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC215	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH106	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH136	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH57	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
AVC218	ecoli	141	adk(13)	fumC(52)	gyrB(10)	icd(14)	mdh(17)	purA(25)	recA(17)
FH172	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC228	ecoli	4045	adk(20)	fumC(45)	gyrB(41)	icd(431)	mdh(5)	purA(32)	recA(2)
AVC227	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH95	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH49	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC21	ecoli	429	adk(97)	fumC(40)	gyrB(93)	icd(13)	mdh(23)	purA(28)	recA(66)
AVC155	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC234	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
FH108	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH169	ecoli	1640	adk(6)	fumC(31)	gyrB(4)	icd(28)	mdh(1)	purA(1)	recA(2)
FH2	ecoli	1818	adk(6)	fumC(282)	gyrB(230)	icd(1)	mdh(8)	purA(8)	recA(173)
FH149	ecoli	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
AVC173	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH176	ecoli	2485	adk(6)	fumC(4)	gyrB(159)	icd(140)	mdh(112)	purA(1)	recA(17)
AVC198	ecoli	350	adk(6)	fumC(31)	gyrB(83)	icd(28)	mdh(1)	purA(1)	recA(2)
FH110	ecoli	355	adk(36)	fumC(24)	gyrB(10)	icd(13)	mdh(17)	purA(10)	recA(25)
FH85	ecoli	752	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(49)
AVC107	ecoli	1163	adk(20)	fumC(45)	gyrB(56)	icd(106)	mdh(7)	purA(50)	recA(46)
FH7	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH158	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC223	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH160	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH3	ecoli	11026	adk(10)	fumC(1117)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
FH24	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH100	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH26	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH189	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH41	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC11	ecoli	429	adk(97)	fumC(40)	gyrB(93)	icd(13)	mdh(23)	purA(28)	recA(66)
FH4	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH73	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH122	ecoli	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
FH74	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH164	ecoli	101	adk(43)	fumC(41)	gyrB(15)	icd(18)	mdh(11)	purA(7)	recA(6)
FH116	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH72	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH6	ecoli	-	adk(10)	fumC(1117)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
