name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
AVC191		contig00063	3101	6757	+	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE			BLASTX	1219	1219	100.0	99.34	1219	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC		
AVC191		contig00063	6864	8090	+	iroD	catecholate siderophore esterase IroD	plus	VIRULENCE	VIRULENCE			EXACTX	409	409	100.0	100.0	409	ACJ63529.1	catecholate siderophore esterase IroD		
AVC191		contig00063	8178	9131	+	iroE	catecholate siderophore esterase IroE	plus	VIRULENCE	VIRULENCE			EXACTX	318	318	100.0	100.0	318	ACJ63530.1	catecholate siderophore esterase IroE		
AVC191		contig00063	9182	11356	-	iroN	siderophore salmochelin receptor IroN	plus	VIRULENCE	VIRULENCE			EXACTX	725	725	100.0	100.0	725	AAN76093.1	siderophore salmochelin receptor IroN		
AVC191		contig00073	4075	5277	+	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	401	401	100.0	100.0	401	WP_001089068.1	tetracycline efflux MFS transporter Tet(B)		
AVC191		contig00074	2029	3036	-	papG-II	P fimbria tip G-adhesin PapG-II	plus	VIRULENCE	VIRULENCE			BLASTX	336	337	100.0	98.81	337	AAA24293.1	P fimbria tip G-adhesin PapG-II		
AVC191		contig00074	3083	3580	-	papF	P fimbrial tip protein PapF	plus	VIRULENCE	VIRULENCE			BLASTX	166	167	100.0	91.62	167	CAA43569.1	P fimbrial tip protein PapF		
AVC191		contig00074	3658	4176	-	papE	P fimbrial minor subunit PapE	plus	VIRULENCE	VIRULENCE			EXACTX	173	173	100.0	100.0	173	CAA43568.1	P fimbrial minor subunit PapE		
AVC191		contig00080	819	1631	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2		
AVC191		contig00081	779	3286	-	papC	P fimbrial usher protein PapC	plus	VIRULENCE	VIRULENCE			BLASTX	836	836	100.0	96.43	841	CAA43564.1	P fimbrial usher protein PapC		
AVC191		contig00084	1010	1846	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1		
AVC191		contig00084	1843	2187	-	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
AVC191		contig00084	2374	2844	-	dfrA5	trimethoprim-resistant dihydrofolate reductase DfrA5	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.0	100.0	157	WP_001317507.1	trimethoprim-resistant dihydrofolate reductase DfrA5		
AVC191		contig00085	214	2259	+	ireA	TonB-dependent siderophore receptor IreA	plus	VIRULENCE	VIRULENCE			BLASTX	682	682	100.0	99.85	682	AAN83596.1	TonB-dependent siderophore receptor IreA		
AVC191		contig00091	2277	3311	-	ireA	TonB-dependent siderophore receptor IreA	plus	VIRULENCE	VIRULENCE			PARTIAL_CONTIG_ENDX	345	682	50.59	98.26	345	AAN83596.1	TonB-dependent siderophore receptor IreA		
AVC191		contig00095	327	2909	+	tsh	temperature-sensitive protease autotransporter hemagglutinin Tsh	plus	VIRULENCE	VIRULENCE			PARTIAL_CONTIG_ENDX	861	1377	62.53	100.0	861	ACA34793.1	temperature-sensitive protease autotransporter hemagglutinin Tsh		
AVC191		contig00100	567	905	+	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			EXACTX	113	113	100.0	100.0	113	CAQ90194.1	increased serum survival lipoprotein Iss		
AVC191		contig00107	300	1199	-	hlyE	hemolysin HlyE	plus	VIRULENCE	VIRULENCE			INTERNAL_STOP	300	300	100.0	99.33	300	AAD28079.1	hemolysin HlyE		
FH138		contig00001	760552	760890	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			EXACTX	113	113	100.0	100.0	113	AAN80033.1	increased serum survival lipoprotein Iss		
FH138		contig00002	111383	112738	+	glpT_E448K	Escherichia fosfomycin resistant GlpT	core	AMR	POINT	FOSFOMYCIN	FOSFOMYCIN	POINTX	452	452	100.0	99.56	452	WP_000948731.1	glycerol-3-phosphate transporter GlpT		
FH138		contig00003	34106	38665	-	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE			EXACTX	1520	1520	100.0	100.0	1520	ADE89421.1	lipoprotein metalloprotease SslE		
FH138		contig00003	348939	352040	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1034	1034	100.0	99.52	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF		
FH138		contig00004	36877	37308	+	marR_S3N	Escherichia ampicillin/chloramphenicol/quinolone/rifampin/tetracycline resistant MarR	core	AMR	POINT	MULTIDRUG	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE	POINTX	144	144	100.0	97.92	144	WP_000843414.1	transcriptional regulator MarR		
FH138		contig00006	88514	88843	-	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	110	110	100.0	98.18	110	CAA77936.1	multidrug efflux SMR transporter EmrE		
FH138		contig00006	156352	158151	-	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE			BLASTX	600	600	100.0	99.5	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ		
FH138		contig00006	158141	159940	-	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE			BLASTX	600	600	100.0	99.5	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP		
FH138		contig00014	14968	16098	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	377	377	100.0	98.94	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5		
FH138		contig00016	6240	6503	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID			BLASTX	88	88	100.0	97.73	88	AAC74250.1	biofilm/acid-resistance regulator AriR		
FH138		contig00017	59560	60927	-	ibeA	putative intracellular survival FAD-dependent oxidoreductase IbeA	plus	VIRULENCE	VIRULENCE			BLASTX	456	456	100.0	98.68	456	AAF98391.2	putative intracellular survival FAD-dependent oxidoreductase IbeA		
FH138		contig00018	62942	67189	-	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE			BLASTX	1416	1416	100.0	99.79	1416	ABE05822.1	intimin-like adhesin FdeC		
FH138		contig00022	36270	37457	-	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	396	396	100.0	99.24	396	EFF04178.1	multidrug efflux MFS transporter EmrD		
FH138		contig00031	417	1424	-	papG-II	P fimbria tip G-adhesin PapG-II	plus	VIRULENCE	VIRULENCE			BLASTX	336	337	100.0	98.81	337	AAA24293.1	P fimbria tip G-adhesin PapG-II		
FH138		contig00031	1471	1968	-	papF	P fimbrial tip protein PapF	plus	VIRULENCE	VIRULENCE			BLASTX	166	167	100.0	91.62	167	CAA43569.1	P fimbrial tip protein PapF		
FH138		contig00031	2046	2564	-	papE	P fimbrial minor subunit PapE	plus	VIRULENCE	VIRULENCE			EXACTX	173	173	100.0	100.0	173	CAA43568.1	P fimbrial minor subunit PapE		
FH138		contig00031	4563	7070	-	papC	P fimbrial usher protein PapC	plus	VIRULENCE	VIRULENCE			BLASTX	836	836	100.0	96.43	841	CAA43564.1	P fimbrial usher protein PapC		
FH138		contig00031	7782	8327	-	papA	P fimbria major subunit PapA	plus	VIRULENCE	VIRULENCE			BLASTX	182	184	100.0	83.15	184	ENA25238.1	P fimbria major subunit PapA		
FH138		contig00037	15324	17939	+	tsh	temperature-sensitive protease autotransporter hemagglutinin Tsh	plus	VIRULENCE	VIRULENCE			PARTIAL_CONTIG_ENDX	872	1377	63.33	99.77	872	AAT35241.2	temperature-sensitive protease autotransporter hemagglutinin Tsh		
FH138		contig00038	15226	16038	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2		
FH138		contig00041	292	2466	+	iroN	siderophore salmochelin receptor IroN	plus	VIRULENCE	VIRULENCE			BLASTX	725	725	100.0	99.86	725	AAN76093.1	siderophore salmochelin receptor IroN		
FH138		contig00041	2517	3470	-	iroE	catecholate siderophore esterase IroE	plus	VIRULENCE	VIRULENCE			BLASTX	318	318	100.0	99.69	318	ACJ63530.1	catecholate siderophore esterase IroE		
FH138		contig00041	3558	4784	-	iroD	catecholate siderophore esterase IroD	plus	VIRULENCE	VIRULENCE			EXACTX	409	409	100.0	100.0	409	ACJ63529.1	catecholate siderophore esterase IroD		
FH138		contig00041	4891	8547	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE			BLASTX	1219	1219	100.0	99.51	1219	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC		
FH138		contig00041	8690	9802	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE			BLASTX	371	371	100.0	99.46	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB		
FH138		contig00041	12950	13288	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			EXACTX	113	113	100.0	100.0	113	CAQ90194.1	increased serum survival lipoprotein Iss		
FH138		contig00044	3487	5208	+	iucA	aerobactin synthase IucA	plus	VIRULENCE	VIRULENCE			BLASTX	574	576	100.0	95.31	576	EGI25746.1	aerobactin synthase IucA		
FH138		contig00044	5212	6156	+	iucB	N(6)-hydroxylysine O-acetyltransferase IucB	plus	VIRULENCE	VIRULENCE			BLASTX	315	315	100.0	96.19	315	AAN82074.1	N(6)-hydroxylysine O-acetyltransferase IucB		
FH138		contig00044	6159	7898	+	iucC	NIS family aerobactin synthetase IucC	plus	VIRULENCE	VIRULENCE			BLASTX	580	580	100.0	97.59	580	AAN82073.1	NIS family aerobactin synthetase IucC		
FH138		contig00044	7898	9172	+	iucD	NADPH-dependent L-lysine N(6)-monooxygenase IucD	plus	VIRULENCE	VIRULENCE			BLASTX	425	445	95.51	97.18	425	AAD44749.1	NADPH-dependent L-lysine N(6)-monooxygenase IucD		
FH138		contig00044	9269	11455	+	iutA	ferric aerobactin receptor IutA	plus	VIRULENCE	VIRULENCE			BLASTX	729	731	99.73	89.85	729	AAN45165.2	ferric aerobactin receptor IutA		
FH138		contig00046	5105	7198	+	mchF	microcin H47 export transporter peptidase/ATP-binding subunit MchF	plus	VIRULENCE	VIRULENCE			BLASTX	698	698	100.0	99.86	698	CAA40744.1	microcin H47 export transporter peptidase/ATP-binding subunit MchF		
FH138		contig00046	7374	7682	-	cvaC	colicin V	plus	VIRULENCE	VIRULENCE			EXACTX	103	103	100.0	100.0	103	CAA40746.1	colicin V		
FH138		contig00071	1561	3606	-	ireA	TonB-dependent siderophore receptor IreA	plus	VIRULENCE	VIRULENCE			EXACTX	682	682	100.0	100.0	682	ABJ02430.1	TonB-dependent siderophore receptor IreA		
FH171		contig00001	372719	376963	-	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE			BLASTX	1415	1416	100.0	98.02	1416	ABE05822.1	intimin-like adhesin FdeC		
FH171		contig00001	393763	396489	+	vactox	vacuolating autotransporter toxin Vat	plus	VIRULENCE	VIRULENCE			PARTIALX	909	1376	66.06	100.0	909	AAN78874.1	vacuolating autotransporter toxin Vat		
FH171		contig00002	290036	291265	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	410	410	100.0	97.56	410	AAC77293.1	multidrug efflux MFS transporter MdtM		
FH171		contig00003	5205	8306	-	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1034	1034	100.0	99.52	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF		
FH171		contig00003	309038	313591	+	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE			BLASTX	1518	1520	100.0	96.32	1520	ADE89421.1	lipoprotein metalloprotease SslE		
FH171		contig00004	115117	116472	+	glpT_E448K	Escherichia fosfomycin resistant GlpT	core	AMR	POINT	FOSFOMYCIN	FOSFOMYCIN	POINTX	452	452	100.0	99.78	452	WP_000948731.1	glycerol-3-phosphate transporter GlpT		
FH171		contig00014	65521	68064	-	cyaA_S352T	Escherichia fosmidomycin resistant CyaA	core	AMR	POINT	FOSMIDOMYCIN	FOSMIDOMYCIN	POINTX	848	848	100.0	99.29	848	WP_000281668.1	adenylate cyclase CyaA		
FH171		contig00015	3954	4217	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID			BLASTX	88	88	100.0	98.86	88	AAC74250.1	biofilm/acid-resistance regulator AriR		
FH171		contig00020	40433	41002	-	lpfA	long polar fimbria major subunit LpfA-O113	plus	VIRULENCE	VIRULENCE			BLASTX	190	190	100.0	98.95	190	ACB16424.1	long polar fimbria major subunit LpfA-O113		
FH171		contig00026	20149	20487	+	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			EXACTX	113	113	100.0	100.0	113	CAQ97644.1	increased serum survival lipoprotein Iss		
FH171		contig00028	22314	22643	+	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	110	110	100.0	98.18	110	CAA77936.1	multidrug efflux SMR transporter EmrE		
FH171		contig00032	22843	24927	+	iha	bifunctional siderophore receptor/adhesin Iha	plus	VIRULENCE	VIRULENCE			BLASTX	695	695	100.0	98.85	695	ADI47068.1	bifunctional siderophore receptor/adhesin Iha		
FH171		contig00036	13740	14870	+	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	377	377	100.0	97.88	377	WP_063860454.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8		
FH171		contig00039	21060	22247	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	396	396	100.0	99.75	396	EFF04178.1	multidrug efflux MFS transporter EmrD		
FH171		contig00052	7158	8879	+	iucA	aerobactin synthase IucA	plus	VIRULENCE	VIRULENCE			BLASTX	574	576	100.0	95.31	576	EGI25746.1	aerobactin synthase IucA		
FH171		contig00052	8883	9827	+	iucB	N(6)-hydroxylysine O-acetyltransferase IucB	plus	VIRULENCE	VIRULENCE			BLASTX	315	315	100.0	95.87	315	AAN82074.1	N(6)-hydroxylysine O-acetyltransferase IucB		
FH171		contig00052	9830	11569	+	iucC	NIS family aerobactin synthetase IucC	plus	VIRULENCE	VIRULENCE			BLASTX	580	580	100.0	97.59	580	AAN82073.1	NIS family aerobactin synthetase IucC		
FH171		contig00052	11569	12843	+	iucD	NADPH-dependent L-lysine N(6)-monooxygenase IucD	plus	VIRULENCE	VIRULENCE			BLASTX	425	445	95.51	97.41	425	AAD44749.1	NADPH-dependent L-lysine N(6)-monooxygenase IucD		
FH171		contig00052	12940	15126	+	iutA	ferric aerobactin receptor IutA	plus	VIRULENCE	VIRULENCE			BLASTX	729	731	99.73	89.71	729	AAN45165.2	ferric aerobactin receptor IutA		
FH171		contig00054	214	2259	+	ireA	TonB-dependent siderophore receptor IreA	plus	VIRULENCE	VIRULENCE			BLASTX	682	682	100.0	99.85	682	AAN83596.1	TonB-dependent siderophore receptor IreA		
FH171		contig00054	12806	13705	+	hlyE	hemolysin HlyE	plus	VIRULENCE	VIRULENCE			INTERNAL_STOP	300	300	100.0	99.33	300	AAD28079.1	hemolysin HlyE		
FH171		contig00057	676	1014	+	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			EXACTX	113	113	100.0	100.0	113	CAQ90194.1	increased serum survival lipoprotein Iss		
FH171		contig00057	4251	5264	+	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE			BLASTX	338	371	91.11	99.7	338	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB		
FH171		contig00057	5407	9063	+	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE			BLASTX	1219	1219	100.0	99.34	1219	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC		
FH171		contig00057	9170	10396	+	iroD	catecholate siderophore esterase IroD	plus	VIRULENCE	VIRULENCE			EXACTX	409	409	100.0	100.0	409	ACJ63529.1	catecholate siderophore esterase IroD		
FH171		contig00057	10484	11437	+	iroE	catecholate siderophore esterase IroE	plus	VIRULENCE	VIRULENCE			EXACTX	318	318	100.0	100.0	318	ACJ63530.1	catecholate siderophore esterase IroE		
FH171		contig00057	11488	13014	-	iroN	siderophore salmochelin receptor IroN	plus	VIRULENCE	VIRULENCE			PARTIALX	509	725	70.21	100.0	509	AAN76093.1	siderophore salmochelin receptor IroN		
FH171		contig00073	3809	4621	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2		
FH171		contig00084	983	3565	+	tsh	temperature-sensitive protease autotransporter hemagglutinin Tsh	plus	VIRULENCE	VIRULENCE			PARTIAL_CONTIG_ENDX	861	1377	62.53	100.0	861	ACA34793.1	temperature-sensitive protease autotransporter hemagglutinin Tsh		
FH88		contig00001	760186	760524	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE			EXACTX	113	113	100.0	100.0	113	AAN80033.1	increased serum survival lipoprotein Iss		
FH88		contig00002	5211	8312	-	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1034	1034	100.0	99.52	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF		
FH88		contig00002	318586	323145	+	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE			EXACTX	1520	1520	100.0	100.0	1520	ADE89421.1	lipoprotein metalloprotease SslE		
FH88		contig00003	36845	37276	+	marR_S3N	Escherichia ampicillin/chloramphenicol/quinolone/rifampin/tetracycline resistant MarR	core	AMR	POINT	MULTIDRUG	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE	POINTX	144	144	100.0	97.92	144	WP_000843414.1	transcriptional regulator MarR		
FH88		contig00005	74834	76189	+	glpT_E448K	Escherichia fosfomycin resistant GlpT	core	AMR	POINT	FOSFOMYCIN	FOSFOMYCIN	POINTX	452	452	100.0	99.56	452	WP_000948731.1	glycerol-3-phosphate transporter GlpT		
FH88		contig00008	92070	92399	-	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	110	110	100.0	98.18	110	CAA77936.1	multidrug efflux SMR transporter EmrE		
FH88		contig00008	159908	161707	-	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE			BLASTX	600	600	100.0	99.5	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ		
FH88		contig00008	161697	163496	-	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE			BLASTX	600	600	100.0	99.5	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP		
FH88		contig00011	121715	121978	-	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID			BLASTX	88	88	100.0	97.73	88	AAC74250.1	biofilm/acid-resistance regulator AriR		
FH88		contig00013	82070	83437	-	ibeA	putative intracellular survival FAD-dependent oxidoreductase IbeA	plus	VIRULENCE	VIRULENCE			BLASTX	456	456	100.0	98.68	456	AAF98391.2	putative intracellular survival FAD-dependent oxidoreductase IbeA		
FH88		contig00014	31132	33783	-	vactox	vacuolating autotransporter toxin Vat	plus	VIRULENCE	VIRULENCE			PARTIALX	884	1376	64.24	99.89	884	AAN78874.1	vacuolating autotransporter toxin Vat		
FH88		contig00014	54960	59207	+	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE			BLASTX	1416	1416	100.0	99.79	1416	ABE05822.1	intimin-like adhesin FdeC		
FH88		contig00022	17750	18937	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	396	396	100.0	99.24	396	EFF04178.1	multidrug efflux MFS transporter EmrD		
FH88		contig00027	23048	24178	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	377	377	100.0	98.94	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5		
