name	Fimtype	Identity	Query/HSP	Contig	Position in contig	Query length	HSP length
FH193	fimH27	100.0	489/489	contig00025	51942..52430	489	489
FH5	fimH97	100.0	489/489	contig00029	54566..55054	489	489
FH187	fimH8*	99.39	489/490	contig00013	10148..10637	489	490
AVC249	fimH97	100.0	489/489	contig00056	6026..6514	489	489
FH134	fimH154	100.0	489/489	contig00007	37810..38298	489	489
AVC183	fimH22	100.0	489/489	contig00001	240050..240538	489	489
FH50	fimH158	100.0	489/489	contig00017	30433..30921	489	489
AVC153	fimH41	100.0	489/489	contig00049	6084..6572	489	489
FH196	fimH97	100.0	489/489	contig00002	126436..126924	489	489
FH63	fimH27	100.0	489/489	contig00010	157281..157769	489	489
FH157	fimH97	100.0	489/489	contig00001	307307..307795	489	489
FH190	fimH97	100.0	489/489	contig00002	307339..307827	489	489
FH137	fimH526	100.0	489/489	contig00002	10124..10612	489	489
AVC213	fimH32	100.0	489/489	contig00051	28080..28568	489	489
FH167	fimH97	100.0	489/489	contig00012	22417..22905	489	489
FH75	fimH27	100.0	489/489	contig00007	313945..314433	489	489
FH56	fimH916	100.0	489/489	contig00001	126438..126926	489	489
FH155	fimH97	100.0	489/489	contig00018	29238..29726	489	489
FH64	fimH27	100.0	489/489	contig00002	313031..313519	489	489
FH23	fimH97	100.0	489/489	contig00001	126337..126825	489	489
FH45	fimH158	100.0	489/489	contig00020	76796..77284	489	489
FH93	fimH526	100.0	489/489	contig00004	379543..380031	489	489
FH84	fimH24	100.0	489/489	contig00032	22740..23228	489	489
AVC160	fimH97	100.0	489/489	contig00001	308328..308816	489	489
AVC160	fimH97	100.0	489/489	contig00001	320882..321370	489	489
AVC10	fimH20	100.0	489/489	contig00005	322409..322897	489	489
FH154	fimH97	100.0	489/489	contig00002	29246..29734	489	489
AVC221	fimH26	100.0	489/489	contig00019	69238..69726	489	489
AVC184	fimH97	100.0	489/489	contig00001	308319..308807	489	489
FH200	fimH25	100.0	489/489	contig00004	312547..313035	489	489
FH96	fimH526	100.0	489/489	contig00004	18743..19231	489	489
FH185	fimH97	100.0	489/489	contig00002	308331..308819	489	489
FH71	fimH97	100.0	489/489	contig00001	19833..20321	489	489
FH121	fimH27	100.0	489/489	contig00003	39545..40033	489	489
FH68	fimH97	100.0	489/489	contig00001	19833..20321	489	489
FH77	fimH27	100.0	489/489	contig00003	39545..40033	489	489
FH195	fimH97	100.0	489/489	contig00014	126333..126821	489	489
FH168	fimH27	100.0	489/489	contig00020	35337..35825	489	489
FH8	fimH97	100.0	489/489	contig00001	6811..7299	489	489
AVC159	fimH97	100.0	489/489	contig00001	156335..156823	489	489
FH16	fimH86	100.0	489/489	contig00020	64667..65155	489	489
AVC80	fimH97	100.0	489/489	contig00005	22426..22914	489	489
FH78	fimH526	100.0	489/489	contig00017	19108..19596	489	489
FH60	fimH32	100.0	489/489	contig00023	17610..18098	489	489
FH34	fimH759	100.0	489/489	contig00032	35275..35763	489	489
AVC177	fimH49	100.0	489/489	contig00018	72141..72629	489	489
FH55	fimH916	100.0	489/489	contig00011	126335..126823	489	489
FH12	fimH38	100.0	489/489	contig00002	55096..55584	489	489
FH173	fimH97	100.0	489/489	contig00002	29238..29726	489	489
FH186	fimH97	100.0	489/489	contig00004	17798..18286	489	489
FH51	fimH759	100.0	489/489	contig00081	4606..5094	489	489
AVC196	fimH26	100.0	489/489	contig00021	69230..69718	489	489
AVC4	fimH97	100.0	489/489	contig00033	32330..32818	489	489
FH53	fimH916	100.0	489/489	contig00001	126438..126926	489	489
FH119	fimH366	100.0	489/489	contig00015	17363..17851	489	489
FH128	fimH30	100.0	489/489	contig00021	7796..8284	489	489
FH130	fimH88	100.0	489/489	contig00002	80295..80783	489	489
AVC211	fimH30	100.0	489/489	contig00005	64709..65197	489	489
FH99	fimH526	100.0	489/489	contig00002	19108..19596	489	489
FH89	fimH526	100.0	489/489	contig00004	18743..19231	489	489
FH120	fimH27	100.0	489/489	contig00004	39329..39817	489	489
FH87	fimH97	100.0	489/489	contig00026	18512..19000	489	489
AVC111	fimH1005	100.0	489/489	contig00003	267246..267734	489	489
AVC210	fimH759	100.0	489/489	contig00118	6182..6670	489	489
FH94	fimH526	100.0	489/489	contig00002	21237..21725	489	489
FH20	fimH97	100.0	489/489	contig00010	126439..126927	489	489
FH82	fimH30	100.0	489/489	contig00017	61352..61840	489	489
FH151	fimH97	100.0	489/489	contig00002	308320..308808	489	489
AVC34	fimH38	100.0	489/489	contig00110	7210..7698	489	489
AVC59	fimH97	100.0	489/489	contig00007	22418..22906	489	489
AVC215	fimH97	100.0	489/489	contig00043	14493..14981	489	489
FH106	fimH97	100.0	489/489	contig00036	18680..19168	489	489
FH136	fimH526	100.0	489/489	contig00020	69822..70310	489	489
FH57	fimH27	100.0	489/489	contig00002	338659..339147	489	489
AVC218	fimH5	100.0	489/489	contig00058	24968..25456	489	489
FH172	fimH97	100.0	489/489	contig00030	29238..29726	489	489
AVC228	fimH97	100.0	489/489	contig00003	169027..169515	489	489
AVC227	fimH27	100.0	489/489	contig00004	315978..316466	489	489
FH95	fimH526	100.0	489/489	contig00015	77554..78042	489	489
FH49	fimH158	100.0	489/489	contig00017	30433..30921	489	489
AVC21	fimH20	100.0	489/489	contig00001	322239..322727	489	489
AVC155	fimH97	100.0	489/489	contig00002	6787..7275	489	489
AVC234	fimH759	100.0	489/489	contig00029	20453..20941	489	489
FH108	fimH526	100.0	489/489	contig00015	83952..84440	489	489
FH169	fimH27	100.0	489/489	contig00019	35276..35764	489	489
FH2	fimH86	100.0	489/489	contig00020	64667..65155	489	489
FH149	fimH366	100.0	489/489	contig00014	94858..95346	489	489
AVC173	fimH27	100.0	489/489	contig00003	315969..316457	489	489
FH176	fimH108	100.0	489/489	contig00145	4736..5224	489	489
AVC198	fimH142	100.0	489/489	contig00051	23295..23783	489	489
FH110	fimH154	100.0	489/489	contig00005	229403..229891	489	489
FH85	fimH24	100.0	489/489	contig00035	32160..32648	489	489
AVC107	fimH63	100.0	489/489	contig00016	18484..18972	489	489
FH7	fimH97	100.0	489/489	contig00002	6812..7300	489	489
FH158	fimH97	100.0	489/489	contig00002	221841..222329	489	489
AVC223	fimH97	100.0	489/489	contig00002	308328..308816	489	489
FH160	fimH97	100.0	489/489	contig00001	126336..126824	489	489
FH3	fimH54	100.0	489/489	contig00016	108911..109399	489	489
FH24	fimH97	100.0	489/489	contig00008	126439..126927	489	489
FH100	fimH526	100.0	489/489	contig00002	379161..379649	489	489
FH26	fimH97	100.0	489/489	contig00003	193899..194387	489	489
FH189	fimH97	100.0	489/489	contig00002	301336..301824	489	489
FH41	fimH158	100.0	489/489	contig00021	76796..77284	489	489
AVC11	fimH20	100.0	489/489	contig00003	322535..323023	489	489
FH4	fimH97	100.0	489/489	contig00001	6792..7280	489	489
FH73	fimH27	100.0	489/489	contig00003	39545..40033	489	489
FH74	fimH27	100.0	489/489	contig00004	312909..313397	489	489
FH164	fimH86	100.0	489/489	contig00014	46042..46530	489	489
FH116	fimH916	100.0	489/489	contig00002	308321..308809	489	489
FH72	fimH97	100.0	489/489	contig00024	54566..55054	489	489
FH6	fimH54	100.0	489/489	contig00015	17376..17864	489	489
FH11	fimH86	100.0	489/489	contig00018	63892..64380	489	489
FH103	fimH526	100.0	489/489	contig00004	379543..380031	489	489
AVC204	fimH142	100.0	489/489	contig00051	23295..23783	489	489
FH179	fimH97	100.0	489/489	contig00033	22418..22906	489	489
FH133	fimH154	100.0	489/489	contig00005	229868..230356	489	489
FH184	fimH97	100.0	489/489	contig00002	22295..22783	489	489
AVC94	fimH547	100.0	489/489	contig00008	88619..89107	489	489
AVC197	fimH142	100.0	489/489	contig00051	24848..25336	489	489
FH40	fimH30	100.0	489/489	contig00009	163420..163908	489	489
AVC96	fimH97	100.0	489/489	contig00024	54566..55054	489	489
FH42	fimH158	100.0	489/489	contig00019	30433..30921	489	489
FH152	fimH97	100.0	489/489	contig00019	54566..55054	489	489
FH183	fimH97	100.0	489/489	contig00002	308290..308778	489	489
FH202	fimH30	100.0	489/489	contig00017	52636..53124	489	489
FH198	fimH97	100.0	489/489	contig00002	308661..309149	489	489
FH145	fimH27	100.0	489/489	contig00002	313031..313519	489	489
FH170	fimH27	100.0	489/489	contig00003	35276..35764	489	489
FH117	fimH916	100.0	489/489	contig00003	197674..198162	489	489
FH81	fimH30	100.0	489/489	contig00017	66710..67198	489	489
FH43	fimH158	100.0	489/489	contig00018	30433..30921	489	489
FH188	fimH8*	99.39	489/490	contig00020	5890..6379	489	490
FH107	fimH526	100.0	489/489	contig00003	18530..19018	489	489
FH66	fimH32	100.0	489/489	contig01584	736..1224	489	489
FH140	fimH27	100.0	489/489	contig00004	39329..39817	489	489
AVC58	fimH97	100.0	489/489	contig00007	22426..22914	489	489
FH177	fimH8*	99.39	489/490	contig00013	120858..121347	489	490
FH153	fimH54	100.0	489/489	contig00045	12627..13115	489	489
FH79	fimH30	100.0	489/489	contig00021	53328..53816	489	489
FH147	fimH27	100.0	489/489	contig00003	312909..313397	489	489
AVC167	fimH142	100.0	489/489	contig00044	4079..4567	489	489
FH70	fimH97	100.0	489/489	contig00024	19833..20321	489	489
FH139	fimH27	100.0	489/489	contig00003	39545..40033	489	489
FH143	fimH27	100.0	489/489	contig00002	313031..313519	489	489
FH105	fimH526	100.0	489/489	contig00015	18743..19231	489	489
FH208	fimH759	100.0	489/489	contig00027	46163..46651	489	489
AVC226	fimH30	100.0	489/489	contig00005	197100..197588	489	489
FH33	fimH54	100.0	489/489	contig00036	19237..19725	489	489
FH29	fimH27	100.0	489/489	contig00003	313043..313531	489	489
AVC126	fimH142	100.0	489/489	contig00044	24848..25336	489	489
AVC222	fimH97	100.0	489/489	contig00001	6800..7288	489	489
AVC220	fimH97	100.0	489/489	contig00001	14511..14999	489	489
AVC35	fimH38	100.0	489/489	contig00005	152228..152716	489	489
AVC200	fimH142	100.0	489/489	contig00055	23303..23791	489	489
FH102	fimH526	100.0	489/489	contig00003	379420..379908	489	489
FH199	fimH97	100.0	489/489	contig00001	126436..126924	489	489
FH13	fimH86	100.0	489/489	contig00015	85954..86442	489	489
FH131	fimH86	100.0	489/489	contig00002	124852..125340	489	489
FH205	fimH97	100.0	489/489	contig00001	126436..126924	489	489
FH54	fimH916	100.0	489/489	contig00002	308950..309438	489	489
FH32	fimH759	100.0	489/489	contig00034	20452..20940	489	489
AVC8	fimH20	100.0	489/489	contig00001	382852..383340	489	489
FH112	fimH154	100.0	489/489	contig00006	229435..229923	489	489
AVC109	fimH54	100.0	489/489	contig00075	6632..7120	489	489
AVC77	fimH97	100.0	489/489	contig00002	6787..7275	489	489
FH191	fimH97	100.0	489/489	contig00007	126336..126824	489	489
FH194	fimH27	100.0	489/489	contig00004	35580..36068	489	489
FH115	fimH916	100.0	489/489	contig00002	197674..198162	489	489
FH90	fimH526	100.0	489/489	contig00018	18530..19018	489	489
AVC105	fimH26	100.0	489/489	contig00018	69230..69718	489	489
FH118	fimH27	100.0	489/489	contig00023	60284..60772	489	489
AVC39	fimH26	100.0	489/489	contig00034	51492..51980	489	489
FH197	fimH97	100.0	489/489	contig00008	54566..55054	489	489
AVC232	fimH158	100.0	489/489	contig00017	76804..77292	489	489
FH86	fimH24	100.0	489/489	contig00134	562..1050	489	489
AVC103	fimH27	100.0	489/489	contig00012	35427..35915	489	489
FH17	fimH86	100.0	489/489	contig00015	85954..86442	489	489
