genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
FH61	4974	4868	190	genus	0.9	0.88	0.04	0.12	0.27	0.99	0.88	True
FH142	4851	4781	108	genus	0.92	0.9	0.03	0.12	0.26	0.99	0.9	True
AVC5	5064	4997	258	genus	0.92	0.9	0.11	0.22	0.54	0.98	0.89	True
FH58	5586	5407	309	species	0.82	0.8	0.8	0.03	0.06	0.98	0.78	False
AVC98	4920	4849	177	genus	0.91	0.9	0.02	0.24	0.59	0.99	0.89	True
AVC235	5161	5075	168	genus	0.9	0.88	0.07	0.13	0.29	0.99	0.87	True
AVC20	5073	4975	118	family	0.96	0.94	0.52	0.02	0.04	0.96	0.9	False
AVC256	5177	5086	196	genus	0.9	0.88	0.08	0.12	0.28	0.99	0.87	True
AVC97	4904	4846	173	genus	0.91	0.9	0.06	0.12	0.27	0.99	0.89	True
FH83	4908	4852	130	genus	0.91	0.9	0.03	0.22	0.52	0.99	0.89	True
FH132	4794	4735	109	genus	0.93	0.92	0.05	0.13	0.28	0.99	0.91	True
FH203	4956	4871	145	genus	0.9	0.88	0.03	0.18	0.43	0.99	0.87	True
AVC123	5127	5044	181	species	0.89	0.87	0.8	0.06	0.12	0.99	0.86	False
FH166	4860	4801	144	genus	0.91	0.9	0.04	0.19	0.43	0.99	0.89	True
AVC51	4689	4649	159	genus	0.91	0.9	0.02	0.2	0.48	0.99	0.89	True
FH65	4814	4749	136	genus	0.91	0.9	0.03	0.12	0.27	0.99	0.9	True
FH62	4833	4760	158	genus	0.91	0.9	0.04	0.12	0.27	0.99	0.89	True
FH125	4692	4632	143	genus	0.9	0.89	0.02	0.22	0.53	0.99	0.88	True
FH21	4765	4716	114	genus	0.92	0.91	0.02	0.2	0.47	0.99	0.89	True
AVC60	5182	5083	285	genus	0.9	0.89	0.12	0.22	0.55	0.98	0.87	True
FH150	4587	4541	117	genus	0.91	0.9	0.02	0.3	0.73	0.99	0.89	True
AVC148	5197	5098	184	genus	0.88	0.86	0.03	0.25	0.6	0.99	0.85	True
FH207	5246	5153	278	genus	0.92	0.91	0.1	0.27	0.69	0.98	0.89	True
FH67	4869	4778	149	genus	0.91	0.89	0.04	0.12	0.27	0.99	0.89	True
FH148	4845	4779	107	genus	0.92	0.91	0.03	0.12	0.27	0.99	0.9	True
FH113	4706	4655	92	genus	0.91	0.9	0.03	0.11	0.25	0.99	0.89	True
FH165	4701	4650	115	genus	0.92	0.91	0.02	0.31	0.75	0.99	0.9	True
FH161	4815	4724	208	genus	0.9	0.89	0.04	0.19	0.44	0.99	0.87	True
FH31	5079	4997	212	genus	0.9	0.88	0.03	0.24	0.58	0.99	0.87	True
FH28	4603	4566	78	genus	0.93	0.92	0.02	0.31	0.75	0.99	0.91	True
AVC61	4944	4868	84	genus	0.86	0.84	0.03	0.14	0.31	0.99	0.83	True
FH101	5161	5080	148	genus	0.9	0.88	0.05	0.13	0.28	0.99	0.87	True
FH36	4611	4569	91	genus	0.93	0.92	0.02	0.31	0.75	0.99	0.91	True
FH206	5210	5126	207	genus	0.92	0.91	0.08	0.27	0.69	0.98	0.89	True
FH59	5047	4956	182	genus	0.89	0.88	0.03	0.25	0.6	0.99	0.87	True
FH46	5003	4938	159	genus	0.91	0.9	0.02	0.25	0.61	0.99	0.89	True
FH9	5402	5270	326	species	0.88	0.86	0.76	0.02	0.05	0.98	0.84	False
FH146	4883	4792	110	genus	0.91	0.9	0.03	0.12	0.26	0.99	0.89	True
FH127	5248	5149	162	species	0.91	0.9	0.74	0.02	0.05	0.99	0.88	False
FH111	4705	4660	120	genus	0.9	0.9	0.04	0.12	0.26	0.99	0.89	True
FH204	5034	4942	124	genus	0.88	0.87	0.03	0.18	0.43	0.99	0.86	True
FH123	13538	13213	5531	genus	0.87	0.85	0.09	0.18	0.41	0.99	0.85	True
FH38	5184	5102	175	genus	0.9	0.88	0.06	0.13	0.29	0.99	0.87	True
FH174	4890	4783	198	genus	0.89	0.87	0.05	0.19	0.44	0.99	0.86	True
FH209	5218	5129	207	genus	0.92	0.91	0.08	0.27	0.69	0.98	0.89	True
AVC216	5039	4915	345	genus	0.91	0.88	0.15	0.22	0.55	0.98	0.87	True
FH30	5000	4925	165	genus	0.91	0.89	0.05	0.13	0.28	0.99	0.89	True
FH109	5040	4958	143	genus	0.9	0.89	0.06	0.12	0.27	0.99	0.88	True
AVC242	5168	5082	206	genus	0.9	0.88	0.09	0.13	0.28	0.99	0.87	True
FH210	4811	4764	125	genus	0.91	0.9	0.02	0.31	0.75	0.99	0.89	True
FH98	5172	5087	165	genus	0.9	0.88	0.07	0.13	0.29	0.99	0.87	True
AVC29	4871	4797	192	genus	0.92	0.9	0.17	0.2	0.5	0.99	0.89	True
AVC106	5153	5068	226	species	0.91	0.9	0.84	0.03	0.06	0.98	0.89	False
AVC179	5169	5071	195	genus	0.88	0.87	0.03	0.19	0.45	0.99	0.85	True
FH76	5011	4908	135	family	0.97	0.95	0.86	0.03	0.07	0.98	0.93	False
AVC65	4874	4785	110	genus	0.92	0.9	0.12	0.22	0.54	0.98	0.89	True
FH192	4670	4624	123	genus	0.92	0.91	0.02	0.18	0.41	0.99	0.89	True
FH156	4895	4789	203	genus	0.89	0.87	0.05	0.19	0.45	0.99	0.86	True
FH15	5643	5462	366	genus	0.87	0.84	0.13	0.34	0.89	0.98	0.82	True
FH213	5168	5084	221	genus	0.89	0.87	0.03	0.25	0.6	0.99	0.86	True
FH27	4863	4809	154	genus	0.91	0.9	0.03	0.19	0.44	0.99	0.89	True
FH91	5042	4967	97	genus	0.91	0.9	0.05	0.13	0.28	0.99	0.88	True
AVC113	4673	4636	145	genus	0.91	0.9	0.01	0.3	0.73	0.99	0.89	True
FH214	5220	5137	212	genus	0.92	0.91	0.09	0.27	0.69	0.98	0.89	True
AVC224	5243	5132	238	genus	0.87	0.86	0.03	0.25	0.6	0.99	0.84	True
FH1	5358	5226	350	genus	0.89	0.87	0.13	0.35	0.89	0.98	0.85	True
AVC156	5099	5018	202	genus	0.89	0.88	0.03	0.19	0.45	0.99	0.87	True
FH182	4837	4772	122	genus	0.9	0.89	0.02	0.18	0.42	0.99	0.87	True
FH162	4801	4713	180	genus	0.9	0.88	0.05	0.19	0.44	0.99	0.87	True
AVC91	4868	4786	127	genus	0.92	0.9	0.13	0.22	0.54	0.98	0.89	True
AVC195	4982	4919	144	genus	0.91	0.9	0.02	0.25	0.6	0.99	0.89	True
AVC252	5048	4943	334	genus	0.88	0.86	0.04	0.3	0.72	0.99	0.85	True
AVC176	5583	5436	297	species	0.9	0.87	0.68	0.02	0.05	0.99	0.86	False
FH14	4902	4847	239	species	0.91	0.9	0.9	0.03	0.06	0.99	0.89	False
FH163	5001	4886	222	genus	0.89	0.87	0.17	0.21	0.51	0.98	0.86	True
AVC154	5380	5239	194	species	0.89	0.86	0.88	0.05	0.12	0.98	0.85	False
FH44	4992	4925	156	genus	0.91	0.9	0.02	0.25	0.6	0.99	0.89	True
AVC251	5059	5003	160	genus	0.91	0.9	0.05	0.12	0.27	0.99	0.88	True
FH80	4812	4771	136	genus	0.93	0.92	0.05	0.12	0.28	0.99	0.91	True
FH181	4839	4770	122	genus	0.9	0.88	0.04	0.18	0.42	0.99	0.87	True
FH18	4578	4541	128	genus	0.91	0.91	0.02	0.22	0.52	0.99	0.9	True
FH47	5005	4934	157	genus	0.91	0.9	0.02	0.25	0.61	0.99	0.89	True
AVC12	5242	5135	241	genus	0.87	0.86	0.03	0.25	0.6	0.99	0.84	True
FH35	5091	5003	213	genus	0.9	0.88	0.03	0.24	0.58	0.99	0.87	True
AVC186	5207	5101	203	genus	0.87	0.85	0.03	0.25	0.6	0.99	0.84	True
FH10	4792	4723	184	genus	0.9	0.89	0.03	0.21	0.5	0.99	0.88	True
AVC30	4911	4835	238	species	0.91	0.9	0.86	0.03	0.05	0.99	0.89	False
AVC19	4902	4833	80	genus	0.86	0.85	0.03	0.14	0.31	0.99	0.84	True
FH211	5210	5123	204	genus	0.92	0.91	0.09	0.27	0.69	0.98	0.89	True
FH114	4985	4896	146	genus	0.89	0.87	0.01	0.18	0.41	0.99	0.86	True
AVC209	5368	5262	258	genus	0.9	0.89	0.08	0.28	0.7	0.98	0.87	True
FH124	4887	4815	151	genus	0.89	0.88	0.02	0.26	0.63	0.99	0.87	True
AVC233	4992	4926	137	genus	0.91	0.9	0.02	0.25	0.6	0.99	0.89	True
AVC171	5327	5217	257	genus	0.88	0.86	0.08	0.13	0.3	0.99	0.85	True
FH141	4852	4781	106	genus	0.92	0.9	0.03	0.12	0.26	0.99	0.9	True
FH178	4677	4632	138	genus	0.91	0.91	0.03	0.18	0.41	0.99	0.89	True
AVC246	5003	4935	194	genus	0.91	0.9	0.03	0.25	0.61	0.99	0.89	True
AVC161	5117	5039	185	species	0.91	0.9	0.8	0.05	0.11	0.99	0.89	False
FH48	4589	4534	153	genus	0.91	0.9	0.02	0.22	0.51	0.99	0.9	True
AVC25	4940	4862	99	genus	0.86	0.85	0.04	0.14	0.31	0.99	0.83	True
FH126	5068	4817	90	genus	0.91	0.87	0.04	0.13	0.28	0.99	0.86	True
AVC26	4935	4858	83	genus	0.86	0.85	0.03	0.14	0.31	0.99	0.83	True
FH39	5176	5086	170	genus	0.89	0.88	0.06	0.13	0.29	0.99	0.87	True
FH159	4668	4620	122	genus	0.91	0.91	0.03	0.18	0.42	0.99	0.89	True
AVC207	4989	4902	123	genus	0.89	0.87	0.01	0.32	0.76	0.99	0.86	True
AVC79	4925	4847	147	genus	0.89	0.87	0.03	0.18	0.43	0.99	0.86	True
FH201	4808	4739	120	genus	0.9	0.89	0.03	0.17	0.39	0.99	0.88	True
FH175	4825	4724	211	species	0.89	0.87	0.81	0.02	0.05	0.99	0.86	False
FH193	5183	5097	140	genus	0.89	0.88	0.07	0.13	0.28	0.99	0.87	True
FH5	5384	5276	267	species	0.89	0.87	0.87	0.05	0.11	0.98	0.86	False
FH187	4718	4661	92	genus	0.9	0.89	0.05	0.12	0.27	0.99	0.88	True
AVC249	4622	4555	369	genus	0.91	0.9	0.04	0.18	0.41	0.99	0.89	True
FH134	4711	4662	105	genus	0.91	0.9	0.03	0.12	0.26	0.99	0.89	True
AVC183	4941	4867	109	genus	0.86	0.85	0.08	0.15	0.35	0.99	0.84	True
FH50	5016	4950	174	genus	0.91	0.9	0.02	0.25	0.6	0.99	0.89	True
AVC153	4697	4627	142	genus	0.89	0.88	0.02	0.27	0.65	0.99	0.87	True
FH196	4974	4884	152	genus	0.9	0.88	0.03	0.18	0.43	0.99	0.87	True
FH63	4802	4736	125	genus	0.92	0.9	0.03	0.12	0.27	0.99	0.9	True
FH157	4672	4624	126	genus	0.91	0.91	0.03	0.18	0.41	0.99	0.89	True
FH190	4673	4619	105	genus	0.91	0.9	0.02	0.18	0.41	0.99	0.89	True
FH137	5276	5183	198	species	0.91	0.9	0.79	0.03	0.06	0.99	0.88	False
AVC213	5171	5079	287	species	0.89	0.88	0.86	0.03	0.05	0.99	0.86	False
FH167	4843	4791	140	genus	0.91	0.9	0.02	0.18	0.42	0.99	0.89	True
FH75	8449	8295	148	species	0.9	0.88	0.99	0.41	0.94	0.99	0.88	False
FH56	5024	4937	184	genus	0.89	0.87	0.02	0.18	0.42	0.99	0.86	True
FH155	4811	4719	189	genus	0.92	0.9	0.1	0.2	0.5	0.98	0.89	True
FH64	4819	4748	136	genus	0.91	0.9	0.04	0.12	0.27	0.99	0.9	True
FH23	4851	4793	143	genus	0.93	0.92	0.06	0.21	0.51	0.99	0.9	True
FH45	5019	4950	170	genus	0.91	0.9	0.02	0.25	0.61	0.99	0.89	True
FH93	5071	4995	140	genus	0.9	0.89	0.05	0.12	0.27	0.99	0.88	True
FH84	4896	4835	147	genus	0.91	0.9	0.03	0.22	0.52	0.99	0.89	True
AVC160	5240	5143	188	genus	0.89	0.87	0.03	0.19	0.44	0.99	0.86	True
AVC10	4946	4864	92	genus	0.86	0.84	0.03	0.14	0.31	0.99	0.83	True
FH154	4802	4719	193	genus	0.9	0.89	0.04	0.19	0.44	0.99	0.87	True
AVC221	5053	4920	118	genus	0.9	0.88	0.14	0.22	0.55	0.98	0.86	True
AVC184	5134	5033	251	genus	0.9	0.89	0.1	0.22	0.54	0.98	0.87	True
FH200	4751	4721	102	genus	0.92	0.91	0.01	0.3	0.73	0.99	0.9	True
FH96	5073	4998	145	genus	0.9	0.89	0.05	0.12	0.27	0.99	0.88	True
FH185	4839	4771	128	genus	0.9	0.88	0.03	0.18	0.42	0.99	0.87	True
FH71	5066	4965	182	genus	0.87	0.85	0.03	0.18	0.42	0.99	0.84	True
FH121	4849	4778	99	genus	0.92	0.9	0.03	0.12	0.26	0.99	0.9	True
FH68	5079	4981	190	genus	0.87	0.86	0.04	0.18	0.42	0.99	0.84	True
FH77	4912	4817	99	genus	0.91	0.89	0.03	0.12	0.26	0.99	0.88	True
FH195	4976	4882	146	genus	0.89	0.88	0.03	0.18	0.43	0.99	0.87	True
FH168	5133	5052	184	genus	0.9	0.89	0.04	0.26	0.62	0.99	0.88	True
FH8	5390	5280	256	species	0.89	0.87	0.87	0.05	0.11	0.98	0.86	False
AVC159	5099	4993	174	species	0.9	0.88	0.9	0.05	0.11	0.99	0.87	False
FH16	5587	5411	343	genus	0.87	0.84	0.14	0.34	0.89	0.98	0.82	True
AVC80	5306	5198	181	species	0.89	0.87	0.87	0.05	0.11	0.98	0.86	False
FH78	5176	5092	144	genus	0.9	0.88	0.07	0.13	0.29	0.99	0.87	True
FH60	4871	4793	186	species	0.92	0.91	0.89	0.05	0.1	0.99	0.9	False
FH34	5102	5017	201	genus	0.92	0.9	0.07	0.26	0.65	0.98	0.89	True
AVC177	5148	5073	182	genus	0.88	0.87	0.02	0.19	0.44	0.98	0.86	True
FH55	5019	4931	183	genus	0.89	0.87	0.02	0.18	0.42	0.99	0.86	True
FH12	4875	4813	233	genus	0.92	0.91	0.08	0.33	0.84	0.99	0.89	True
FH173	4877	4782	197	genus	0.89	0.87	0.04	0.19	0.44	0.99	0.86	True
FH186	4848	4783	116	genus	0.9	0.89	0.04	0.18	0.42	0.99	0.87	True
FH51	5551	5423	554	genus	0.88	0.86	0.07	0.25	0.6	0.99	0.84	True
AVC196	4980	4876	137	genus	0.91	0.89	0.14	0.22	0.55	0.98	0.87	True
AVC4	5080	4982	195	genus	0.9	0.88	0.03	0.18	0.43	0.99	0.87	True
FH53	5025	4937	188	genus	0.89	0.87	0.02	0.18	0.42	0.99	0.86	True
FH119	4910	4668	136	genus	0.89	0.85	0.02	0.3	0.73	0.99	0.84	True
FH128	4811	4767	147	genus	0.93	0.92	0.06	0.13	0.28	0.99	0.91	True
FH130	4805	4742	188	species	0.92	0.91	0.83	0.03	0.05	0.99	0.89	False
AVC211	5338	5225	297	genus	0.86	0.85	0.02	0.26	0.63	0.98	0.83	True
FH135	4772	4707	135	genus	0.89	0.88	0.03	0.27	0.64	0.99	0.87	True
FH99	5196	5108	151	genus	0.9	0.88	0.05	0.13	0.29	0.99	0.87	True
FH89	5044	4969	97	genus	0.91	0.9	0.05	0.13	0.28	0.99	0.88	True
FH120	4840	4771	101	genus	0.92	0.91	0.03	0.12	0.27	0.99	0.9	True
FH87	4827	4762	162	genus	0.91	0.9	0.02	0.18	0.43	0.99	0.88	True
AVC111	5075	4992	170	genus	0.9	0.89	0.1	0.2	0.5	0.98	0.87	True
AVC210	5333	5223	456	genus	0.92	0.9	0.12	0.27	0.69	0.98	0.89	True
FH94	5052	4967	150	genus	0.9	0.88	0.06	0.12	0.27	0.99	0.87	True
FH20	4841	4783	156	genus	0.93	0.92	0.07	0.21	0.51	0.99	0.9	True
FH82	4804	4754	116	genus	0.93	0.92	0.04	0.12	0.28	0.99	0.91	True
FH151	4982	4874	226	genus	0.89	0.88	0.1	0.21	0.51	0.98	0.86	True
AVC34	5070	4967	336	family	0.96	0.94	0.9	0.03	0.06	0.98	0.92	False
AVC59	5112	5009	226	species	0.9	0.88	0.85	0.03	0.06	0.98	0.86	False
AVC215	4824	4750	148	genus	0.9	0.89	0.02	0.18	0.42	0.99	0.88	True
FH106	5114	5026	206	genus	0.87	0.85	0.03	0.18	0.42	0.99	0.84	True
FH136	5242	5144	199	species	0.91	0.89	0.79	0.03	0.05	0.99	0.88	False
FH57	5746	5588	394	genus	0.88	0.86	0.15	0.15	0.35	0.98	0.85	True
AVC218	4969	4890	275	genus	0.91	0.89	0.06	0.12	0.26	0.99	0.88	True
FH172	5001	4888	228	genus	0.88	0.86	0.04	0.19	0.44	0.99	0.84	True
AVC228	4954	4879	200	genus	0.9	0.89	0.05	0.19	0.45	0.99	0.88	True
AVC227	5295	5194	173	genus	0.88	0.87	0.08	0.13	0.28	0.99	0.86	True
FH95	5037	4957	154	genus	0.9	0.89	0.06	0.12	0.27	0.99	0.88	True
FH49	5024	4951	177	genus	0.91	0.9	0.02	0.25	0.6	0.99	0.88	True
AVC21	4949	4866	89	genus	0.86	0.84	0.04	0.14	0.31	0.99	0.83	True
AVC155	5104	5027	268	genus	0.91	0.9	0.1	0.22	0.55	0.98	0.88	True
AVC234	5090	5020	255	genus	0.9	0.89	0.03	0.25	0.6	0.99	0.88	True
FH108	5035	4958	125	genus	0.9	0.89	0.06	0.12	0.27	0.99	0.88	True
FH169	5118	5040	169	genus	0.9	0.89	0.04	0.26	0.62	0.99	0.88	True
FH2	5406	5274	338	species	0.88	0.86	0.77	0.02	0.05	0.98	0.84	False
FH149	4582	4534	105	genus	0.91	0.9	0.02	0.3	0.73	0.99	0.89	True
AVC173	5229	5121	235	genus	0.89	0.87	0.09	0.13	0.3	0.99	0.86	True
FH176	7627	7453	1949	genus	0.86	0.84	0.08	0.26	0.62	0.99	0.83	True
AVC198	5187	5089	205	genus	0.87	0.86	0.03	0.25	0.6	0.99	0.84	True
FH110	4684	4637	93	genus	0.91	0.9	0.03	0.12	0.26	0.99	0.89	True
FH85	4910	4851	136	genus	0.91	0.9	0.02	0.22	0.52	0.99	0.89	True
AVC107	5213	5096	165	species	0.89	0.87	0.92	0.07	0.16	0.99	0.86	False
FH7	5448	5335	260	species	0.88	0.86	0.87	0.05	0.11	0.98	0.85	False
FH158	4670	4620	125	genus	0.91	0.9	0.03	0.18	0.41	0.99	0.89	True
AVC223	4883	4810	222	genus	0.9	0.88	0.03	0.19	0.44	0.99	0.87	True
FH160	4672	4623	120	genus	0.91	0.91	0.03	0.18	0.41	0.99	0.89	True
FH3	4794	4721	169	genus	0.9	0.88	0.02	0.21	0.5	0.99	0.88	True
FH24	4856	4801	155	genus	0.93	0.92	0.06	0.21	0.51	0.99	0.9	True
FH100	5215	5131	161	genus	0.9	0.88	0.05	0.13	0.29	0.99	0.87	True
FH26	4861	4803	159	genus	0.93	0.92	0.06	0.21	0.51	0.99	0.9	True
FH189	4673	4623	106	genus	0.91	0.9	0.03	0.18	0.41	0.99	0.89	True
FH41	4988	4924	140	genus	0.91	0.9	0.02	0.25	0.61	0.99	0.89	True
AVC11	4953	4870	109	genus	0.86	0.84	0.04	0.14	0.31	0.99	0.83	True
FH4	5413	5302	317	species	0.89	0.87	0.87	0.05	0.11	0.98	0.86	False
FH73	4870	4798	101	genus	0.91	0.9	0.03	0.12	0.26	0.99	0.89	True
FH122	4889	4817	138	genus	0.89	0.88	0.02	0.26	0.63	0.99	0.87	True
FH74	4852	4782	105	genus	0.91	0.9	0.04	0.12	0.26	0.99	0.89	True
FH164	4671	4623	96	genus	0.92	0.91	0.02	0.31	0.75	0.99	0.91	True
FH116	4995	4903	129	genus	0.89	0.87	0.02	0.18	0.42	0.99	0.86	True
FH72	5164	5040	210	genus	0.87	0.84	0.03	0.18	0.42	0.99	0.83	True
FH6	4777	4709	180	genus	0.9	0.89	0.03	0.21	0.5	0.99	0.88	True
FH11	5384	5256	379	genus	0.89	0.87	0.13	0.34	0.89	0.98	0.85	True
FH103	5083	5002	145	genus	0.9	0.89	0.05	0.12	0.27	0.99	0.88	True
AVC204	5216	5112	215	genus	0.87	0.85	0.03	0.25	0.6	0.99	0.84	True
FH179	4852	4791	153	genus	0.9	0.88	0.04	0.18	0.43	0.99	0.87	True
FH133	4689	4642	96	genus	0.9	0.9	0.03	0.12	0.26	0.99	0.89	True
FH184	4852	4783	128	genus	0.9	0.88	0.04	0.18	0.43	0.99	0.87	True
AVC94	4787	4727	133	genus	0.89	0.88	0.01	0.3	0.71	0.99	0.87	True
AVC197	5210	5104	210	genus	0.88	0.86	0.03	0.25	0.6	0.99	0.85	True
FH40	5152	5064	260	genus	0.88	0.87	0.02	0.26	0.62	0.98	0.86	True
AVC96	5008	4938	182	genus	0.92	0.9	0.08	0.2	0.48	0.98	0.89	True
FH42	5007	4935	157	genus	0.91	0.9	0.02	0.25	0.61	0.99	0.88	True
FH152	4976	4859	206	genus	0.88	0.85	0.05	0.19	0.45	0.99	0.84	True
FH183	4838	4769	125	genus	0.9	0.89	0.04	0.18	0.42	0.99	0.87	True
FH202	5270	5142	364	species	0.9	0.88	0.87	0.03	0.06	0.98	0.86	False
FH198	4974	4885	147	genus	0.9	0.88	0.03	0.18	0.43	0.99	0.87	True
FH145	4849	4783	141	genus	0.92	0.91	0.04	0.12	0.27	0.99	0.9	True
FH170	5144	5070	222	genus	0.9	0.89	0.05	0.26	0.62	0.99	0.88	True
FH117	4992	4903	125	genus	0.89	0.87	0.02	0.18	0.42	0.99	0.86	True
FH81	4814	4762	103	genus	0.93	0.92	0.03	0.12	0.27	0.99	0.91	True
FH43	5026	4960	175	genus	0.91	0.9	0.02	0.25	0.61	0.99	0.88	True
FH188	4723	4665	101	genus	0.9	0.89	0.05	0.12	0.27	0.99	0.88	True
FH107	5043	4963	138	genus	0.9	0.89	0.06	0.12	0.27	0.99	0.88	True
FH66	22932	22259	14854	species	0.89	0.87	0.74	0.03	0.05	0.99	0.86	False
FH140	4824	4758	98	genus	0.92	0.91	0.04	0.12	0.27	0.99	0.9	True
AVC58	4860	4792	137	genus	0.9	0.89	0.02	0.18	0.42	0.99	0.88	True
FH177	4720	4659	90	genus	0.9	0.89	0.05	0.12	0.27	0.99	0.88	True
FH153	4817	4753	213	species	0.9	0.89	0.53	0.02	0.05	0.99	0.88	False
FH79	4818	4772	150	genus	0.93	0.92	0.04	0.12	0.28	0.99	0.91	True
FH147	4846	4776	100	genus	0.92	0.9	0.02	0.12	0.26	0.99	0.9	True
AVC167	5086	4997	208	genus	0.89	0.88	0.03	0.25	0.59	0.99	0.87	True
FH70	5069	4970	184	genus	0.87	0.85	0.03	0.18	0.42	0.99	0.84	True
FH139	4842	4773	91	genus	0.92	0.9	0.02	0.12	0.26	0.99	0.9	True
FH143	4851	4780	146	genus	0.92	0.91	0.04	0.12	0.27	0.99	0.9	True
FH105	5032	4960	124	genus	0.9	0.89	0.06	0.12	0.27	0.99	0.88	True
FH208	5204	5118	191	genus	0.92	0.91	0.08	0.27	0.69	0.98	0.89	True
AVC226	4672	4633	145	genus	0.92	0.91	0.02	0.26	0.62	0.99	0.9	True
FH33	4829	4752	146	genus	0.88	0.87	0.01	0.22	0.53	0.99	0.86	True
FH29	5033	4944	178	genus	0.91	0.89	0.05	0.13	0.29	0.99	0.89	True
AVC126	5175	5071	189	genus	0.88	0.86	0.03	0.25	0.6	0.99	0.85	True
AVC222	5188	5083	237	genus	0.9	0.88	0.1	0.22	0.54	0.98	0.87	True
AVC220	5064	4933	160	genus	0.88	0.85	0.03	0.18	0.43	0.99	0.84	True
AVC35	5051	4958	149	family	0.96	0.94	0.88	0.03	0.06	0.98	0.92	False
AVC200	5196	5091	241	genus	0.88	0.86	0.03	0.25	0.6	0.99	0.85	True
FH102	5056	4971	150	genus	0.9	0.88	0.06	0.12	0.27	0.99	0.87	True
FH199	4975	4884	150	genus	0.9	0.88	0.03	0.18	0.43	0.99	0.87	True
FH13	5452	5314	353	species	0.88	0.86	0.75	0.02	0.05	0.98	0.84	False
FH131	5081	5009	184	genus	0.9	0.89	0.07	0.33	0.84	0.99	0.88	True
FH205	4969	4884	147	genus	0.9	0.88	0.03	0.18	0.43	0.99	0.87	True
FH54	5025	4937	191	genus	0.89	0.87	0.02	0.18	0.42	0.99	0.86	True
FH32	5389	5255	280	genus	0.87	0.85	0.04	0.25	0.6	0.99	0.84	True
AVC8	4946	4864	86	genus	0.86	0.84	0.03	0.14	0.31	0.99	0.83	True
FH112	4698	4649	83	genus	0.91	0.9	0.02	0.11	0.25	0.99	0.89	True
AVC109	4591	4540	173	genus	0.91	0.9	0.02	0.26	0.62	0.99	0.89	True
AVC77	5434	5328	270	species	0.88	0.87	0.9	0.05	0.12	0.98	0.85	False
FH191	4668	4618	114	genus	0.91	0.9	0.03	0.18	0.41	0.99	0.89	True
FH194	5186	5093	152	genus	0.9	0.88	0.07	0.12	0.28	0.99	0.87	True
FH115	5005	4914	145	genus	0.89	0.88	0.02	0.18	0.42	0.99	0.86	True
FH90	5061	4981	131	genus	0.91	0.89	0.06	0.13	0.29	0.99	0.88	True
AVC105	4868	4782	119	genus	0.92	0.9	0.13	0.22	0.54	0.98	0.89	True
FH118	4844	4778	127	genus	0.92	0.91	0.04	0.12	0.27	0.99	0.9	True
AVC39	4978	4875	205	genus	0.91	0.89	0.14	0.22	0.55	0.98	0.87	True
FH197	4973	4882	149	genus	0.9	0.88	0.03	0.18	0.43	0.99	0.87	True
