name	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
FH1	5280168	376	14043.0	200134	200	0	0	81393	23	40662	41	13479	85
AVC156	5359495	222	24141.87	369944	205	0	0	149187	13	86833	22	28938	44
FH182	5100708	139	36695.74	363597	200	0	0	151374	11	75134	20	33180	39
FH162	5022047	199	25236.42	338665	202	0	0	125810	12	68034	22	30098	43
AVC91	5162695	134	38527.57	338595	208	0	0	169360	12	121550	19	32382	34
AVC195	5301531	151	35109.48	358815	214	0	0	165963	12	89479	22	32756	39
AVC252	5271465	348	15147.89	177545	202	0	0	42599	35	24825	67	9366	135
AVC176	5669400	334	16974.25	351580	203	0	0	147774	13	74339	25	16118	53
FH14	5033168	262	19210.56	335949	200	0	0	119451	14	73590	25	25434	47
FH163	5171215	242	21368.66	338045	201	0	0	124771	13	70187	24	22715	48
AVC154	5515276	204	27035.67	327047	203	0	0	129384	14	95976	23	35483	44
FH44	5297204	163	32498.18	337671	201	0	0	165814	12	91909	21	34456	38
AVC251	5287193	165	32043.59	384001	201	0	0	198278	10	113656	16	31184	31
FH80	5033468	138	36474.41	448702	207	0	0	255974	7	164701	12	32858	26
FH181	5100656	142	35920.11	404177	200	0	0	182756	10	84400	18	35961	37
FH18	4833999	142	34042.25	464786	207	0	0	145432	10	82309	19	33611	38
FH47	5309495	170	31232.32	293037	202	0	0	146820	13	91254	23	46129	38
AVC12	5478782	255	21485.42	321605	206	0	0	100576	16	56580	31	20882	60
FH35	5388935	231	23328.72	364993	202	0	0	96504	17	64304	31	30083	57
AVC186	5462515	209	26136.44	418570	205	0	0	133646	12	64326	24	23217	52
FH10	4919148	201	24473.37	268368	200	0	0	130451	14	53909	27	25223	53
AVC30	5078382	256	19837.43	410033	200	0	0	110043	13	58088	25	22703	51
AVC19	5159316	85	60697.84	595697	203	0	0	241876	7	186548	12	51104	22
FH211	5476528	220	24893.31	425052	204	0	0	108608	13	66696	26	31955	49
FH114	5168167	158	32709.92	449971	204	0	0	223544	9	110364	17	38143	32
AVC209	5568193	268	20776.84	364828	205	0	0	137363	12	70700	24	23766	51
FH124	5073993	166	30566.22	482613	207	0	0	106639	13	65198	24	23740	46
AVC233	5305960	145	36592.83	559690	213	0	0	190740	9	93309	17	32756	33
AVC171	5384460	268	20091.27	475839	201	0	0	197865	9	106733	17	20878	44
FH141	5175734	130	39813.34	414133	205	0	0	292614	8	186205	13	71759	21
FH178	4948984	146	33897.15	434130	202	0	0	174712	10	85046	18	41532	35
AVC246	5297432	202	26224.91	233181	213	0	0	83656	20	55222	36	23372	65
AVC161	5312612	191	27814.72	319775	201	0	0	149008	12	90735	21	31028	40
FH48	4800301	163	29449.7	402778	204	0	0	119179	14	58891	26	26558	47
AVC25	5184406	103	50334.04	400313	208	0	0	198697	9	121655	15	39210	31
FH126	5210783	122	42711.34	749181	202	0	0	237098	7	162150	13	41766	24
AVC26	5186154	87	59610.97	479505	200	0	0	214235	8	176845	13	41368	26
FH39	5342230	183	29192.51	762955	208	0	0	177544	9	128453	16	29947	33
FH159	4961147	131	37871.35	434232	202	0	0	142269	10	95690	18	43243	34
AVC207	5198406	131	39682.49	407933	201	0	0	215016	9	142838	15	37025	28
AVC79	5138353	162	31718.23	442566	200	0	0	130718	11	94655	20	36809	37
FH201	5124365	125	40994.92	656512	201	0	0	180874	7	92876	16	34930	31
FH175	5027194	233	21575.94	209364	200	0	0	88674	19	49166	35	21806	63
FH193	5329938	148	36013.09	490822	202	0	0	161203	12	113189	20	41702	33
FH5	5452109	286	19063.32	333522	200	0	0	102729	15	61832	29	22559	56
FH187	4977867	100	49778.67	531553	200	0	0	155062	11	113301	18	49349	32
AVC249	4852573	387	12538.95	90650	202	0	0	35756	46	19588	82	7322	158
FH134	5002303	114	43879.85	448215	203	0	0	265336	8	149222	13	41528	24
AVC183	5153847	114	45209.18	610530	206	0	0	223274	7	135135	13	63515	24
FH50	5307090	188	28229.2	336742	202	0	0	159249	12	91909	22	32740	40
AVC153	4924424	154	31976.78	459057	204	0	0	139961	11	86582	20	30129	40
FH196	5199238	166	31320.71	546191	202	0	0	140894	10	75133	20	38449	40
FH63	5116746	135	37901.82	408326	202	0	0	197842	9	133899	15	64497	25
FH157	4964871	135	36776.82	434232	202	0	0	131204	10	81669	19	41418	36
FH190	4965417	120	41378.47	620704	201	0	0	203659	6	102503	13	43448	27
FH137	5388020	207	26029.08	614680	207	0	0	215830	8	143607	14	31901	28
AVC213	5279211	303	17423.14	263452	204	0	0	84771	19	56274	34	15411	67
FH167	5090773	146	34868.31	438207	201	0	0	230980	9	97727	16	41835	31
FH75	9072685	183	49577.51	571140	205	0	0	292294	12	197772	20	66845	35
FH56	5197816	200	25989.08	435875	202	0	0	134572	10	89438	19	41466	35
FH155	5026296	212	23708.94	336189	200	0	0	107841	14	66120	26	24082	50
FH64	5128895	150	34192.63	368737	201	0	0	186766	10	133899	16	60605	28
FH23	5080106	158	32152.57	435776	201	0	0	167732	9	105192	17	33139	36
FH45	5315618	183	29047.09	293159	202	0	0	136042	14	89463	23	43012	39
FH93	5270119	148	35608.91	763337	204	0	0	384674	5	169263	10	42656	20
FH84	5051804	157	32177.1	398758	203	0	0	127292	12	69879	23	41327	41
AVC160	5475366	201	27240.63	629697	202	0	0	129785	11	96783	20	27666	40
AVC10	5193398	99	52458.57	595919	204	0	0	252110	7	166594	12	41675	25
FH154	5021655	208	24142.57	396940	203	0	0	132798	11	76633	21	22731	41
AVC221	5317606	130	40904.66	338611	203	0	0	158669	12	93298	21	35407	37
AVC184	5230399	268	19516.41	553562	202	0	0	129768	11	72782	22	19250	48
FH200	5021652	106	47374.08	484311	218	0	0	304089	7	158402	12	41355	25
FH96	5270241	154	34222.34	685086	205	0	0	241713	6	164258	11	42227	22
FH185	5107399	147	34744.21	348205	204	0	0	142271	11	72947	21	35961	41
FH71	5279678	194	27214.84	328806	202	0	0	119231	15	66157	26	25936	50
FH121	5172768	124	41715.87	414134	205	0	0	292585	8	186205	13	71362	21
FH68	5292682	209	25323.84	328526	200	0	0	121524	14	69304	25	25936	49
FH77	5229531	124	42173.64	414133	205	0	0	292294	8	186205	13	71759	21
FH195	5195106	158	32880.42	422051	204	0	0	172163	11	120000	18	39726	33
FH168	5405269	195	27719.33	369838	202	0	0	129270	13	89464	23	39149	39
FH8	5463982	272	20088.17	315649	201	0	0	123481	13	77730	24	19434	53
AVC159	5290051	194	27268.3	465161	200	0	0	128090	13	82120	22	29162	46
FH16	5460382	370	14757.79	202150	200	0	0	80798	23	36947	42	13217	90
AVC80	5477030	205	26717.22	403351	203	0	0	152191	12	107047	21	35483	40
FH78	5347870	154	34726.43	763337	204	0	0	203975	8	143607	14	28054	30
FH60	5066829	201	25208.1	206062	200	0	0	96087	19	46616	35	20679	65
FH34	5399322	215	25113.13	364800	201	0	0	105016	16	64304	29	29000	55
AVC177	5434450	192	28304.43	619328	200	0	0	155223	10	93171	19	24794	40
FH55	5187246	195	26601.26	546069	204	0	0	164979	10	79492	18	29959	38
FH12	4968488	247	20115.34	405702	200	0	0	82543	19	57997	34	25580	59
FH173	5079774	211	24074.76	396926	204	0	0	125810	11	76174	21	26051	42
FH186	5111142	123	41554.0	602137	202	0	0	217398	8	139235	14	37505	30
FH51	5484652	578	9489.02	92161	203	0	0	23694	72	14813	132	5875	244
AVC196	5255503	146	35996.6	355577	210	0	0	147083	13	98977	22	45963	36
AVC4	5243862	204	25705.21	519531	204	0	0	110553	15	76724	26	30215	48
FH53	5198234	204	25481.54	435875	202	0	0	188862	10	79379	19	40009	36
FH119	5062615	160	31641.34	314512	209	0	0	118305	14	81411	24	33547	44
FH128	5024174	153	32837.74	481094	200	0	0	232337	8	130243	13	41702	25
FH130	4972869	195	25501.89	689476	205	0	0	186300	8	101939	15	36890	32
AVC211	5431687	317	17134.66	315570	200	0	0	124298	14	64611	26	16671	56
FH135	5002524	150	33350.16	342773	200	0	0	101976	16	66158	29	26986	51
FH99	5354454	161	33257.48	614568	204	0	0	241713	7	148861	13	42656	25
FH89	5254252	103	51012.16	763205	215	0	0	350830	5	177972	9	45800	19
FH120	5157391	115	44846.88	433241	216	0	0	223194	8	139671	14	68163	23
FH87	5048857	175	28850.61	343319	201	0	0	129326	13	85001	23	34511	40
AVC111	5368417	177	30330.04	475883	200	0	0	146554	11	82184	21	32504	39
AVC210	5491639	477	11512.87	166891	200	0	0	43485	42	23911	79	8460	153
FH94	5255832	163	32244.37	614616	204	0	0	204447	8	148797	14	31839	30
FH20	5067446	164	30899.06	619495	207	0	0	153062	9	111600	16	32794	32
FH82	5032384	127	39625.07	853866	202	0	0	265990	6	173262	11	34673	22
FH151	5164323	244	21165.26	396927	204	0	0	124867	12	67658	24	23104	48
AVC34	5163880	346	14924.51	133410	203	0	0	41098	39	27461	69	9004	136
AVC59	5252828	247	21266.51	633961	201	0	0	130702	13	73815	23	22791	46
AVC215	5059413	159	31820.21	327031	204	0	0	116183	14	72460	25	35467	45
FH106	5289494	226	23404.84	344181	201	0	0	147209	12	93939	21	30215	39
FH136	5364132	213	25183.72	614616	201	0	0	178345	9	128395	16	27917	32
FH57	5760977	452	12745.52	442366	201	0	0	130163	13	65972	26	14884	58
AVC218	5187608	286	18138.49	275071	205	0	0	63095	27	37832	49	12087	92
FH172	5173850	243	21291.56	336196	204	0	0	106352	14	67658	26	22728	49
AVC228	5154088	208	24779.27	389545	203	0	0	117100	12	85600	22	25690	43
AVC227	5399391	180	29996.62	572770	202	0	0	261302	7	132041	13	29963	33
FH95	5249275	168	31245.68	763067	204	0	0	211428	7	143431	13	29947	29
FH49	5311318	196	27098.56	292881	200	0	0	120265	14	78650	25	38476	41
AVC21	5191016	98	52969.55	690651	204	0	0	214250	7	137713	13	39238	27
AVC155	5196772	289	17981.91	359854	203	0	0	145092	12	73982	22	16823	50
AVC234	5347117	272	19658.52	311580	205	0	0	85057	17	50569	32	19499	66
FH108	5253512	133	39500.09	763438	215	0	0	206738	7	164258	12	30011	27
FH169	5402558	179	30181.89	418955	204	0	0	129270	11	89124	22	41814	38
FH2	5309228	363	14625.97	200299	201	0	0	79428	24	37807	43	13448	87
FH149	4855731	129	37641.33	314512	202	0	0	118304	13	81411	23	34529	42
AVC173	5319251	251	21192.24	480945	201	0	0	176697	10	113187	17	24389	38
FH176	6581037	2026	3248.29	70081	201	0	0	9937	164	4664	355	1319	900
AVC198	5448538	210	25945.42	418426	205	0	0	117988	13	59584	27	23453	54
FH110	4999837	103	48542.11	340590	201	0	0	188747	10	139373	16	47252	29
FH85	5070800	147	34495.24	413927	207	0	0	148119	11	94099	20	55419	35
AVC107	5366888	176	30493.68	377909	223	0	0	151264	12	111398	19	30024	38
FH7	5496220	292	18822.67	365205	201	0	0	149533	12	77872	23	23067	47
FH158	4957588	131	37844.18	621862	202	0	0	188827	8	98526	15	41418	30
AVC223	5103046	241	21174.46	392535	202	0	0	111616	11	66135	23	22731	49
FH160	4957371	130	38133.62	434130	202	0	0	174936	10	93705	19	43384	34
FH3	4942501	195	25346.16	314521	202	0	0	131887	14	53973	24	29981	49
FH24	5077334	170	29866.67	624510	202	0	0	175028	9	97839	18	33139	37
FH100	5372351	168	31978.28	614568	204	0	0	215830	8	143607	14	34837	27
FH26	5080129	174	29196.14	425552	201	0	0	130835	11	97595	20	33139	39
FH189	4958291	115	43115.57	624883	202	0	0	203659	6	106056	13	43253	27
FH41	5307400	148	35860.81	228739	202	0	0	127678	15	91340	25	60792	40
AVC11	5195986	116	44792.98	362531	204	0	0	172432	11	117732	18	35127	33
FH4	5445123	341	15968.1	315837	200	0	0	97662	15	60363	29	17386	59
FH73	5195234	126	41232.02	414133	205	0	0	292294	8	186205	13	77604	21
FH122	5083300	163	31185.89	311830	207	0	0	102895	16	80073	26	31818	46
FH74	5174820	116	44610.52	509547	223	0	0	223194	8	183138	13	66958	23
FH164	4946034	105	47105.09	588818	201	0	0	235935	8	108750	14	43702	28
FH116	5198900	162	32091.98	667359	202	0	0	245200	7	113252	13	51701	26
FH72	5334676	228	23397.7	255371	200	0	0	106132	16	65887	29	24228	53
FH6	4916443	194	25342.49	311853	200	0	0	126742	15	48854	28	22898	55
FH11	5285170	403	13114.57	200134	200	0	0	69186	24	38037	45	13458	90
FH103	5268702	154	34212.35	763337	204	0	0	384674	5	169263	10	42656	21
AVC204	5466681	225	24296.36	418426	205	0	0	118819	14	57992	27	20882	57
FH179	5092675	162	31436.27	604338	204	0	0	182755	9	79372	18	32889	38
FH133	4999294	106	47163.15	360584	201	0	0	166966	10	129275	17	51430	29
FH184	5113206	145	35263.49	404177	200	0	0	171349	10	75134	20	33180	39
AVC94	5027044	138	36427.86	543929	204	0	0	147354	12	94508	20	33096	36
AVC197	5459503	221	24703.63	417714	205	0	0	102182	14	56281	28	25835	56
FH40	5288378	281	18819.85	325736	202	0	0	124282	14	52655	28	19335	60
AVC96	5208742	192	27128.86	396508	200	0	0	111268	14	76953	24	36218	42
FH42	5308708	171	31045.08	309927	200	0	0	120265	14	89463	25	54705	39
FH152	5172459	233	22199.39	336196	202	0	0	98133	15	59199	28	24792	52
FH183	5097898	143	35649.64	407186	204	0	0	182756	10	79436	18	33180	38
FH202	5259784	400	13149.46	345128	200	0	0	91550	19	48910	35	14607	72
FH198	5205026	162	32129.79	546184	202	0	0	149337	9	97840	18	38449	36
FH145	5156029	155	33264.7	414069	201	0	0	219654	9	147262	15	63015	25
FH170	5389142	231	23329.62	408447	205	0	0	145788	11	91595	20	33656	39
FH117	5206199	152	34251.31	667359	220	0	0	249852	7	113252	13	51701	26
FH81	5047297	124	40704.01	853866	204	0	0	266253	6	162303	11	41766	22
FH43	5313038	186	28564.72	292926	202	0	0	129696	14	84926	24	45965	40
FH188	4978857	110	45262.34	531361	202	0	0	165314	9	113327	16	50935	29
FH107	5254443	149	35264.72	417276	204	0	0	204447	9	113930	15	41684	30
FH66	12532738	15489	809.14	119852	200	0	0	1419	1791	631	4568	298	10213
FH140	5160379	110	46912.54	561695	223	0	0	244535	7	183138	12	68163	22
AVC58	5091184	148	34399.89	633964	205	0	0	135986	10	109360	18	41368	35
FH177	4976687	95	52386.18	531481	200	0	0	201730	9	115535	15	52114	28
FH153	4883356	230	21231.98	423304	201	0	0	111875	15	54488	28	25043	54
FH79	5033204	156	32264.13	448907	200	0	0	203909	8	129431	14	33585	29
FH147	5175717	124	41739.65	414133	205	0	0	292584	8	186205	13	98798	20
AVC167	5351382	218	24547.62	557269	205	0	0	118819	12	65836	23	24638	49
FH70	5290136	202	26188.79	255371	200	0	0	119169	15	66885	27	28953	50
FH139	5176624	118	43869.69	612035	205	0	0	295065	7	186205	12	71362	20
FH143	5158778	162	31844.31	389571	201	0	0	186141	10	129218	17	59095	30
FH105	5253206	131	40100.81	763438	205	0	0	206738	7	164258	12	30011	27
FH208	5480029	208	26346.29	425052	201	0	0	105220	14	67103	27	32972	50
AVC226	4891643	155	31558.99	398287	206	0	0	168048	9	114226	16	35236	35
FH33	5038772	154	32719.3	401470	200	0	0	119297	12	71660	23	36607	43
FH29	5296076	197	26883.63	488377	201	0	0	186809	10	106863	18	57641	31
AVC126	5445260	203	26823.94	566030	201	0	0	118835	12	67422	24	23467	50
AVC222	5290989	256	20667.93	315614	204	0	0	123202	13	81605	23	17365	52
AVC220	5254517	172	30549.52	323252	204	0	0	104519	17	59814	31	29707	55
AVC35	5179095	155	33413.52	714764	205	0	0	187068	9	109078	16	42103	31
AVC200	5459348	252	21664.08	232309	205	0	0	97717	18	49926	35	14973	73
FH102	5253784	167	31459.78	763273	204	0	0	226646	7	122116	13	31839	28
FH199	5200568	164	31710.78	435584	202	0	0	149337	11	97840	19	41125	36
FH13	5337188	398	13410.02	200299	201	0	0	88777	22	40883	40	15217	81
FH131	5215461	201	25947.57	465224	200	0	0	212661	9	132260	15	31345	34
FH205	5202198	157	33135.02	435584	202	0	0	149601	11	97840	19	40403	37
FH54	5197079	205	25351.6	672281	201	0	0	197578	8	97846	16	40009	33
FH32	5573548	296	18829.55	298366	202	0	0	75055	20	46669	38	18414	73
AVC8	5194108	93	55850.62	751263	204	0	0	297500	7	195235	11	42230	21
FH112	5008566	98	51107.82	566353	203	0	0	241308	7	193939	12	103016	19
AVC109	4810122	183	26284.82	221669	201	0	0	96949	17	60215	29	18323	56
AVC77	5502775	288	19106.86	328720	205	0	0	109521	13	71792	25	16823	55
FH191	4958973	121	40983.25	540279	202	0	0	142269	10	84335	19	43384	35
FH194	5317657	157	33870.43	490659	218	0	0	190538	10	113193	17	41501	30
FH115	5198600	174	29877.01	667359	202	0	0	245200	7	121010	14	44017	27
FH90	5248941	136	38595.15	763040	208	0	0	226847	7	122116	14	38580	28
AVC105	5163208	129	40024.87	338595	203	0	0	172660	12	121242	19	35391	32
FH118	5156760	146	35320.27	414070	201	0	0	183291	11	119712	18	62855	29
AVC39	5249000	213	24643.19	181074	207	0	0	79168	24	48512	41	16724	79
FH197	5204555	163	31929.79	546201	200	0	0	155971	10	98132	19	40817	36
AVC232	5300449	159	33336.16	358815	207	0	0	172413	11	89479	20	39427	36
FH129	228008	27	8444.74	168037	212	0	0	168037	1	168037	1	4185	7
FH86	6774735	1236	5481.18	96748	207	0	0	15100	115	7015	246	1836	625
AVC103	5397889	293	18422.83	366794	200	0	0	190370	10	113203	18	21128	41
FH17	5487955	396	13858.47	200299	201	0	0	88884	23	40945	41	15510	82
