name	BRACKEN.species_best_match	BRACKEN.fraction_total_reads	BRACKEN.species_second_best_match	BRACKEN.fraction_total_reads_second_best_match	GUNC.n_genes_called	GUNC.n_genes_mapped	GUNC.reference_representation_score	GUNC.pass	CHECKM.Completeness	CHECKM.Contamination	CHECKM.Strain heterogeneity	ASSEMBLY_STATS.total_length	ASSEMBLY_STATS.number	ASSEMBLY_STATS.N50
FH65	Escherichia coli	0.986	Shigella sonnei	0.00396	4814	4749	0.9	True	99.97	0.57	25.0	5129408	152	155452
FH62	Escherichia coli	0.98712	Shigella sonnei	0.00376	4833	4760	0.89	True	99.97	0.63	33.33	5129790	172	186766
FH125	Escherichia coli	0.82086	Escherichia fergusonii	0.07866	4692	4632	0.88	True	99.97	0.04	0.0	4933287	148	137490
FH21	Escherichia coli	0.96735	Escherichia sp. SCLE84	0.0137	4765	4716	0.89	True	99.97	0.04	0.0	5103606	122	197036
AVC60	Escherichia coli	0.95848	Escherichia marmotae	0.01699	5182	5083	0.87	True	99.97	1.13	12.5	5239597	307	111616
FH150	Escherichia coli	0.76346	Salmonella enterica	0.19736	4587	4541	0.89	True	99.93	0.23	0.0	4850124	131	120634
AVC148	Escherichia coli	0.97793	Salmonella enterica	0.01106	5197	5098	0.85	True	99.77	0.04	0.0	5463046	190	130835
FH207	Escherichia coli	0.97473	Shigella sonnei	0.00504	5246	5153	0.89	True	99.97	0.17	0.0	5456595	292	109420
FH67	Escherichia coli	0.98642	Shigella sonnei	0.0042	4869	4778	0.89	True	99.97	0.61	22.22	5168294	165	164714
FH148	Escherichia coli	0.98831	Shigella sonnei	0.00284	4845	4779	0.9	True	99.97	0.57	25.0	5175695	132	273013
FH113	Escherichia coli	0.95815	Shigella sonnei	0.02551	4706	4655	0.89	True	99.97	0.33	20.0	5008295	106	198071
FH165	Escherichia coli	0.9619	Shigella sonnei	0.01055	4701	4650	0.9	True	99.93	0.44	14.29	4957079	132	173904
FH161	Escherichia coli	0.98402	Salmonella enterica	0.00663	4815	4724	0.87	True	99.97	0.04	0.0	5021531	228	111556
FH31	Escherichia coli	0.84449	Salmonella enterica	0.13624	5079	4997	0.87	True	99.97	0.17	0.0	5376531	220	100113
FH28	Escherichia coli	0.94619	Shigella flexneri	0.01418	4603	4566	0.91	True	99.93	0.44	14.29	4906284	87	208092
AVC61	Escherichia coli	0.71716	Salmonella enterica	0.27502	4944	4868	0.83	True	99.97	0.04	0.0	5193870	91	297596
FH101	Escherichia coli	0.98278	Salmonella enterica	0.00456	5161	5080	0.87	True	99.97	0.31	50.0	5338297	157	203876
FH36	Escherichia coli	0.94298	Shigella sonnei	0.01451	4611	4569	0.91	True	99.93	0.44	14.29	4902238	100	209807
FH206	Escherichia coli	0.97479	Salmonella enterica	0.005	5210	5126	0.89	True	99.97	0.11	0.0	5479652	224	122829
FH59	Escherichia coli	0.96743	Salmonella enterica	0.01332	5047	4956	0.87	True	99.77	0.11	50.0	5320211	191	152453
FH46	Escherichia coli	0.9776	Shigella flexneri	0.00465	5003	4938	0.89	True	99.97	0.09	0.0	5306677	171	127256
FH9	Escherichia coli	0.94722	Salmonella enterica	0.01519	5402	5270	0.84	False	99.67	0.07	0.0	5308070	347	80798
FH146	Escherichia coli	0.98871	Shigella sonnei	0.0033	4883	4792	0.89	True	99.97	0.61	22.22	5201008	126	244535
FH127	Escherichia coli	0.98393	Salmonella enterica	0.00501	5248	5149	0.88	False	99.97	0.12	33.33	5387819	172	215830
FH111	Escherichia coli	0.95572	Shigella sonnei	0.02622	4705	4660	0.89	True	99.97	0.32	50.0	4998199	125	257449
FH204	Escherichia coli	0.9219	Salmonella enterica	0.0702	5034	4942	0.86	True	99.97	0.52	28.57	5258322	148	261474
FH123	Escherichia coli	0.86334	Shigella sp. PAMC 28760	0.06724	13538	13213	0.85	True	100.0	95.36	90.7	10082844	5870	12764
FH38	Escherichia coli	0.97712	Salmonella enterica	0.00755	5184	5102	0.87	True	99.97	0.22	33.33	5340843	185	216419
FH174	Escherichia coli	0.98057	Salmonella enterica	0.00795	4890	4783	0.86	True	99.97	0.04	0.0	5083184	227	118216
FH209	Escherichia coli	0.97416	Salmonella enterica	0.00504	5218	5129	0.89	True	99.97	0.11	0.0	5476621	224	108608
AVC216	Escherichia coli	0.94139	Salmonella enterica	0.03587	5039	4915	0.87	True	99.97	0.04	0.0	5249514	364	38359
FH30	Escherichia coli	0.9844	Shigella sonnei	0.00336	5000	4925	0.89	True	99.97	0.57	25.0	5281383	177	190387
FH109	Escherichia coli	0.96403	Salmonella enterica	0.02344	5040	4958	0.88	True	99.91	0.19	0.0	5252377	155	213890
AVC242	Escherichia coli	0.98508	Salmonella enterica	0.00392	5168	5082	0.87	True	99.97	0.39	0.0	5315428	212	80793
FH210	Escherichia coli	0.74085	Salmonella enterica	0.19726	4811	4764	0.89	True	99.93	0.1	0.0	5002043	136	154603
FH98	Escherichia coli	0.9824	Salmonella enterica	0.00434	5172	5087	0.87	True	99.97	0.19	0.0	5339079	176	204401
AVC29	Escherichia coli	0.98552	Salmonella enterica	0.00571	4871	4797	0.89	True	99.97	0.11	50.0	5080968	203	129276
AVC106	Escherichia coli	0.98852	Shigella sonnei	0.0029	5153	5068	0.89	False	99.97	0.41	0.0	5347289	247	158435
AVC179	Escherichia coli	0.98529	Salmonella enterica	0.00492	5169	5071	0.85	True	99.93	0.31	0.0	5427248	211	153401
FH76	Escherichia coli	0.97156	Proteus mirabilis	0.01701	5011	4908	0.93	False	99.97	0.94	17.65	5292506	159	292294
AVC65	Escherichia coli	0.98412	Escherichia fergusonii	0.00468	4874	4785	0.89	True	99.97	0.04	0.0	5170663	121	172554
FH192	Escherichia coli	0.98589	Salmonella enterica	0.0038	4670	4624	0.89	True	99.97	0.33	0.0	4953668	131	131204
FH156	Escherichia coli	0.98375	Salmonella enterica	0.00712	4895	4789	0.86	True	99.97	0.04	0.0	5081265	231	112102
FH15	Escherichia coli	0.94418	Salmonella enterica	0.01615	5643	5462	0.82	True	99.67	0.07	0.0	5489435	410	81460
FH213	Escherichia coli	0.96565	Salmonella enterica	0.01447	5168	5084	0.86	True	99.97	0.15	25.0	5355697	233	90880
FH27	Escherichia coli	0.98391	Salmonella enterica	0.00446	4863	4809	0.89	True	99.97	0.11	0.0	5086712	170	195173
FH91	Escherichia coli	0.98407	Salmonella enterica	0.00499	5042	4967	0.88	True	99.97	0.1	50.0	5253957	101	341396
AVC113	Escherichia coli	0.9383	Shigella sonnei	0.02668	4673	4636	0.89	True	99.93	0.18	0.0	4947232	150	167074
FH214	Escherichia coli	0.97634	Shigella flexneri	0.00525	5220	5137	0.89	True	99.97	0.11	0.0	5477807	228	108705
AVC224	Escherichia coli	0.97405	Salmonella enterica	0.01227	5243	5132	0.84	True	99.77	0.04	0.0	5482163	248	116941
FH1	Escherichia coli	0.91502	Salmonella enterica	0.03507	5358	5226	0.85	True	99.67	0.07	0.0	5280168	376	81393
AVC156	Escherichia coli	0.9899	Salmonella enterica	0.00157	5099	5018	0.87	True	99.93	0.31	0.0	5359495	222	149187
FH182	Escherichia coli	0.98277	Salmonella enterica	0.00532	4837	4772	0.87	True	99.97	0.04	0.0	5100708	139	151374
FH162	Escherichia coli	0.98466	Salmonella enterica	0.00674	4801	4713	0.87	True	99.97	0.04	0.0	5022047	199	125810
AVC91	Escherichia coli	0.98285	Escherichia fergusonii	0.00517	4868	4786	0.89	True	99.97	0.04	0.0	5162695	134	169360
AVC195	Escherichia coli	0.98144	Shigella sonnei	0.00477	4982	4919	0.89	True	99.97	0.09	0.0	5301531	151	165963
AVC252	Escherichia coli	0.90302	Salmonella enterica	0.06045	5048	4943	0.85	True	99.93	0.23	25.0	5271465	348	42599
AVC176	Escherichia coli	0.93087	Salmonella enterica	0.04383	5583	5436	0.86	False	99.97	0.09	0.0	5669400	334	147774
FH14	Escherichia coli	0.84826	Salmonella enterica	0.09686	4902	4847	0.89	False	99.97	0.16	0.0	5033168	262	119451
FH163	Escherichia coli	0.983	Salmonella enterica	0.00627	5001	4886	0.86	True	99.97	0.12	0.0	5171215	242	124771
AVC154	Escherichia coli	0.94479	Salmonella enterica	0.02892	5380	5239	0.85	False	99.97	0.12	0.0	5515276	204	129384
FH44	Escherichia coli	0.97759	Shigella flexneri	0.00501	4992	4925	0.89	True	99.97	0.09	0.0	5297204	163	165814
AVC251	Escherichia coli	0.98245	Shigella flexneri	0.00574	5059	5003	0.88	True	99.97	0.09	0.0	5287193	165	198278
FH80	Escherichia coli	0.96834	Escherichia fergusonii	0.01137	4812	4771	0.91	True	99.97	0.39	0.0	5033468	138	255974
FH181	Escherichia coli	0.98125	Salmonella enterica	0.00575	4839	4770	0.87	True	99.97	0.04	0.0	5100656	142	182756
FH18	Escherichia coli	0.95828	Shigella sonnei	0.01242	4578	4541	0.9	True	99.67	0.04	0.0	4833999	142	145432
FH47	Escherichia coli	0.97732	Shigella flexneri	0.00509	5005	4934	0.89	True	99.97	0.09	0.0	5309495	170	146820
AVC12	Escherichia coli	0.97479	Salmonella enterica	0.00959	5242	5135	0.84	True	99.77	0.04	0.0	5478782	255	100576
FH35	Escherichia coli	0.78498	Salmonella enterica	0.19849	5091	5003	0.87	True	99.97	0.11	0.0	5388935	231	96504
AVC186	Escherichia coli	0.98451	Salmonella enterica	0.00767	5207	5101	0.84	True	99.77	0.04	0.0	5462515	209	133646
FH10	Shigella boydii	0.41978	Escherichia coli	0.37124	4792	4723	0.88	True	99.94	0.19	0.0	4919148	201	130451
AVC30	Escherichia coli	0.9844	Salmonella enterica	0.00604	4911	4835	0.89	False	99.97	0.04	0.0	5078382	256	110043
AVC19	Escherichia coli	0.98263	Salmonella enterica	0.0068	4902	4833	0.84	True	99.97	0.04	0.0	5159316	85	241876
FH211	Escherichia coli	0.97673	Shigella flexneri	0.00491	5210	5123	0.89	True	99.97	0.11	0.0	5476528	220	108608
FH114	Escherichia coli	0.92212	Salmonella enterica	0.06982	4985	4896	0.86	True	99.97	0.58	37.5	5168167	158	223544
AVC209	Escherichia coli	0.97824	Shigella flexneri	0.00459	5368	5262	0.87	True	99.97	0.17	0.0	5568193	268	137363
FH124	Escherichia coli	0.72455	Shigella sp. PAMC 28760	0.13061	4887	4815	0.87	True	99.97	0.09	0.0	5073993	166	106639
AVC233	Escherichia coli	0.91817	Shigella boydii	0.06737	4992	4926	0.89	True	99.97	0.09	0.0	5305960	145	190740
AVC171	Escherichia coli	0.9904	Salmonella enterica	0.00571	5327	5217	0.85	True	99.97	0.25	0.0	5384460	268	197865
FH141	Escherichia coli	0.98884	Shigella sonnei	0.0028	4852	4781	0.9	True	99.97	0.57	25.0	5175734	130	292614
FH178	Escherichia coli	0.98563	Salmonella enterica	0.00426	4677	4632	0.89	True	99.97	0.33	0.0	4948984	146	174712
AVC246	Escherichia coli	0.97926	Shigella sonnei	0.00556	5003	4935	0.89	True	99.97	0.09	0.0	5297432	202	83656
AVC161	Escherichia coli	0.87406	Shigella sp. PAMC 28760	0.08419	5117	5039	0.89	False	99.93	0.19	0.0	5312612	191	149008
FH48	Escherichia coli	0.93766	Klebsiella pneumoniae	0.02773	4589	4534	0.9	True	99.67	0.04	0.0	4800301	163	119179
AVC25	Escherichia coli	0.98282	Salmonella enterica	0.00616	4940	4862	0.83	True	99.97	0.04	0.0	5184406	103	198697
FH126	Escherichia coli	0.97223	Salmonella enterica	0.00885	5068	4817	0.86	True	99.97	1.39	0.0	5210783	122	237098
AVC26	Escherichia coli	0.98139	Salmonella enterica	0.00704	4935	4858	0.83	True	99.97	0.04	0.0	5186154	87	214235
FH39	Escherichia coli	0.97623	Salmonella enterica	0.00816	5176	5086	0.87	True	99.97	0.19	0.0	5342230	183	177544
FH159	Escherichia coli	0.87502	Salmonella enterica	0.11553	4668	4620	0.89	True	99.97	0.33	0.0	4961147	131	142269
AVC207	Escherichia coli	0.60369	Shigella boydii	0.34254	4989	4902	0.86	True	99.97	0.33	0.0	5198406	131	215016
AVC79	Escherichia coli	0.97029	Shigella boydii	0.01827	4925	4847	0.86	True	99.67	0.07	0.0	5138353	162	130718
FH201	Escherichia coli	0.98871	Salmonella enterica	0.00304	4808	4739	0.88	True	99.97	0.04	0.0	5124365	125	180874
FH175	Escherichia coli	0.92222	Salmonella enterica	0.04204	4825	4724	0.86	False	99.97	0.04	0.0	5027194	233	88674
FH193	Escherichia coli	0.98127	Salmonella enterica	0.00512	5183	5097	0.87	True	99.97	0.47	16.67	5329938	148	161203
FH5	Escherichia coli	0.9297	Salmonella enterica	0.062	5384	5276	0.86	False	99.97	0.79	0.0	5452109	286	102729
FH187	Escherichia coli	0.98228	Salmonella enterica	0.00536	4718	4661	0.88	True	99.97	0.2	66.67	4977867	100	155062
AVC249	Escherichia coli	0.98233	Salmonella enterica	0.004	4622	4555	0.89	True	99.97	0.04	0.0	4852573	387	35756
FH134	Escherichia coli	0.96082	Shigella sonnei	0.023	4711	4662	0.89	True	99.97	0.33	20.0	5002303	114	265336
AVC183	Escherichia coli	0.98219	Escherichia fergusonii	0.00696	4941	4867	0.84	True	99.97	0.33	0.0	5153847	114	223274
FH50	Escherichia coli	0.97857	Shigella flexneri	0.00466	5016	4950	0.89	True	99.97	0.12	25.0	5307090	188	159249
AVC153	Escherichia coli	0.76447	Shigella sp. PAMC 28760	0.1482	4697	4627	0.87	True	100.0	0.17	0.0	4924424	154	139961
FH196	Escherichia coli	0.95058	Salmonella enterica	0.04184	4974	4884	0.87	True	99.97	0.52	28.57	5199238	166	140894
FH63	Escherichia coli	0.98577	Shigella sonnei	0.00401	4802	4736	0.9	True	99.97	0.57	25.0	5116746	135	197842
FH157	Escherichia coli	0.88748	Salmonella enterica	0.10263	4672	4624	0.89	True	99.97	0.33	0.0	4964871	135	131204
FH190	Escherichia coli	0.98584	Salmonella enterica	0.00301	4673	4619	0.89	True	99.97	0.33	0.0	4965417	120	203659
FH137	Escherichia coli	0.98188	Salmonella enterica	0.00637	5276	5183	0.88	False	99.97	0.12	33.33	5388020	207	215830
AVC213	Escherichia coli	0.95447	Shigella sonnei	0.01704	5171	5079	0.86	False	99.62	0.28	0.0	5279211	303	84771
FH167	Escherichia coli	0.92859	Salmonella enterica	0.06484	4843	4791	0.89	True	99.97	0.04	0.0	5090773	146	230980
FH75	Escherichia coli	0.85491	Proteus mirabilis	0.13472	8449	8295	0.88	False	100.0	100.0	58.93	9072685	183	292294
FH56	Escherichia coli	0.94349	Salmonella enterica	0.047	5024	4937	0.86	True	99.97	0.59	25.0	5197816	200	134572
FH155	Escherichia coli	0.98125	Salmonella enterica	0.00743	4811	4719	0.89	True	99.97	0.04	0.0	5026296	212	107841
FH64	Escherichia coli	0.98585	Salmonella enterica	0.00342	4819	4748	0.9	True	99.97	0.57	25.0	5128895	150	186766
FH23	Escherichia coli	0.98465	Salmonella enterica	0.00556	4851	4793	0.9	True	99.97	0.11	0.0	5080106	158	167732
FH45	Escherichia coli	0.97686	Salmonella enterica	0.00565	5019	4950	0.89	True	99.97	0.09	0.0	5315618	183	136042
FH93	Escherichia coli	0.95613	Salmonella enterica	0.03358	5071	4995	0.88	True	99.97	0.25	33.33	5270119	148	384674
FH84	Escherichia coli	0.94374	Shigella sonnei	0.01472	4896	4835	0.89	True	99.97	0.13	33.33	5051804	157	127292
AVC160	Escherichia coli	0.98765	Salmonella enterica	0.00283	5240	5143	0.86	True	99.97	9.0	98.45	5475366	201	129785
AVC10	Escherichia coli	0.98356	Salmonella enterica	0.00664	4946	4864	0.83	True	99.97	0.04	0.0	5193398	99	252110
FH154	Escherichia coli	0.98323	Salmonella enterica	0.00667	4802	4719	0.87	True	99.97	0.1	0.0	5021655	208	132798
AVC221	Escherichia coli	0.98372	Escherichia fergusonii	0.00568	5053	4920	0.86	True	99.97	0.04	0.0	5317606	130	158669
AVC184	Escherichia coli	0.91999	Salmonella enterica	0.069	5134	5033	0.87	True	99.97	0.75	0.0	5230399	268	129768
FH200	Escherichia coli	0.92427	Enterobacter hormaechei	0.02531	4751	4721	0.9	True	99.93	0.37	16.67	5021652	106	304089
FH96	Escherichia coli	0.94893	Salmonella enterica	0.04077	5073	4998	0.88	True	99.97	0.25	33.33	5270241	154	241713
FH185	Escherichia coli	0.98472	Salmonella enterica	0.00442	4839	4771	0.87	True	99.97	0.04	0.0	5107399	147	142271
FH71	Escherichia coli	0.97551	Salmonella enterica	0.01806	5066	4965	0.84	True	99.97	0.73	33.33	5279678	194	119231
FH121	Escherichia coli	0.9878	Shigella sonnei	0.00287	4849	4778	0.9	True	99.97	0.57	25.0	5172768	124	292585
FH68	Escherichia coli	0.97009	Salmonella enterica	0.02441	5079	4981	0.84	True	99.97	0.73	33.33	5292682	209	121524
FH77	Escherichia coli	0.98813	Shigella sonnei	0.00288	4912	4817	0.88	True	99.97	0.61	22.22	5229531	124	292294
FH195	Escherichia coli	0.93649	Salmonella enterica	0.05689	4976	4882	0.87	True	99.97	0.52	28.57	5195106	158	172163
FH168	Escherichia coli	0.96744	Salmonella enterica	0.01239	5133	5052	0.88	True	99.93	0.22	0.0	5405269	195	129270
FH8	Escherichia coli	0.9179	Salmonella enterica	0.07439	5390	5280	0.86	False	99.97	0.79	0.0	5463982	272	123481
AVC159	Escherichia coli	0.98201	Salmonella enterica	0.008	5099	4993	0.87	False	99.97	0.08	0.0	5290051	194	128090
FH16	Escherichia coli	0.94802	Salmonella enterica	0.01452	5587	5411	0.82	True	99.67	0.07	0.0	5460382	370	80798
AVC80	Escherichia coli	0.88885	Salmonella enterica	0.10039	5306	5198	0.86	False	99.97	0.12	0.0	5477030	205	152191
FH78	Escherichia coli	0.95597	Salmonella enterica	0.03297	5176	5092	0.87	True	99.97	0.25	33.33	5347870	154	203975
FH60	Escherichia coli	0.787	Shigella sp. PAMC 28760	0.14736	4871	4793	0.9	False	100.0	0.29	14.29	5066829	201	96087
FH34	Escherichia coli	0.75433	Salmonella enterica	0.23103	5102	5017	0.89	True	99.97	0.11	0.0	5399322	215	105016
AVC177	Escherichia coli	0.97463	Salmonella enterica	0.0187	5148	5073	0.86	True	99.93	0.56	0.0	5434450	192	155223
FH55	Escherichia coli	0.94789	Salmonella enterica	0.04289	5019	4931	0.86	True	99.97	0.8	36.36	5187246	195	164979
FH12	Escherichia coli	0.61068	Salmonella enterica	0.32484	4875	4813	0.89	True	99.93	0.18	0.0	4968488	247	82543
FH173	Escherichia coli	0.98113	Salmonella enterica	0.00933	4877	4782	0.86	True	99.97	0.1	0.0	5079774	211	125810
FH186	Escherichia coli	0.98581	Salmonella enterica	0.00373	4848	4783	0.87	True	99.97	0.1	50.0	5111142	123	217398
FH51	Escherichia coli	0.69112	Salmonella enterica	0.3066	5551	5423	0.84	True	99.71	0.86	25.0	5484652	578	23694
AVC196	Escherichia coli	0.95661	Escherichia fergusonii	0.03649	4980	4876	0.87	True	99.97	0.04	0.0	5255503	146	147083
AVC4	Escherichia coli	0.97402	Escherichia fergusonii	0.01641	5080	4982	0.87	True	99.97	0.07	0.0	5243862	204	110553
FH53	Escherichia coli	0.94699	Salmonella enterica	0.04479	5025	4937	0.86	True	99.97	0.59	25.0	5198234	204	188862
FH119	Escherichia coli	0.83012	Salmonella enterica	0.13138	4910	4668	0.84	True	99.93	1.34	7.14	5062615	160	118305
FH128	Escherichia coli	0.95996	Escherichia fergusonii	0.01341	4811	4767	0.91	True	99.97	0.39	0.0	5024174	153	232337
FH130	Escherichia coli	0.91358	Shigella flexneri	0.05261	4805	4742	0.89	False	99.97	0.07	0.0	4972869	195	186300
AVC211	Escherichia coli	0.90706	Shigella sp. PAMC 28760	0.04289	5338	5225	0.83	True	99.97	0.04	0.0	5431687	317	124298
FH135	Escherichia coli	0.71904	Shigella sp. PAMC 28760	0.16836	4772	4707	0.87	True	99.97	0.09	0.0	5002524	150	101976
FH99	Escherichia coli	0.98273	Salmonella enterica	0.00522	5196	5108	0.87	True	99.97	0.25	33.33	5354454	161	241713
FH89	Escherichia coli	0.98047	Klebsiella pneumoniae	0.00784	5044	4969	0.88	True	99.97	0.1	50.0	5254252	103	350830
FH120	Escherichia coli	0.98841	Shigella sonnei	0.00327	4840	4771	0.9	True	99.97	0.57	25.0	5157391	115	223194
FH87	Escherichia coli	0.97831	Shigella flexneri	0.00406	4827	4762	0.88	True	99.67	0.04	0.0	5048857	175	129326
AVC111	Escherichia coli	0.89492	Shigella boydii	0.03968	5075	4992	0.87	True	99.93	0.23	0.0	5368417	177	146554
AVC210	Escherichia coli	0.9759	Shigella sonnei	0.00513	5333	5223	0.89	True	99.97	0.17	0.0	5491639	477	43485
FH94	Escherichia coli	0.95908	Salmonella enterica	0.02863	5052	4967	0.87	True	99.97	0.19	0.0	5255832	163	204447
FH20	Escherichia coli	0.98341	Salmonella enterica	0.00608	4841	4783	0.9	True	99.97	0.17	0.0	5067446	164	153062
FH82	Escherichia coli	0.97156	Escherichia fergusonii	0.01148	4804	4754	0.91	True	99.97	0.39	0.0	5032384	127	265990
FH151	Escherichia coli	0.98592	Salmonella enterica	0.00532	4982	4874	0.86	True	99.97	0.1	0.0	5164323	244	124867
AVC34	Escherichia coli	0.9155	Salmonella enterica	0.02201	5070	4967	0.92	False	99.97	0.31	20.0	5163880	346	41098
AVC59	Escherichia coli	0.96583	Salmonella enterica	0.02172	5112	5009	0.86	False	99.97	0.07	0.0	5252828	247	130702
AVC215	Escherichia coli	0.97287	Salmonella enterica	0.01668	4824	4750	0.88	True	99.97	0.22	0.0	5059413	159	116183
FH106	Escherichia coli	0.95709	Salmonella enterica	0.03195	5114	5026	0.84	True	99.97	0.29	0.0	5289494	226	147209
FH136	Escherichia coli	0.98284	Salmonella enterica	0.00424	5242	5144	0.88	False	99.97	0.06	0.0	5364132	213	178345
FH57	Escherichia coli	0.94286	Salmonella enterica	0.03435	5746	5588	0.85	True	99.97	0.38	20.0	5760977	452	130163
AVC218	Escherichia coli	0.97804	Salmonella enterica	0.01333	4969	4890	0.88	True	99.97	0.09	0.0	5187608	286	63095
FH172	Escherichia coli	0.98044	Salmonella enterica	0.0097	5001	4888	0.84	True	99.97	0.12	0.0	5173850	243	106352
AVC228	Escherichia coli	0.86443	Salmonella enterica	0.12257	4954	4879	0.88	True	99.97	0.17	33.33	5154088	208	117100
AVC227	Escherichia coli	0.98008	Salmonella enterica	0.01063	5295	5194	0.86	True	99.97	0.39	0.0	5399391	180	261302
FH95	Escherichia coli	0.96659	Salmonella enterica	0.02217	5037	4957	0.88	True	99.97	0.21	33.33	5249275	168	211428
FH49	Escherichia coli	0.97614	Shigella flexneri	0.00512	5024	4951	0.88	True	99.97	0.14	20.0	5311318	196	120265
