Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
FH22	-	O22	H2	O22:H2	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O22-4-wzx-origin;O22-5-wzy-origin;H2-13-fliC;	100;99.918;99.732;	100;100;100;	contig00002;contig00002;contig00002;	221579-222814;218665-219882;72098-73591;	1236;1218;1494;	v1.0 (11-03-2020)	-
FH144	-	O15	H18	O15:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-8-wzy;H18-1-fliC-origin;	100;100;100;	100;100;100;	contig00034;contig00034;contig00011;	31167-32411;28956-30134;93938-95602;	1245;1179;1665;	v1.0 (11-03-2020)	-
AVC64	-	O24	H26	O24:H26	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O24-1-wzx-origin;O24-2-wzy-origin;H26-4-fliC;	99.916;100;99.94;	100;100;100;	contig00008;contig00008;contig00003;	63465-64658;64674-65726;217554-219226;	1194;1053;1673;	v1.0 (11-03-2020)	-
FH25	-	O149	H10	O149:H10	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O149-1-wzx-origin;O149-2-wzy-origin;H10-8-fliC;	100;100;100;	100;100;100;	contig00001;contig00001;contig00009;	590618-591802;592653-593717;89044-90305;	1185;1065;1262;	v1.0 (11-03-2020)	-
FH92	-	O2	H5	O2:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-7-wzx;O2-16-wzy;H5-2-fliC-origin;	100;100;100;	100;100;100;	contig00003;contig00003;contig00006;	349727-350989;352701-353663;76804-78114;	1263;963;1311;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
FH37	-	O2	H5	O2:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-7-wzx;O2-16-wzy;H5-2-fliC-origin;	100;100;100;	100;100;100;	contig00020;contig00020;contig00008;	30003-31265;32977-33939;134612-135922;	1263;963;1311;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
FH69	-	O119	H4	O119:H4	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O119-1-wzx-origin;O119-2-wzy-origin;H4-2-fliC-origin;	99.933;100;100;	100;100;100;	contig00039;contig00039;contig00012;	17836-19323;20465-21667;95046-96095;	1488;1203;1050;	v1.0 (11-03-2020)	-
AVC38	-	O1	H7	O1:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O1-1-wzx-origin;O1-6-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	contig00019;contig00019;contig00006;	74752-75978;78246-79250;210095-211852;	1227;1005;1758;	v1.0 (11-03-2020)	-
FH52	-	O86	H25	O86:H25	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O86-7-wzx;O86-4-wzy-origin;H25-11-fliC;	100;99.929;100;	100;100;100;	contig00025;contig00025;contig00008;	3883-5085;1852-3252;33584-34903;	1203;1401;1320;	v1.0 (11-03-2020)	-
AVC201	-	O9	H12	O9:H12	-	Based on 3 allele(s)	wzm:0.999;wzt:1;fliC:1;	O9-14-wzm;O9-19-wzt;H12-3-fliC-origin;	99.873;100;100;	100;100;100;	contig00020;contig00020;contig00049;	3574-4359;4362-5657;6964-8751;	786;1296;1788;	v1.0 (11-03-2020)	-
FH104	-	O2	H5	O2:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-7-wzx;O2-16-wzy;H5-2-fliC-origin;	100;100;100;	100;100;100;	contig00002;contig00002;contig00003;	656862-658124;659836-660798;133991-135301;	1263;963;1311;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
FH180	-	O167	H4	O167:H4	-	Based on 3 allele(s)	wzx:1;wzy:0.998;fliC:1;	O167-4-wzx;O167-5-wzy;H4-2-fliC-origin;	100;99.84;100;	100;100;100;	contig00001;contig00001;contig00010;	15101-16366;9725-10975;92670-93719;	1266;1251;1050;	v1.0 (11-03-2020)	-
FH61	-	O15	H18	O15:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-8-wzy;H18-1-fliC-origin;	100;100;100;	100;100;100;	contig00025;contig00025;contig00008;	30304-31548;28093-29271;90540-92204;	1245;1179;1665;	v1.0 (11-03-2020)	-
FH142	-	O15	H18	O15:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-8-wzy;H18-1-fliC-origin;	100;100;100;	100;100;100;	contig00027;contig00027;contig00012;	344-1588;2621-3799;93970-95634;	1245;1179;1665;	v1.0 (11-03-2020)	-
AVC5	-	O111	H4	O111:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O111-12-wzx;O111-24-wzy;H4-2-fliC-origin;	100;100;100;	100;100;100;	contig00052;contig00052;contig00024;	9439-10704;10694-11746;14405-15454;	1266;1053;1050;	v1.0 (11-03-2020)	-
FH58	-	O116	H16	O116:H16	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O116-5-wzx;O116-2-wzy-origin;H16-25-fliC;	100;99.914;100;	100;100;100;	contig00002;contig00002;contig00002;	143199-144626;147315-148475;261877-263451;	1428;1161;1575;	v1.0 (11-03-2020)	-
AVC98	-	O78	H26	O78:H26	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O78-1-wzx-origin;O78-2-wzy-origin;H26-4-fliC;	100;99.911;100;	100;100;100;	contig00021;contig00021;contig00001;	69986-71401;74128-75249;348234-349906;	1416;1122;1673;	v1.0 (11-03-2020)	-
AVC235	-	O2	H5	O2:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-7-wzx;O2-16-wzy;H5-2-fliC-origin;	100;100;100;	100;100;100;	contig00002;contig00002;contig00004;	41546-42808;38872-39834;182780-184090;	1263;963;1311;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
AVC20	-	O2	H1	O2:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-6-wzx;O2-14-wzy;H1-5-fliC;	100;100;100;	100;100;100;	contig00004;contig00004;contig00011;	353855-355117;356829-357791;87520-89307;	1263;963;1788;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
AVC256	-	-	H7	-:H7	-	Based on 1 allele(s)	fliC:1;	H7-3-fliC-origin;	100;	100;	contig00040;	13462-15219;	1758;	v1.0 (11-03-2020)	-
AVC97	-	O2/O50	H4	O2/O50:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-1-wzx-origin;O2-2-wzy-origin;H4-2-fliC-origin;	100;100;100;	100;100;100;	contig00001;contig00001;contig00003;	40227-41489;37552-38514;276655-277704;	1263;963;1050;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
FH83	-	-	H40	-:H40	-	Based on 1 allele(s)	fliC:1;	H40-1-fliC-origin;	100;	100;	contig00007;	119277-120755;	1479;	v1.0 (11-03-2020)	-
FH132	-	O1	H7	O1:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O1-1-wzx-origin;O1-6-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	contig00015;contig00015;contig00004;	27733-28959;24461-25465;276833-278590;	1227;1005;1758;	v1.0 (11-03-2020)	-
FH203	-	O53	H4	O53:H4	-	Based on 3 allele(s)	wzx:0.999;wzy:0.999;fliC:1;	O53-1-wzx-origin;O53-2-wzy-origin;H4-2-fliC-origin;	99.919;99.923;100;	100;100;100;	contig00021;contig00021;contig00013;	45918-47147;48246-49538;100226-101275;	1230;1293;1050;	v1.0 (11-03-2020)	-
AVC123	-	O132	H21	O132:H21	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O132-1-wzx-origin;O132-6-wzy;H21-2-fliC-origin;	99.922;100;100;	100;100;100;	contig00001;contig00001;contig00021;	112881-114164;108024-109223;73099-74574;	1284;1200;1476;	v1.0 (11-03-2020)	-
FH166	-	O8	H4	O8:H4	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-16-wzm;O8-35-wzt;H4-2-fliC-origin;	100;100;100;	100;100;100;	contig00004;contig00004;contig00012;	262059-262853;262853-264067;88859-89908;	795;1215;1050;	v1.0 (11-03-2020)	-
AVC51	-	O88	H18	O88:H18	-	Based on 2 allele(s)	wzx:0.955;fliC:0.97;	O88-3-wzx;H18-2-fliC;	95.542;97.187;	100;100;	contig00004;contig00002;	184084-185541;42216-43886;	1458;1671;	v1.0 (11-03-2020)	-
FH65	-	O15	H18	O15:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-8-wzy;H18-1-fliC-origin;	100;100;100;	100;100;100;	contig00027;contig00027;contig00009;	31565-32809;29354-30532;93938-95602;	1245;1179;1665;	v1.0 (11-03-2020)	-
FH62	-	O15	H18	O15:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-8-wzy;H18-1-fliC-origin;	100;100;100;	100;100;100;	contig00035;contig00035;contig00013;	183-1427;2460-3638;93938-95602;	1245;1179;1665;	v1.0 (11-03-2020)	-
FH125	-	O8	H30	O8:H30	-	Based on 2 allele(s)	wzm:0.679;fliC:1;	O8-22-wzm;H30-5-fliC;	99.815;99.942;	68;100;	contig00041;contig00001;	27722-28262;352430-354142;	541;1713;	v1.0 (11-03-2020)	-
FH21	-	O22	H2	O22:H2	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O22-4-wzx-origin;O22-5-wzy-origin;H2-13-fliC;	100;99.918;99.732;	100;100;100;	contig00003;contig00003;contig00003;	215969-217204;218901-220118;365192-366685;	1236;1218;1494;	v1.0 (11-03-2020)	-
AVC60	-	O111	H4	O111:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O111-12-wzx;O111-24-wzy;H4-2-fliC-origin;	100;100;100;	100;100;100;	contig00056;contig00056;contig00031;	6112-7377;5070-6122;14413-15462;	1266;1053;1050;	v1.0 (11-03-2020)	-
FH150	-	O111	H4	O111:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O111-12-wzx;O111-24-wzy;H4-2-fliC-origin;	100;100;100;	100;100;100;	contig00035;contig00035;contig00010;	9471-10736;10726-11778;5449-6498;	1266;1053;1050;	v1.0 (11-03-2020)	-
AVC148	-	O45	H19	O45:H19	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O45-3-wzx-origin;O45-20-wzy;H19-2-fliC-origin;	99.921;100;100;	100;100;100;	contig00005;contig00005;contig00002;	49184-50443;47073-47760;41416-43257;	1260;688;1842;	v1.0 (11-03-2020)	-
FH207	-	O182	H25	O182:H25	-	Based on 3 allele(s)	wzx:0.994;wzy:0.993;fliC:1;	O182-1-wzx-origin;O182-2-wzy-origin;H25-11-fliC;	99.405;99.267;99.924;	100;100;100;	contig00018;contig00018;contig00002;	59173-60516;62792-64018;6968-8287;	1344;1227;1320;	v1.0 (11-03-2020)	-
FH67	-	O15	H18	O15:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-8-wzy;H18-1-fliC-origin;	100;100;100;	100;100;100;	contig00026;contig00026;contig00007;	31565-32809;29354-30532;97923-99587;	1245;1179;1665;	v1.0 (11-03-2020)	-
FH148	-	O15	H18	O15:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-8-wzy;H18-1-fliC-origin;	100;100;100;	100;100;100;	contig00026;contig00026;contig00013;	33216-34460;31005-32183;90572-92236;	1245;1179;1665;	v1.0 (11-03-2020)	-
FH113	-	O2	H5	O2:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-6-wzx;O2-15-wzy;H5-2-fliC-origin;	100;100;100;	100;100;100;	contig00014;contig00014;contig00001;	10436-11698;13410-14372;469747-471057;	1263;963;1311;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
FH165	-	O88	H8	O88:H8	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O88-1-wzx-origin;O88-2-wzy-origin;H8-2-fliC-origin;	100;100;100;	100;100;100;	contig00027;contig00027;contig00003;	5213-6670;7599-8873;7262-8740;	1458;1275;1479;	v1.0 (11-03-2020)	-
FH161	-	O71	H4	O71:H4	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O71-1-wzx-origin;O71-2-wzy-origin;H4-2-fliC-origin;	99.922;100;100;	100;100;100;	contig00028;contig00028;contig00031;	29359-30633;26665-27954;32654-33703;	1275;1290;1050;	v1.0 (11-03-2020)	-
FH31	-	O128	H25	O128:H25	-	Based on 3 allele(s)	wzx:0.992;wzy:0.994;fliC:1;	O128-3-wzx-origin;O128-16-wzy;H25-11-fliC;	99.238;99.425;100;	100;100;100;	contig00044;contig00044;contig00001;	4477-5919;8504-9547;6968-8287;	1443;1044;1320;	v1.0 (11-03-2020)	-
FH28	-	O88	H8	O88:H8	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O88-1-wzx-origin;O88-2-wzy-origin;H8-2-fliC-origin;	100;100;100;	100;100;100;	contig00025;contig00025;contig00009;	4743-6200;7129-8403;140225-141703;	1458;1275;1479;	v1.0 (11-03-2020)	-
AVC61	-	O2	H1	O2:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-6-wzx;O2-14-wzy;H1-5-fliC;	100;100;100;	100;100;100;	contig00005;contig00005;contig00011;	353970-355232;356944-357906;111456-113243;	1263;963;1788;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
FH101	-	O2	H5	O2:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-7-wzx;O2-16-wzy;H5-2-fliC-origin;	100;100;100;	100;100;100;	contig00002;contig00002;contig00006;	349741-351003;352715-353677;76804-78114;	1263;963;1311;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
FH36	-	O88	H8	O88:H8	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O88-1-wzx-origin;O88-2-wzy-origin;H8-2-fliC-origin;	100;100;100;	100;100;100;	contig00023;contig00023;contig00015;	4743-6200;7129-8403;6973-8451;	1458;1275;1479;	v1.0 (11-03-2020)	-
FH206	-	O182	H25	O182:H25	-	Based on 3 allele(s)	wzx:0.994;wzy:0.993;fliC:1;	O182-1-wzx-origin;O182-2-wzy-origin;H25-11-fliC;	99.405;99.267;99.924;	100;100;100;	contig00032;contig00032;contig00001;	8564-9907;12183-13409;356556-357875;	1344;1227;1320;	v1.0 (11-03-2020)	-
FH59	-	O45	H19	O45:H19	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O45-3-wzx-origin;O45-20-wzy;H19-2-fliC-origin;	99.921;100;100;	100;100;100;	contig00005;contig00005;contig00009;	181812-183071;184495-185182;47866-49707;	1260;688;1842;	v1.0 (11-03-2020)	-
FH46	-	O24	H26	O24:H26	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O24-1-wzx-origin;O24-2-wzy-origin;H26-4-fliC;	99.916;100;99.94;	100;100;100;	contig00009;contig00009;contig00002;	41274-42467;42483-43535;43172-44844;	1194;1053;1673;	v1.0 (11-03-2020)	-
FH9	-	O116	H16	O116:H16	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O116-5-wzx;O116-2-wzy-origin;H16-25-fliC;	100;100;100;	100;100;100;	contig00014;contig00014;contig00008;	37684-39111;33835-34995;7846-9420;	1428;1161;1575;	v1.0 (11-03-2020)	-
FH146	-	O15	H18	O15:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-8-wzy;H18-1-fliC-origin;	100;100;100;	100;100;100;	contig00013;contig00013;contig00011;	30336-31580;28125-29303;90572-92236;	1245;1179;1665;	v1.0 (11-03-2020)	-
FH127	-	O2	H5	O2:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-7-wzx;O2-16-wzy;H5-2-fliC-origin;	100;100;100;	100;100;100;	contig00003;contig00003;contig00008;	349264-350526;352238-353200;133991-135301;	1263;963;1311;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
FH111	-	O2	H5	O2:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-6-wzx;O2-15-wzy;H5-2-fliC-origin;	100;100;100;	100;100;100;	contig00013;contig00013;contig00002;	10404-11666;13378-14340;48663-49973;	1263;963;1311;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
FH204	-	O53	H4	O53:H4	-	Based on 3 allele(s)	wzx:0.999;wzy:0.999;fliC:1;	O53-1-wzx-origin;O53-2-wzy-origin;H4-2-fliC-origin;	99.919;99.923;100;	100;100;100;	contig00031;contig00031;contig00011;	26782-28011;24391-25683;43249-44298;	1230;1293;1050;	v1.0 (11-03-2020)	-
FH123	-	O15	H18	O15:H18	-	Based on 3 allele(s)	wzx:1;wzy:0.63;fliC:1;	O15-4-wzx;O15-10-wzy;H18-1-fliC-origin;	100;100;100;	100;63;100;	contig00612;contig00612;contig00054;	215-1459;2492-3228;7206-8870;	1245;737;1665;	v1.0 (11-03-2020)	-
FH38	-	O2	H5	O2:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-7-wzx;O2-16-wzy;H5-2-fliC-origin;	100;100;100;	100;100;100;	contig00002;contig00002;contig00009;	47935-49197;45261-46223;134612-135922;	1263;963;1311;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
FH174	-	O71	H4	O71:H4	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O71-1-wzx-origin;O71-2-wzy-origin;H4-2-fliC-origin;	99.922;100;100;	100;100;100;	contig00039;contig00039;contig00028;	28928-30202;26234-27523;22754-23803;	1275;1290;1050;	v1.0 (11-03-2020)	-
FH209	-	O182	H25	O182:H25	-	Based on 3 allele(s)	wzx:0.994;wzy:0.993;fliC:1;	O182-1-wzx-origin;O182-2-wzy-origin;H25-11-fliC;	99.405;99.267;99.924;	100;100;100;	contig00040;contig00040;contig00002;	30566-31909;27064-28290;6968-8287;	1344;1227;1320;	v1.0 (11-03-2020)	-
AVC216	-	-	H15	-:H15	-	Based on 1 allele(s)	fliC:1;	H15-1-fliC-origin;	100;	100;	contig00041;	6406-8094;	1689;	v1.0 (11-03-2020)	-
FH30	-	O15	H6	O15:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-1-wzx-origin;O15-2-wzy-origin;H6-17-fliC;	100;100;100;	100;100;100;	contig00036;contig00036;contig00010;	173-1417;2450-3628;90443-92095;	1245;1179;1653;	v1.0 (11-03-2020)	-
FH109	-	O2	H5	O2:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-7-wzx;O2-16-wzy;H5-2-fliC-origin;	100;100;100;	100;100;100;	contig00004;contig00004;contig00002;	41546-42808;38872-39834;386770-388080;	1263;963;1311;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
AVC242	-	-	H7	-:H7	-	Based on 1 allele(s)	fliC:1;	H7-3-fliC-origin;	100;	100;	contig00025;	40882-42639;	1758;	v1.0 (11-03-2020)	-
FH210	-	O88	H25	O88:H25	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O88-1-wzx-origin;O88-2-wzy-origin;H25-2-fliC-origin;	100;100;100;	100;100;100;	contig00040;contig00040;contig00008;	28657-30114;26454-27728;62057-63388;	1458;1275;1332;	v1.0 (11-03-2020)	-
FH98	-	O2	H5	O2:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-7-wzx;O2-16-wzy;H5-2-fliC-origin;	100;100;100;	100;100;100;	contig00003;contig00003;contig00007;	26471-27733;23797-24759;80498-81808;	1263;963;1311;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
AVC29	-	O78	H4	O78:H4	-	Based on 3 allele(s)	wzx:0.999;wzy:0.66;fliC:1;	O78-4-wzx;O78-5-wzy;H4-2-fliC-origin;	99.929;100;100;	100;66;100;	contig00042;contig00042;contig00010;	3470-4885;1-743;40802-41851;	1416;743;1050;	v1.0 (11-03-2020)	-
AVC106	-	O77/O17/O44/O106	H1	O77/O17/O44/O106:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O77-1-wzx-origin/O17-1-wzx-origin;O77-3-wzy-inhouse/O17-2-wzy-origin;H1-11-fliC;	100;100;100;	100;100;100;	contig00001;contig00001;contig00001;	256796-258031;255423-256754;359481-361268;	1236;1332;1788;	v1.0 (11-03-2020)	High similarity O-antigen group 9:O17/O44/O73/O77/O106 as per A.Iguchi et.al (PMID: 25428893)
AVC179	-	O15	H1	O15:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-3-wzx;O15-7-wzy;H1-10-fliC;	100;100;100;	100;100;100;	contig00035;contig00035;contig00007;	162-1406;2439-3617;217094-218881;	1245;1179;1788;	v1.0 (11-03-2020)	-
FH76	-	O15	H18	O15:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-8-wzy;H18-1-fliC-origin;	100;100;100;	100;100;100;	contig00028;contig00028;contig00013;	344-1588;2621-3799;93970-95634;	1245;1179;1665;	v1.0 (11-03-2020)	-
AVC65	-	O11	H15	O11:H15	-	Based on 3 allele(s)	wzx:1;wzy:0.69;fliC:1;	O11-3-wzx;O11-6-wzy;H15-1-fliC-origin;	100;100;100;	100;69;100;	contig00021;contig00026;contig00016;	1005-2240;67672-68519;90819-92507;	1236;848;1689;	v1.0 (11-03-2020)	-
FH192	-	O24	H4	O24:H4	-	Based on 3 allele(s)	wzx:0.997;wzy:0.999;fliC:1;	O24-1-wzx-origin;O24-2-wzy-origin;H4-2-fliC-origin;	99.749;99.905;99.905;	100;100;100;	contig00018;contig00018;contig00009;	51995-53188;50927-51979;40795-41844;	1194;1053;1050;	v1.0 (11-03-2020)	-
FH156	-	O71	H4	O71:H4	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O71-1-wzx-origin;O71-2-wzy-origin;H4-2-fliC-origin;	99.922;100;100;	100;100;100;	contig00037;contig00037;contig00029;	12893-14167;15572-16861;32654-33703;	1275;1290;1050;	v1.0 (11-03-2020)	-
FH15	-	O116	H16	O116:H16	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O116-5-wzx;O116-2-wzy-origin;H16-25-fliC;	100;100;100;	100;100;100;	contig00015;contig00015;contig00004;	37684-39111;33835-34995;43978-45552;	1428;1161;1575;	v1.0 (11-03-2020)	-
FH213	-	O176	H32	O176:H32	-	Based on 3 allele(s)	wzx:1;wzy:0.998;fliC:1;	O176-1-wzx-origin;O176-2-wzy-origin;H32-1-fliC-origin;	100;99.775;99.942;	100;100;100;	contig00060;contig00060;contig00001;	3382-4620;4617-5948;40099-41811;	1239;1332;1713;	v1.0 (11-03-2020)	-
FH27	-	O86	H4	O86:H4	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O86-7-wzx;O86-12-wzy;H4-2-fliC-origin;	100;99.929;100;	100;100;100;	contig00029;contig00029;contig00011;	38771-39973;36742-38140;88868-89917;	1203;1399;1050;	v1.0 (11-03-2020)	-
